項次,西元年,民國年,性別,年齡,死亡機率
4374,2038,127,女性,43歲,0.0009
4375,2038,127,總計,44歲,0.0016
4376,2038,127,男性,44歲,0.00223
4377,2038,127,女性,44歲,0.00099
4378,2038,127,總計,45歲,0.00177
4379,2038,127,男性,45歲,0.00247
4380,2038,127,女性,45歲,0.00108
4381,2038,127,總計,46歲,0.00195
4382,2038,127,男性,46歲,0.00274
4383,2038,127,女性,46歲,0.00118
4384,2038,127,總計,47歲,0.00215
4385,2038,127,男性,47歲,0.00302
4386,2038,127,女性,47歲,0.00128
4387,2038,127,總計,48歲,0.00235
4388,2038,127,男性,48歲,0.00333
4389,2038,127,女性,48歲,0.00139
4390,2038,127,總計,49歲,0.00258
4391,2038,127,男性,49歲,0.00367
4392,2038,127,女性,49歲,0.00152
4393,2038,127,總計,50歲,0.00283
4394,2038,127,男性,50歲,0.00404
4395,2038,127,女性,50歲,0.00165
4396,2038,127,總計,51歲,0.00309
4397,2038,127,男性,51歲,0.00444
4398,2038,127,女性,51歲,0.00177
4399,2038,127,總計,52歲,0.00336
4400,2038,127,男性,52歲,0.00485
4401,2038,127,女性,52歲,0.0019
4402,2038,127,總計,53歲,0.00363
4403,2038,127,男性,53歲,0.00527
4404,2038,127,女性,53歲,0.00204
4405,2038,127,總計,54歲,0.00388
4406,2038,127,男性,54歲,0.00564
4407,2038,127,女性,54歲,0.00218
4408,2038,127,總計,55歲,0.00412
4409,2038,127,男性,55歲,0.00601
4410,2038,127,女性,55歲,0.00231
4411,2038,127,總計,56歲,0.0044
4412,2038,127,男性,56歲,0.00641
4413,2038,127,女性,56歲,0.00246
4414,2038,127,總計,57歲,0.00471
4415,2038,127,男性,57歲,0.00687
4416,2038,127,女性,57歲,0.00264
4417,2038,127,總計,58歲,0.00504
4418,2038,127,男性,58歲,0.00736
4419,2038,127,女性,58歲,0.00283
4420,2038,127,總計,59歲,0.00539
4421,2038,127,男性,59歲,0.00787
4422,2038,127,女性,59歲,0.00305
4423,2038,127,總計,60歲,0.00577
4424,2038,127,男性,60歲,0.00839
4425,2038,127,女性,60歲,0.00329
4426,2038,127,總計,61歲,0.00617
4427,2038,127,男性,61歲,0.00893
4428,2038,127,女性,61歲,0.00356
4429,2038,127,總計,62歲,0.00661
4430,2038,127,男性,62歲,0.00955
4431,2038,127,女性,62歲,0.00386
4432,2038,127,總計,63歲,0.00711
4433,2038,127,男性,63歲,0.01025
4434,2038,127,女性,63歲,0.0042
4435,2038,127,總計,64歲,0.00768
4436,2038,127,男性,64歲,0.01103
4437,2038,127,女性,64歲,0.00459
4438,2038,127,總計,65歲,0.00831
4439,2038,127,男性,65歲,0.01188
4440,2038,127,女性,65歲,0.00504
4441,2038,127,總計,66歲,0.00905
4442,2038,127,男性,66歲,0.01286
4443,2038,127,女性,66歲,0.00557
4444,2038,127,總計,67歲,0.00989
4445,2038,127,男性,67歲,0.01399
4446,2038,127,女性,67歲,0.00618
4447,2038,127,總計,68歲,0.01084
4448,2038,127,男性,68歲,0.01524
4449,2038,127,女性,68歲,0.00688
4450,2038,127,總計,69歲,0.01191
4451,2038,127,男性,69歲,0.01665
4452,2038,127,女性,69歲,0.00768
4453,2038,127,總計,70歲,0.01309
4454,2038,127,男性,70歲,0.01819
4455,2038,127,女性,70歲,0.0086
4456,2038,127,總計,71歲,0.01441
4457,2038,127,男性,71歲,0.01989
4458,2038,127,女性,71歲,0.00962
4459,2038,127,總計,72歲,0.01587
4460,2038,127,男性,72歲,0.02177
4461,2038,127,女性,72歲,0.01077
4462,2038,127,總計,73歲,0.01752
4463,2038,127,男性,73歲,0.02392
4464,2038,127,女性,73歲,0.01205
4465,2038,127,總計,74歲,0.01939
4466,2038,127,男性,74歲,0.02636
4467,2038,127,女性,74歲,0.01349
4468,2038,127,總計,75歲,0.02146
4469,2038,127,男性,75歲,0.02908
4470,2038,127,女性,75歲,0.01511
4471,2038,127,總計,76歲,0.02372
4472,2038,127,男性,76歲,0.03205
4473,2038,127,女性,76歲,0.01688
4474,2038,127,總計,77歲,0.02623
4475,2038,127,男性,77歲,0.03532
4476,2038,127,女性,77歲,0.01887
4477,2038,127,總計,78歲,0.029
4478,2038,127,男性,78歲,0.03893
4479,2038,127,女性,78歲,0.0211
4480,2038,127,總計,79歲,0.03206
4481,2038,127,男性,79歲,0.04289
4482,2038,127,女性,79歲,0.0236
4483,2038,127,總計,80歲,0.03563
4484,2038,127,男性,80歲,0.04716
4485,2038,127,女性,80歲,0.02679
4486,2038,127,總計,81歲,0.03956
4487,2038,127,男性,81歲,0.05185
4488,2038,127,女性,81歲,0.03035
4489,2038,127,總計,82歲,0.04387
4490,2038,127,男性,82歲,0.05694
4491,2038,127,女性,82歲,0.03429
4492,2038,127,總計,83歲,0.04857
4493,2038,127,男性,83歲,0.06242
4494,2038,127,女性,83歲,0.03865
4495,2038,127,總計,84歲,0.05367
4496,2038,127,男性,84歲,0.06831
4497,2038,127,女性,84歲,0.04346
4498,2038,127,總計,85歲,0.06112
4499,2038,127,男性,85歲,0.07618
4500,2038,127,女性,85歲,0.05088
4501,2038,127,總計,86歲,0.06721
4502,2038,127,男性,86歲,0.08308
4503,2038,127,女性,86歲,0.05671
4504,2038,127,總計,87歲,0.07385
4505,2038,127,男性,87歲,0.09054
4506,2038,127,女性,87歲,0.0631
4507,2038,127,總計,88歲,0.08104
4508,2038,127,男性,88歲,0.09856
4509,2038,127,女性,88歲,0.0701
4510,2038,127,總計,89歲,0.08885
4511,2038,127,男性,89歲,0.10714
4512,2038,127,女性,89歲,0.07777
4513,2038,127,總計,90歲,0.09736
4514,2038,127,男性,90歲,0.11637
4515,2038,127,女性,90歲,0.08622
4516,2038,127,總計,91歲,0.10669
4517,2038,127,男性,91歲,0.12633
4518,2038,127,女性,91歲,0.09556
4519,2038,127,總計,92歲,0.11686
4520,2038,127,男性,92歲,0.13699
4521,2038,127,女性,92歲,0.10583
4522,2038,127,總計,93歲,0.12785
4523,2038,127,男性,93歲,0.14835
4524,2038,127,女性,93歲,0.11702
4525,2038,127,總計,94歲,0.13971
4526,2038,127,男性,94歲,0.16039
4527,2038,127,女性,94歲,0.12916
4528,2038,127,總計,95歲,0.15283
4529,2038,127,男性,95歲,0.17339
4530,2038,127,女性,95歲,0.14272
4531,2038,127,總計,96歲,0.16654
4532,2038,127,男性,96歲,0.18677
4533,2038,127,女性,96歲,0.15695
4534,2038,127,總計,97歲,0.1809
4535,2038,127,男性,97歲,0.20064
4536,2038,127,女性,97歲,0.17188
4537,2038,127,總計,98歲,0.19637
4538,2038,127,男性,98歲,0.21531
4539,2038,127,女性,98歲,0.18801
4540,2038,127,總計,99歲,0.21296
4541,2038,127,男性,99歲,0.23076
4542,2038,127,女性,99歲,0.20537
4543,2038,127,總計,100歲及以上,1
4544,2038,127,男性,100歲及以上,1
4545,2038,127,女性,100歲及以上,1
4546,2039,128,總計,0歲,0.00323
4547,2039,128,男性,0歲,0.00345
4548,2039,128,女性,0歲,0.00301
4549,2039,128,總計,1歲,0.00017
4550,2039,128,男性,1歲,0.00018
4551,2039,128,女性,1歲,0.00015
4552,2039,128,總計,2歲,0.0001
4553,2039,128,男性,2歲,0.00011
4554,2039,128,女性,2歲,0.0001
4555,2039,128,總計,3歲,8E-05
4556,2039,128,男性,3歲,9E-05
4557,2039,128,女性,3歲,7E-05
4558,2039,128,總計,4歲,7E-05
4559,2039,128,男性,4歲,7E-05
4560,2039,128,女性,4歲,6E-05
4561,2039,128,總計,5歲,6E-05
4562,2039,128,男性,5歲,7E-05
4563,2039,128,女性,5歲,6E-05
4564,2039,128,總計,6歲,6E-05
4565,2039,128,男性,6歲,6E-05
4566,2039,128,女性,6歲,6E-05
4567,2039,128,總計,7歲,6E-05
4568,2039,128,男性,7歲,6E-05
4569,2039,128,女性,7歲,6E-05
4570,2039,128,總計,8歲,6E-05
4571,2039,128,男性,8歲,6E-05
4572,2039,128,女性,8歲,5E-05
4573,2039,128,總計,9歲,6E-05
4574,2039,128,男性,9歲,6E-05
4575,2039,128,女性,9歲,5E-05
4576,2039,128,總計,10歲,6E-05
4577,2039,128,男性,10歲,6E-05
4578,2039,128,女性,10歲,6E-05
4579,2039,128,總計,11歲,7E-05
4580,2039,128,男性,11歲,7E-05
4581,2039,128,女性,11歲,7E-05
4582,2039,128,總計,12歲,8E-05
4583,2039,128,男性,12歲,8E-05
4584,2039,128,女性,12歲,8E-05
4585,2039,128,總計,13歲,0.0001
4586,2039,128,男性,13歲,0.00011
4587,2039,128,女性,13歲,9E-05
4588,2039,128,總計,14歲,0.00013
4589,2039,128,男性,14歲,0.00015
4590,2039,128,女性,14歲,0.0001
4591,2039,128,總計,15歲,0.00016
4592,2039,128,男性,15歲,0.00021
4593,2039,128,女性,15歲,0.00011
4594,2039,128,總計,16歲,0.0002
4595,2039,128,男性,16歲,0.00027
4596,2039,128,女性,16歲,0.00013
4597,2039,128,總計,17歲,0.00023
4598,2039,128,男性,17歲,0.00032
4599,2039,128,女性,17歲,0.00015
4600,2039,128,總計,18歲,0.00027
4601,2039,128,男性,18歲,0.00037
4602,2039,128,女性,18歲,0.00017
4603,2039,128,總計,19歲,0.00029
4604,2039,128,男性,19歲,0.0004
4605,2039,128,女性,19歲,0.00019
4606,2039,128,總計,20歲,0.0003
4607,2039,128,男性,20歲,0.00041
4608,2039,128,女性,20歲,0.00019
4609,2039,128,總計,21歲,0.00031
4610,2039,128,男性,21歲,0.00041
4611,2039,128,女性,21歲,0.0002
4612,2039,128,總計,22歲,0.00031
4613,2039,128,男性,22歲,0.00042
4614,2039,128,女性,22歲,0.00021
4615,2039,128,總計,23歲,0.00032
4616,2039,128,男性,23歲,0.00042
4617,2039,128,女性,23歲,0.00022
4618,2039,128,總計,24歲,0.00032
4619,2039,128,男性,24歲,0.00041
4620,2039,128,女性,24歲,0.00023
4621,2039,128,總計,25歲,0.00032
4622,2039,128,男性,25歲,0.00041
4623,2039,128,女性,25歲,0.00024
4624,2039,128,總計,26歲,0.00032
4625,2039,128,男性,26歲,0.0004
4626,2039,128,女性,26歲,0.00025
4627,2039,128,總計,27歲,0.00034
4628,2039,128,男性,27歲,0.0004
4629,2039,128,女性,27歲,0.00027
4630,2039,128,總計,28歲,0.00035
4631,2039,128,男性,28歲,0.00042
4632,2039,128,女性,28歲,0.00028
4633,2039,128,總計,29歲,0.00038
4634,2039,128,男性,29歲,0.00046
4635,2039,128,女性,29歲,0.0003
4636,2039,128,總計,30歲,0.00041
4637,2039,128,男性,30歲,0.0005
4638,2039,128,女性,30歲,0.00033
4639,2039,128,總計,31歲,0.00045
4640,2039,128,男性,31歲,0.00054
4641,2039,128,女性,31歲,0.00036
4642,2039,128,總計,32歲,0.00049
4643,2039,128,男性,32歲,0.0006
4644,2039,128,女性,32歲,0.00039
4645,2039,128,總計,33歲,0.00054
4646,2039,128,男性,33歲,0.00066
4647,2039,128,女性,33歲,0.00042
4648,2039,128,總計,34歲,0.00058
4649,2039,128,男性,34歲,0.00072
4650,2039,128,女性,34歲,0.00044
4651,2039,128,總計,35歲,0.00064
4652,2039,128,男性,35歲,0.0008
4653,2039,128,女性,35歲,0.00047
4654,2039,128,總計,36歲,0.0007
4655,2039,128,男性,36歲,0.00089
4656,2039,128,女性,36歲,0.00051
4657,2039,128,總計,37歲,0.00077
4658,2039,128,男性,37歲,0.001
4659,2039,128,女性,37歲,0.00055
4660,2039,128,總計,38歲,0.00085
4661,2039,128,男性,38歲,0.00111
4662,2039,128,女性,38歲,0.00059
4663,2039,128,總計,39歲,0.00094
4664,2039,128,男性,39歲,0.00125
4665,2039,128,女性,39歲,0.00064
4666,2039,128,總計,40歲,0.00104
4667,2039,128,男性,40歲,0.0014
4668,2039,128,女性,40歲,0.00069
4669,2039,128,總計,41歲,0.00116
4670,2039,128,男性,41歲,0.00157
4671,2039,128,女性,41歲,0.00075
4672,2039,128,總計,42歲,0.00128
4673,2039,128,男性,42歲,0.00175
4674,2039,128,女性,42歲,0.00081
4675,2039,128,總計,43歲,0.00142
4676,2039,128,男性,43歲,0.00196
4677,2039,128,女性,43歲,0.00089
4678,2039,128,總計,44歲,0.00157
4679,2039,128,男性,44歲,0.00218
4680,2039,128,女性,44歲,0.00098
4681,2039,128,總計,45歲,0.00174
4682,2039,128,男性,45歲,0.00242
4683,2039,128,女性,45歲,0.00107
4684,2039,128,總計,46歲,0.00192
4685,2039,128,男性,46歲,0.00268
4686,2039,128,女性,46歲,0.00117
4687,2039,128,總計,47歲,0.00211
4688,2039,128,男性,47歲,0.00296
4689,2039,128,女性,47歲,0.00127
4690,2039,128,總計,48歲,0.00232
4691,2039,128,男性,48歲,0.00327
4692,2039,128,女性,48歲,0.00138
4693,2039,128,總計,49歲,0.00255
4694,2039,128,男性,49歲,0.00361
4695,2039,128,女性,49歲,0.0015
4696,2039,128,總計,50歲,0.00279
4697,2039,128,男性,50歲,0.00397
4698,2039,128,女性,50歲,0.00163
4699,2039,128,總計,51歲,0.00305
4700,2039,128,男性,51歲,0.00437
4701,2039,128,女性,51歲,0.00175
4702,2039,128,總計,52歲,0.00331
4703,2039,128,男性,52歲,0.00478
4704,2039,128,女性,52歲,0.00187
4705,2039,128,總計,53歲,0.00359
4706,2039,128,男性,53歲,0.0052
4707,2039,128,女性,53歲,0.00201
4708,2039,128,總計,54歲,0.00383
4709,2039,128,男性,54歲,0.00557
4710,2039,128,女性,54歲,0.00215
4711,2039,128,總計,55歲,0.00408
4712,2039,128,男性,55歲,0.00594
4713,2039,128,女性,55歲,0.00228
4714,2039,128,總計,56歲,0.00435
4715,2039,128,男性,56歲,0.00634
4716,2039,128,女性,56歲,0.00243
4717,2039,128,總計,57歲,0.00466
4718,2039,128,男性,57歲,0.0068
4719,2039,128,女性,57歲,0.00261
4720,2039,128,總計,58歲,0.00499
4721,2039,128,男性,58歲,0.00729
4722,2039,128,女性,58歲,0.0028
4723,2039,128,總計,59歲,0.00534
4724,2039,128,男性,59歲,0.00779
4725,2039,128,女性,59歲,0.00301
4726,2039,128,總計,60歲,0.00571
4727,2039,128,男性,60歲,0.0083
4728,2039,128,女性,60歲,0.00325
4729,2039,128,總計,61歲,0.0061
4730,2039,128,男性,61歲,0.00885
4731,2039,128,女性,61歲,0.00351
4732,2039,128,總計,62歲,0.00654
4733,2039,128,男性,62歲,0.00946
4734,2039,128,女性,62歲,0.0038
4735,2039,128,總計,63歲,0.00703
4736,2039,128,男性,63歲,0.01015
4737,2039,128,女性,63歲,0.00413
4738,2039,128,總計,64歲,0.0076
4739,2039,128,男性,64歲,0.01092
4740,2039,128,女性,64歲,0.00452
4741,2039,128,總計,65歲,0.00822
4742,2039,128,男性,65歲,0.01176
4743,2039,128,女性,65歲,0.00496
4744,2039,128,總計,66歲,0.00894
4745,2039,128,男性,66歲,0.01273
4746,2039,128,女性,66歲,0.00549
4747,2039,128,總計,67歲,0.00978
4748,2039,128,男性,67歲,0.01385
4749,2039,128,女性,67歲,0.00609
4750,2039,128,總計,68歲,0.01071
4751,2039,128,男性,68歲,0.01509
4752,2039,128,女性,68歲,0.00677
4753,2039,128,總計,69歲,0.01176
4754,2039,128,男性,69歲,0.01647
4755,2039,128,女性,69歲,0.00756
4756,2039,128,總計,70歲,0.01294
4757,2039,128,男性,70歲,0.018
4758,2039,128,女性,70歲,0.00846
4759,2039,128,總計,71歲,0.01424
4760,2039,128,男性,71歲,0.01968
4761,2039,128,女性,71歲,0.00947
4762,2039,128,總計,72歲,0.01568
4763,2039,128,男性,72歲,0.02154
4764,2039,128,女性,72歲,0.0106
4765,2039,128,總計,73歲,0.0173
4766,2039,128,男性,73歲,0.02367
4767,2039,128,女性,73歲,0.01186
4768,2039,128,總計,74歲,0.01915
4769,2039,128,男性,74歲,0.02608
4770,2039,128,女性,74歲,0.01328
4771,2039,128,總計,75歲,0.0212
4772,2039,128,男性,75歲,0.02877
4773,2039,128,女性,75歲,0.01487
4774,2039,128,總計,76歲,0.02343
4775,2039,128,男性,76歲,0.03171
4776,2039,128,女性,76歲,0.01661
4777,2039,128,總計,77歲,0.02591
4778,2039,128,男性,77歲,0.03494
4779,2039,128,女性,77歲,0.01858
4780,2039,128,總計,78歲,0.02865
4781,2039,128,男性,78歲,0.03852
4782,2039,128,女性,78歲,0.02078
4783,2039,128,總計,79歲,0.03168
4784,2039,128,男性,79歲,0.04245
4785,2039,128,女性,79歲,0.02324
4786,2039,128,總計,80歲,0.03521
4787,2039,128,男性,80歲,0.04668
4788,2039,128,女性,80歲,0.0264
4789,2039,128,總計,81歲,0.0391
4790,2039,128,男性,81歲,0.05133
4791,2039,128,女性,81歲,0.02991
4792,2039,128,總計,82歲,0.04337
4793,2039,128,男性,82歲,0.05638
4794,2039,128,女性,82歲,0.0338
4795,2039,128,總計,83歲,0.04802
4796,2039,128,男性,83歲,0.06182
4797,2039,128,女性,83歲,0.03811
4798,2039,128,總計,84歲,0.05307
4799,2039,128,男性,84歲,0.06766
4800,2039,128,女性,84歲,0.04286
4801,2039,128,總計,85歲,0.06045
4802,2039,128,男性,85歲,0.07548
4803,2039,128,女性,85歲,0.0502
4804,2039,128,總計,86歲,0.06649
4805,2039,128,男性,86歲,0.08234
4806,2039,128,女性,86歲,0.05598
4807,2039,128,總計,87歲,0.07307
4808,2039,128,男性,87歲,0.08975
4809,2039,128,女性,87歲,0.06231
4810,2039,128,總計,88歲,0.08021
4811,2039,128,男性,88歲,0.09772
4812,2039,128,女性,88歲,0.06925
4813,2039,128,總計,89歲,0.08797
4814,2039,128,男性,89歲,0.10626
4815,2039,128,女性,89歲,0.07686
4816,2039,128,總計,90歲,0.09644
4817,2039,128,男性,90歲,0.11546
4818,2039,128,女性,90歲,0.08525
4819,2039,128,總計,91歲,0.10571
4820,2039,128,男性,91歲,0.12538
4821,2039,128,女性,91歲,0.09453
4822,2039,128,總計,92歲,0.11583
4823,2039,128,男性,92歲,0.13601
4824,2039,128,女性,92歲,0.10475
4825,2039,128,總計,93歲,0.12678
4826,2039,128,男性,93歲,0.14734
4827,2039,128,女性,93歲,0.11589
4828,2039,128,總計,94歲,0.13859
4829,2039,128,男性,94歲,0.15936
4830,2039,128,女性,94歲,0.12798
4831,2039,128,總計,95歲,0.15169
4832,2039,128,男性,95歲,0.17235
4833,2039,128,女性,95歲,0.14151
4834,2039,128,總計,96歲,0.16538
4835,2039,128,男性,96歲,0.18572
4836,2039,128,女性,96歲,0.15572
4837,2039,128,總計,97歲,0.17972
4838,2039,128,男性,97歲,0.19958
4839,2039,128,女性,97歲,0.17062
4840,2039,128,總計,98歲,0.19519
4841,2039,128,男性,98歲,0.21426
4842,2039,128,女性,98歲,0.18675
4843,2039,128,總計,99歲,0.2118
4844,2039,128,男性,99歲,0.22974
4845,2039,128,女性,99歲,0.20414
4846,2039,128,總計,100歲及以上,1
4847,2039,128,男性,100歲及以上,1
4848,2039,128,女性,100歲及以上,1
4849,2040,129,總計,0歲,0.0032
4850,2040,129,男性,0歲,0.00342
4851,2040,129,女性,0歲,0.00298
4852,2040,129,總計,1歲,0.00016
4853,2040,129,男性,1歲,0.00018
4854,2040,129,女性,1歲,0.00015
4855,2040,129,總計,2歲,0.0001
4856,2040,129,男性,2歲,0.00011
4857,2040,129,女性,2歲,9E-05
4858,2040,129,總計,3歲,8E-05
4859,2040,129,男性,3歲,9E-05
4860,2040,129,女性,3歲,7E-05
4861,2040,129,總計,4歲,7E-05
4862,2040,129,男性,4歲,7E-05
4863,2040,129,女性,4歲,6E-05
4864,2040,129,總計,5歲,6E-05
4865,2040,129,男性,5歲,7E-05
4866,2040,129,女性,5歲,6E-05
4867,2040,129,總計,6歲,6E-05
4868,2040,129,男性,6歲,6E-05
4869,2040,129,女性,6歲,6E-05
4870,2040,129,總計,7歲,6E-05
4871,2040,129,男性,7歲,6E-05
4872,2040,129,女性,7歲,5E-05
4873,2040,129,總計,8歲,5E-05
4874,2040,129,男性,8歲,5E-05
4875,2040,129,女性,8歲,5E-05
4876,2040,129,總計,9歲,5E-05
4877,2040,129,男性,9歲,5E-05
4878,2040,129,女性,9歲,5E-05
4879,2040,129,總計,10歲,6E-05
4880,2040,129,男性,10歲,6E-05
4881,2040,129,女性,10歲,6E-05
4882,2040,129,總計,11歲,7E-05
4883,2040,129,男性,11歲,7E-05
4884,2040,129,女性,11歲,6E-05
4885,2040,129,總計,12歲,8E-05
4886,2040,129,男性,12歲,8E-05
4887,2040,129,女性,12歲,8E-05
4888,2040,129,總計,13歲,0.0001
4889,2040,129,男性,13歲,0.0001
4890,2040,129,女性,13歲,9E-05
4891,2040,129,總計,14歲,0.00012
4892,2040,129,男性,14歲,0.00015
4893,2040,129,女性,14歲,0.0001
4894,2040,129,總計,15歲,0.00016
4895,2040,129,男性,15歲,0.0002
4896,2040,129,女性,15歲,0.00011
4897,2040,129,總計,16歲,0.00019
4898,2040,129,男性,16歲,0.00026
4899,2040,129,女性,16歲,0.00013
4900,2040,129,總計,17歲,0.00023
4901,2040,129,男性,17歲,0.00031
4902,2040,129,女性,17歲,0.00015
4903,2040,129,總計,18歲,0.00026
4904,2040,129,男性,18歲,0.00036
4905,2040,129,女性,18歲,0.00017
4906,2040,129,總計,19歲,0.00028
4907,2040,129,男性,19歲,0.00039
4908,2040,129,女性,19歲,0.00018
4909,2040,129,總計,20歲,0.00029
4910,2040,129,男性,20歲,0.0004
4911,2040,129,女性,20歲,0.00019
4912,2040,129,總計,21歲,0.0003
4913,2040,129,男性,21歲,0.00041
4914,2040,129,女性,21歲,0.0002
4915,2040,129,總計,22歲,0.00031
4916,2040,129,男性,22歲,0.00041
4917,2040,129,女性,22歲,0.00021
4918,2040,129,總計,23歲,0.00031
4919,2040,129,男性,23歲,0.00041
4920,2040,129,女性,23歲,0.00022
4921,2040,129,總計,24歲,0.00032
4922,2040,129,男性,24歲,0.0004
4923,2040,129,女性,24歲,0.00023
4924,2040,129,總計,25歲,0.00031
4925,2040,129,男性,25歲,0.0004
4926,2040,129,女性,25歲,0.00023
4927,2040,129,總計,26歲,0.00032
4928,2040,129,男性,26歲,0.00039
4929,2040,129,女性,26歲,0.00025
4930,2040,129,總計,27歲,0.00033
4931,2040,129,男性,27歲,0.0004
4932,2040,129,女性,27歲,0.00026
4933,2040,129,總計,28歲,0.00035
4934,2040,129,男性,28歲,0.00041
4935,2040,129,女性,28歲,0.00028
4936,2040,129,總計,29歲,0.00037
4937,2040,129,男性,29歲,0.00044
4938,2040,129,女性,29歲,0.0003
4939,2040,129,總計,30歲,0.0004
4940,2040,129,男性,30歲,0.00048
4941,2040,129,女性,30歲,0.00033
4942,2040,129,總計,31歲,0.00044
4943,2040,129,男性,31歲,0.00053
4944,2040,129,女性,31歲,0.00035
4945,2040,129,總計,32歲,0.00049
4946,2040,129,男性,32歲,0.00059
4947,2040,129,女性,32歲,0.00038
4948,2040,129,總計,33歲,0.00053
4949,2040,129,男性,33歲,0.00064
4950,2040,129,女性,33歲,0.00041
4951,2040,129,總計,34歲,0.00057
4952,2040,129,男性,34歲,0.00071
4953,2040,129,女性,34歲,0.00044
4954,2040,129,總計,35歲,0.00062
4955,2040,129,男性,35歲,0.00078
4956,2040,129,女性,35歲,0.00046
4957,2040,129,總計,36歲,0.00068
4958,2040,129,男性,36歲,0.00087
4959,2040,129,女性,36歲,0.0005
4960,2040,129,總計,37歲,0.00075
4961,2040,129,男性,37歲,0.00097
4962,2040,129,女性,37歲,0.00054
4963,2040,129,總計,38歲,0.00083
4964,2040,129,男性,38歲,0.00109
4965,2040,129,女性,38歲,0.00058
4966,2040,129,總計,39歲,0.00092
4967,2040,129,男性,39歲,0.00121
4968,2040,129,女性,39歲,0.00063
4969,2040,129,總計,40歲,0.00102
4970,2040,129,男性,40歲,0.00136
4971,2040,129,女性,40歲,0.00069
4972,2040,129,總計,41歲,0.00113
4973,2040,129,男性,41歲,0.00153
4974,2040,129,女性,41歲,0.00074
4975,2040,129,總計,42歲,0.00125
4976,2040,129,男性,42歲,0.00171
4977,2040,129,女性,42歲,0.0008
4978,2040,129,總計,43歲,0.00139
4979,2040,129,男性,43歲,0.00191
4980,2040,129,女性,43歲,0.00088
4981,2040,129,總計,44歲,0.00155
4982,2040,129,男性,44歲,0.00213
4983,2040,129,女性,44歲,0.00096
4984,2040,129,總計,45歲,0.00171
4985,2040,129,男性,45歲,0.00237
4986,2040,129,女性,45歲,0.00106
4987,2040,129,總計,46歲,0.00189
4988,2040,129,男性,46歲,0.00263
4989,2040,129,女性,46歲,0.00115
4990,2040,129,總計,47歲,0.00208
4991,2040,129,男性,47歲,0.00291
4992,2040,129,女性,47歲,0.00126
4993,2040,129,總計,48歲,0.00228
4994,2040,129,男性,48歲,0.00321
4995,2040,129,女性,48歲,0.00136
4996,2040,129,總計,49歲,0.00251
4997,2040,129,男性,49歲,0.00355
4998,2040,129,女性,49歲,0.00148
4999,2040,129,總計,50歲,0.00275
5000,2040,129,男性,50歲,0.00391
5001,2040,129,女性,50歲,0.00161
5002,2040,129,總計,51歲,0.00301
5003,2040,129,男性,51歲,0.00431
5004,2040,129,女性,51歲,0.00173
5005,2040,129,總計,52歲,0.00327
5006,2040,129,男性,52歲,0.00472
5007,2040,129,女性,52歲,0.00185
5008,2040,129,總計,53歲,0.00354
5009,2040,129,男性,53歲,0.00514
5010,2040,129,女性,53歲,0.00199
5011,2040,129,總計,54歲,0.00379
5012,2040,129,男性,54歲,0.0055
5013,2040,129,女性,54歲,0.00212
5014,2040,129,總計,55歲,0.00403
5015,2040,129,男性,55歲,0.00587
5016,2040,129,女性,55歲,0.00225
5017,2040,129,總計,56歲,0.0043
5018,2040,129,男性,56歲,0.00627
5019,2040,129,女性,56歲,0.0024
5020,2040,129,總計,57歲,0.00461
5021,2040,129,男性,57歲,0.00673
5022,2040,129,女性,57歲,0.00258
5023,2040,129,總計,58歲,0.00494
5024,2040,129,男性,58歲,0.00721
5025,2040,129,女性,58歲,0.00276
5026,2040,129,總計,59歲,0.00528
5027,2040,129,男性,59歲,0.00771
5028,2040,129,女性,59歲,0.00297
5029,2040,129,總計,60歲,0.00564
5030,2040,129,男性,60歲,0.00822
5031,2040,129,女性,60歲,0.0032
5032,2040,129,總計,61歲,0.00603
5033,2040,129,男性,61歲,0.00876
5034,2040,129,女性,61歲,0.00346
5035,2040,129,總計,62歲,0.00647
5036,2040,129,男性,62歲,0.00937
5037,2040,129,女性,62歲,0.00375
5038,2040,129,總計,63歲,0.00696
5039,2040,129,男性,63歲,0.01005
5040,2040,129,女性,63歲,0.00407
5041,2040,129,總計,64歲,0.00751
5042,2040,129,男性,64歲,0.01081
5043,2040,129,女性,64歲,0.00445
5044,2040,129,總計,65歲,0.00813
5045,2040,129,男性,65歲,0.01165
5046,2040,129,女性,65歲,0.00489
5047,2040,129,總計,66歲,0.00884
5048,2040,129,男性,66歲,0.0126
5049,2040,129,女性,66歲,0.0054
5050,2040,129,總計,67歲,0.00966
5051,2040,129,男性,67歲,0.01371
5052,2040,129,女性,67歲,0.00599
5053,2040,129,總計,68歲,0.01058
5054,2040,129,男性,68歲,0.01493
5055,2040,129,女性,68歲,0.00667
5056,2040,129,總計,69歲,0.01162
5057,2040,129,男性,69歲,0.0163
5058,2040,129,女性,69歲,0.00744
5059,2040,129,總計,70歲,0.01278
5060,2040,129,男性,70歲,0.01781
5061,2040,129,女性,70歲,0.00833
5062,2040,129,總計,71歲,0.01406
5063,2040,129,男性,71歲,0.01947
5064,2040,129,女性,71歲,0.00932
5065,2040,129,總計,72歲,0.01548
5066,2040,129,男性,72歲,0.02131
5067,2040,129,女性,72歲,0.01043
5068,2040,129,總計,73歲,0.01709
5069,2040,129,男性,73歲,0.02341
5070,2040,129,女性,73歲,0.01167
5071,2040,129,總計,74歲,0.01891
