項次,西元年,民國年,性別,年齡,死亡機率
147,2024,113,女性,48歲,0.00174
148,2024,113,總計,49歲,0.00337
149,2024,113,男性,49歲,0.00489
150,2024,113,女性,49歲,0.00189
151,2024,113,總計,50歲,0.00364
152,2024,113,男性,50歲,0.00529
153,2024,113,女性,50歲,0.00205
154,2024,113,總計,51歲,0.00395
155,2024,113,男性,51歲,0.0057
156,2024,113,女性,51歲,0.00226
157,2024,113,總計,52歲,0.00427
158,2024,113,男性,52歲,0.00615
159,2024,113,女性,52歲,0.00246
160,2024,113,總計,53歲,0.00459
161,2024,113,男性,53歲,0.00662
162,2024,113,女性,53歲,0.00264
163,2024,113,總計,54歲,0.00491
164,2024,113,男性,54歲,0.00709
165,2024,113,女性,54歲,0.00283
166,2024,113,總計,55歲,0.00523
167,2024,113,男性,55歲,0.00758
168,2024,113,女性,55歲,0.00299
169,2024,113,總計,56歲,0.00555
170,2024,113,男性,56歲,0.0081
171,2024,113,女性,56歲,0.00314
172,2024,113,總計,57歲,0.00597
173,2024,113,男性,57歲,0.00865
174,2024,113,女性,57歲,0.00344
175,2024,113,總計,58歲,0.00637
176,2024,113,男性,58歲,0.00922
177,2024,113,女性,58歲,0.0037
178,2024,113,總計,59歲,0.0068
179,2024,113,男性,59歲,0.00981
180,2024,113,女性,59歲,0.00399
181,2024,113,總計,60歲,0.00722
182,2024,113,男性,60歲,0.01044
183,2024,113,女性,60歲,0.00424
184,2024,113,總計,61歲,0.00768
185,2024,113,男性,61歲,0.01106
186,2024,113,女性,61歲,0.00458
187,2024,113,總計,62歲,0.00821
188,2024,113,男性,62歲,0.01179
189,2024,113,女性,62歲,0.00495
190,2024,113,總計,63歲,0.00887
191,2024,113,男性,63歲,0.01261
192,2024,113,女性,63歲,0.00548
193,2024,113,總計,64歲,0.00955
194,2024,113,男性,64歲,0.01355
195,2024,113,女性,64歲,0.00596
196,2024,113,總計,65歲,0.01035
197,2024,113,男性,65歲,0.01462
198,2024,113,女性,65歲,0.00655
199,2024,113,總計,66歲,0.01128
200,2024,113,男性,66歲,0.01583
