"統計期","死因別","主要死亡原因順位","死亡人數/合計[人]","死亡人數/男[人]","死亡人數/女[人]","死亡率/合計[人/十萬人口]","死亡率/男[人/十萬人口]","死亡率/女[人/十萬人口]"
"110年","氣管、支氣管和肺癌",1,995,588,407,38.82,48.19,30.30
"110年","肝和肝內膽管癌",4,642,421,221,25.04,34.50,16.45
"110年","結腸、直腸和肛門癌",2,820,425,395,31.99,34.83,29.41
"110年","胃癌",7,256,147,109,9.99,12.05,8.12
"110年","女性乳房癌",3,365,0,365,27.18,0,27.18
"110年","子宮頸及部位未明示子宮癌",14,60,0,60,4.47,0,4.47
"110年","前列腺(攝護腺)癌",5,212,212,0,17.37,17.37,0
"110年","非何杰金氏淋巴瘤",9,183,100,83,7.14,8.19,6.18
"110年","胰臟癌",6,338,179,159,13.19,14.67,11.84
"110年","口腔癌",8,205,179,26,8.00,14.67,1.94
"110年","食道癌",10,134,118,16,5.23,9.67,1.19
"110年","膽囊和其他膽道癌",19,60,34,26,2.34,2.79,1.94
"110年","白血病",15,114,70,44,4.45,5.74,3.28
"110年","鼻咽癌",18,61,45,16,2.38,3.69,1.19
"110年","卵巢癌",11,68,0,68,5.06,0,5.06
"111年","所有癌症死亡原因",1,5246,2846,2400,209.63,239.26,182.78
"111年","氣管、支氣管和肺癌",1,990,563,427,39.56,47.33,32.52
"111年","肝和肝內膽管癌",4,601,391,210,24.02,32.87,15.99
"111年","結腸、直腸和肛門癌",2,754,411,343,30.13,34.55,26.12
"111年","胃癌",7,277,161,116,11.07,13.54,8.83
"111年","女性乳房癌",3,394,0,394,30.01,0,30.01
"111年","子宮頸及部位未明示子宮癌",12,66,0,66,5.03,0,5.03
"111年","前列腺(攝護腺)癌",5,208,208,0,17.49,17.49,0
"111年","非何杰金氏淋巴瘤",10,177,102,75,7.07,8.58,5.71
"111年","胰臟癌",6,352,185,167,14.07,15.55,12.72
"111年","口腔癌",8,195,171,24,7.79,14.38,1.83
"111年","食道癌",15,112,93,19,4.48,7.82,1.45
"111年","膽囊和其他膽道癌",18,58,32,26,2.32,2.69,1.98
"111年","白血病",11,138,83,55,5.51,6.98,4.19
"111年","鼻咽癌",20,47,35,12,1.88,2.94,0.91
"111年","卵巢癌",9,97,0,97,7.39,0,7.39
"112年","所有癌症死亡原因",1,5325,2896,2429,213.32,245.00,184.82
"112年","氣管、支氣管和肺癌",1,1073,588,485,42.98,49.74,36.90
"112年","肝和肝內膽管癌",4,617,414,203,24.72,35.02,15.45
"112年","結腸、直腸和肛門癌",2,754,414,340,30.20,35.02,25.87
"112年","胃癌",7,277,155,122,11.10,13.11,9.28
"112年","女性乳房癌",3,352,0,352,26.78,0,26.78
"112年","子宮頸及部位未明示子宮癌",13,58,0,58,4.41,0,4.41
"112年","前列腺(攝護腺)癌",5,226,226,0,19.12,19.12,0
"112年","非何杰金氏淋巴瘤",8,190,117,73,7.61,9.90,5.55
"112年","胰臟癌",6,365,192,173,14.62,16.24,13.16
"112年","口腔癌",8,190,161,29,7.61,13.62,2.21
"112年","食道癌",11,126,109,17,5.05,9.22,1.29
"112年","膽囊和其他膽道癌",19,56,29,27,2.24,2.45,2.05
"112年","白血病",12,111,54,57,4.45,4.57,4.34
"112年","鼻咽癌",20,51,38,13,2.04,3.21,0.99
"112年","卵巢癌",10,96,0,96,7.30,0,7.30

