年份,鄉鎮市區碼,區域名稱,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,手術恢復床,嬰兒床,血液透析床,燒傷加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,腹膜透析床,急性後期照護病床,整合醫學急診後送病床,戒護病床,司法精神病床
102年,115,士林區,1,919,586,333,25,586,0,561,25,0,0,0,0,0,74,4,25,61,0,0,0,0,0.0,0,15,49,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,116,北投區,5,5038,4066,972,663,3758,308,3312,446,91,217,0,0,0,325,10,41,97,6,36,54,28,0.0,0,52,39,116,6.0,90.0,37.0,24.0,11.0,0.0,0.0,,,,
102年,117,信義區,2,841,545,296,25,545,0,520,25,0,0,0,0,0,59,0,17,21,0,20,72,15,0.0,0,13,15,60,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,
102年,118,中正區,3,2692,1910,782,68,1910,0,1842,68,0,0,0,0,0,260,10,48,122,0,17,0,15,0.0,0,54,20,70,4.0,97.0,0.0,51.0,14.0,0.0,0.0,,,,
102年,119,萬華區,5,523,317,206,0,238,79,238,0,79,0,0,0,0,14,0,0,10,2,0,30,0,0.0,0,4,16,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,120,文山區,2,844,580,264,38,580,0,542,38,0,0,0,0,0,46,4,10,29,6,10,60,10,0.0,0,8,15,54,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,
102年,3101,板橋區,8,1635,957,678,28,957,0,929,28,0,0,0,0,0,92,4,20,55,8,0,200,46,0.0,0,16,35,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,3102,三重區,5,812,461,351,0,461,0,461,0,0,0,0,0,0,44,0,0,43,3,0,154,0,0.0,0,7,6,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,3103,永和區,4,537,310,227,0,310,0,310,0,0,0,0,0,0,24,0,8,13,3,0,87,0,0.0,0,7,32,51,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,
102年,3104,中和區,7,1207,825,382,35,825,0,790,35,0,0,0,0,0,61,0,12,42,6,10,114,10,0.0,0,13,28,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,3105,新店區,6,2182,1529,653,240,1188,341,1089,99,200,141,0,0,0,150,0,28,87,10,29,103,32,0.0,0,20,48,138,0.0,0.0,0.0,8.0,0.0,0.0,0.0,,,,
102年,3106,新莊區,8,1643,1208,435,252,740,468,670,70,40,182,0,246,0,44,0,7,42,10,0,230,0,0.0,0,3,10,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,3107,樹林區,1,213,148,65,0,148,0,148,0,0,0,0,0,0,12,0,0,8,2,0,20,0,0.0,0,1,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,3108,鶯歌區,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,3109,三峽區,3,593,430,163,51,342,88,342,0,37,51,0,0,0,36,0,15,33,7,0,0,0,0.0,0,11,25,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,3110,淡水區,5,2031,1796,235,947,963,833,849,114,0,833,0,0,0,59,0,15,35,3,38,0,10,0.0,0,12,10,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,3111,汐止區,1,622,465,157,25,465,0,440,25,0,0,0,0,0,33,0,12,31,6,13,0,0,0.0,0,10,16,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,3112,瑞芳區,1,30,24,6,0,24,0,24,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,3113,土城區,4,348,148,200,0,148,0,148,0,0,0,0,0,0,10,0,0,5,0,0,168,0,0.0,0,2,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,3114,蘆洲區,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,3,1,0,17,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,3121,三芝區,1,85,85,0,85,0,85,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,3123,八里區,1,503,500,3,500,100,400,0,100,0,400,0,0,0,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
102年,3127,金山區,1,65,48,17,0,48,0,48,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103年,101,松山區,5,1325,848,477,153,745,103,695,50,0,103,0,0,0,56,0,33,65,0,0,84,0,0.0,0,15,70,142,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,
103年,102,大安區,5,1441,1064,377,0,1064,0,1064,0,0,0,0,0,0,62,0,23,63,0,0,37,0,0.0,0,19,52,115,4.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,
103年,109,大同區,1,3212,2389,823,540,2256,133,1849,407,0,133,0,0,0,157,0,35,111,11,11,186,33,0.0,12,27,50,153,0.0,5.0,0.0,32.0,0.0,0.0,0.0,,,,
103年,110,中山區,4,1258,792,466,0,772,20,772,0,20,0,0,0,0,100,0,55,39,0,0,90,10,0.0,0,12,71,48,8.0,20.0,9.0,4.0,0.0,0.0,0.0,,,,
103年,111,內湖區,3,2115,1551,564,118,1551,0,1433,118,0,0,0,0,0,118,8,46,48,2,15,82,24,0.0,0,40,51,106,3.0,0.0,1.0,18.0,2.0,0.0,0.0,,,,
103年,112,南港區,1,35,30,5,0,30,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103年,115,士林區,1,918,584,334,25,584,0,559,25,0,0,0,0,0,74,0,25,61,0,0,0,0,0.0,0,15,49,105,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,
103年,116,北投區,6,5098,4150,948,708,3866,284,3375,491,67,217,0,0,0,325,10,41,97,6,36,32,28,0.0,0,54,39,116,6.0,90.0,33.0,24.0,11.0,0.0,0.0,,,,
103年,117,信義區,2,852,545,307,25,545,0,520,25,0,0,0,0,0,59,0,17,32,0,20,72,15,0.0,0,13,15,60,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,
103年,118,中正區,4,2703,1922,781,68,1922,0,1854,68,0,0,0,0,0,260,10,48,122,0,17,0,15,0.0,0,54,20,70,4.0,96.0,0.0,51.0,14.0,0.0,0.0,,,,
103年,119,萬華區,4,456,250,206,0,171,79,171,0,79,0,0,0,0,14,0,0,10,2,0,30,0,0.0,0,4,16,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103年,120,文山區,2,844,580,264,38,580,0,542,38,0,0,0,0,0,46,4,10,29,6,10,60,10,0.0,0,8,15,54,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,
103年,3101,板橋區,8,1654,932,722,28,932,0,904,28,0,0,0,0,0,92,4,20,55,10,0,200,46,0.0,0,16,40,202,0.0,10.0,0.0,26.0,1.0,0.0,0.0,,,,
103年,3102,三重區,5,817,442,375,0,442,0,442,0,0,0,0,0,0,44,0,0,43,3,0,154,0,0.0,0,7,6,97,0.0,1.0,0.0,18.0,0.0,0.0,2.0,,,,
103年,3103,永和區,4,513,298,215,0,298,0,298,0,0,0,0,0,0,17,0,8,12,3,0,87,0,0.0,0,7,28,51,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,
103年,3104,中和區,7,1266,884,382,35,884,0,849,35,0,0,0,0,0,61,0,12,42,6,10,114,10,0.0,0,13,28,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103年,3105,新店區,6,2361,1667,694,240,1326,341,1227,99,200,141,0,0,0,158,0,28,91,10,29,103,32,0.0,0,21,50,150,0.0,4.0,0.0,16.0,2.0,0.0,0.0,,,,
103年,3106,新莊區,8,1619,1199,420,252,736,463,666,70,40,182,0,241,0,47,0,5,40,12,0,210,0,0.0,0,3,5,89,0.0,0.0,0.0,9.0,0.0,0.0,0.0,,,,
103年,3107,樹林區,1,213,148,65,0,148,0,148,0,0,0,0,0,0,12,0,0,8,2,0,20,0,0.0,0,1,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103年,3108,鶯歌區,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103年,3109,三峽區,2,542,379,163,0,342,37,342,0,37,0,0,0,0,36,0,15,33,7,0,0,0,0.0,0,11,25,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
103年,3110,淡水區,5,2033,1796,237,947,963,833,849,114,0,833,0,0,0,59,0,15,34,3,38,0,13,0.0,0,12,10,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
