年份,鄉鎮市區碼,區域名稱,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,手術恢復床,嬰兒床,血液透析床,燒傷加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,腹膜透析床,急性後期照護病床,整合醫學急診後送病床,戒護病床,司法精神病床
105年,3103,永和區,3,397,270,127,0,270,0,270,0,0,0,0,0,0,17,0,8,10,4,0,24,0,,0,6,26,30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
105年,3104,中和區,5,1381,984,397,100,984,0,884,100,0,0,0,0,0,72,0,12,35,11,10,100,10,,0,18,28,96,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,
105年,3105,新店區,6,2408,1737,671,260,1396,341,1277,119,200,141,0,0,0,147,0,26,75,21,29,103,32,,0,22,45,149,0.0,4.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,,
105年,3106,新莊區,8,1558,1141,417,252,732,409,662,70,40,182,0,187,0,47,0,5,35,12,0,194,0,,0,9,5,100,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,,
105年,3107,樹林區,1,197,132,65,0,132,0,132,0,0,0,0,0,0,12,0,0,8,2,0,20,0,,0,1,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
105年,3108,鶯歌區,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
105年,3109,三峽區,3,578,399,179,0,362,37,362,0,37,0,0,0,0,36,0,15,33,8,0,0,0,,0,11,25,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
105年,3110,淡水區,5,2032,1779,253,947,946,833,832,114,0,833,0,0,0,59,0,18,22,13,28,0,13,,0,12,10,53,0.0,5.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,,
105年,3111,汐止區,1,632,465,167,25,465,0,440,25,0,0,0,0,0,43,0,12,31,6,13,0,0,,0,10,16,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
105年,3112,瑞芳區,1,30,24,6,0,24,0,24,0,0,0,0,0,0,0,0,0,3,2,0,0,0,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
105年,3113,土城區,4,345,142,203,0,142,0,142,0,0,0,0,0,0,8,0,0,2,3,0,168,0,,0,2,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
105年,3114,蘆洲區,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,0,4,0,17,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
105年,3121,三芝區,1,87,85,2,85,0,85,0,0,0,85,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
105年,3123,八里區,1,503,500,3,500,100,400,0,100,0,400,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
105年,3127,金山區,1,70,48,22,0,48,0,48,0,0,0,0,0,0,0,0,0,5,2,2,0,0,,0,1,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
106年,101,松山區,5,1291,848,443,153,745,103,695,50,0,103,0,0,0,54,0,33,51,0,0,84,0,,0,16,57,138,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,
106年,102,大安區,5,1396,1013,383,0,1013,0,1013,0,0,0,0,0,0,61,0,23,57,0,0,37,8,,0,20,52,119,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
106年,109,大同區,1,3014,2220,794,498,2087,133,1722,365,0,133,0,0,0,164,0,35,80,11,19,185,6,,12,26,50,169,0.0,9.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,,
106年,110,中山區,4,1278,824,454,0,804,20,804,0,20,0,0,0,0,100,0,55,39,0,0,90,0,,0,12,71,48,8.0,20.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,,
106年,111,內湖區,3,2192,1598,594,118,1598,0,1480,118,0,0,0,0,0,129,8,46,42,2,15,112,24,,0,40,46,106,3.0,0.0,1.0,18.0,2.0,0.0,0.0,0.0,0.0,,
106年,115,士林區,1,832,543,289,25,543,0,518,25,0,0,0,0,0,62,0,21,40,0,8,0,8,,0,15,25,105,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
106年,116,北投區,6,5154,4169,985,705,3885,284,3397,488,67,217,0,0,0,311,14,41,97,6,42,32,28,,0,54,39,150,12.0,94.0,33.0,21.0,11.0,0.0,0.0,0.0,0.0,,
106年,117,信義區,2,803,545,258,25,545,0,520,25,0,0,0,0,0,59,0,17,25,0,20,40,0,,0,18,15,60,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,
106年,118,中正區,3,2660,1896,764,68,1896,0,1828,68,0,0,0,0,0,242,10,48,122,0,17,0,15,,0,56,20,70,4.0,96.0,1.0,49.0,14.0,0.0,0.0,0.0,0.0,,
106年,119,萬華區,4,439,248,191,0,169,79,169,0,79,0,0,0,0,8,0,0,10,8,0,30,0,,0,4,3,127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
106年,120,文山區,2,861,592,269,38,592,0,554,38,0,0,0,0,0,47,4,10,29,6,10,60,10,,0,12,15,54,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,
106年,3101,板橋區,7,1925,1062,863,48,1062,0,1014,48,0,0,0,0,0,117,12,20,49,85,15,200,54,,0,25,40,216,0.0,18.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,,
106年,3102,三重區,4,700,338,362,0,338,0,338,0,0,0,0,0,0,42,2,0,22,4,0,148,0,,0,10,3,111,0.0,1.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,,
106年,3103,永和區,3,401,270,131,0,270,0,270,0,0,0,0,0,0,21,0,8,10,4,0,24,0,,0,6,26,30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
106年,3104,中和區,5,1389,984,405,100,984,0,884,100,0,0,0,0,0,72,0,12,35,10,10,100,10,,0,27,28,96,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,
106年,3105,新店區,6,2469,1806,663,260,1465,341,1346,119,200,141,0,0,0,148,0,26,75,15,29,103,32,,0,22,45,154,0.0,4.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,,
106年,3106,新莊區,8,1532,1109,423,252,719,390,649,70,40,182,0,168,0,50,0,5,35,6,8,182,0,,0,11,5,100,0.0,0.0,0.0,9.0,0.0,0.0,1.0,11.0,0.0,,
106年,3107,樹林區,1,193,132,61,0,132,0,132,0,0,0,0,0,0,10,0,0,8,2,0,20,0,,0,1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
106年,3108,鶯歌區,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
106年,3109,三峽區,3,570,386,184,0,349,37,349,0,37,0,0,0,0,36,0,11,33,15,0,0,0,,0,11,25,51,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
106年,3110,淡水區,5,1987,1734,253,902,946,788,832,114,0,788,0,0,0,59,0,18,22,13,28,0,13,,0,12,10,53,0.0,5.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,,
106年,3111,汐止區,1,637,465,172,25,465,0,440,25,0,0,0,0,0,43,0,12,31,6,13,0,0,,0,10,16,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
106年,3112,瑞芳區,1,30,24,6,0,24,0,24,0,0,0,0,0,0,0,0,0,3,2,0,0,0,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
106年,3113,土城區,4,345,142,203,0,142,0,142,0,0,0,0,0,0,8,0,0,2,3,0,168,0,,0,2,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
106年,3114,蘆洲區,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,0,4,0,17,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
106年,3116,泰山區,1,249,168,81,0,168,0,168,0,0,0,0,0,0,20,0,5,23,0,0,0,0,,0,10,5,12,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,
106年,3121,三芝區,1,87,85,2,85,0,85,0,0,0,85,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
106年,3123,八里區,1,515,500,15,500,100,400,0,100,0,400,0,0,0,0,0,0,3,12,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
106年,3127,金山區,1,70,48,22,0,48,0,48,0,0,0,0,0,0,0,0,0,5,2,2,0,0,,0,1,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
107年,101,松山區,5,1291,848,443,153,745,103,695,50,0,103,0,0,0,54,0,33,51,0,0,84,0,,0,16,57,138,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,
107年,102,大安區,6,1414,1032,382,0,1032,0,1032,0,0,0,0,0,0,69,0,23,57,0,0,37,0,,0,21,52,117,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
107年,109,大同區,1,3103,2323,780,498,2190,133,1825,365,0,133,0,0,0,155,0,30,80,11,22,185,0,,12,26,50,167,0.0,9.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,,
107年,110,中山區,4,1282,833,449,0,813,20,813,0,20,0,0,0,0,100,0,55,39,0,0,90,0,,0,12,66,48,8.0,20.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,,
107年,111,內湖區,3,2241,1610,631,118,1610,0,1492,118,0,0,0,0,0,126,8,46,42,2,15,152,24,,0,40,46,106,3.0,0.0,1.0,18.0,2.0,0.0,0.0,0.0,0.0,,
107年,115,士林區,1,833,543,290,25,543,0,518,25,0,0,0,0,0,62,0,21,40,0,8,0,8,,0,16,25,105,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
107年,116,北投區,6,5060,4071,989,704,3787,284,3300,487,67,217,0,0,0,313,14,41,97,6,44,32,28,,0,54,39,150,12.0,94.0,33.0,21.0,11.0,0.0,0.0,0.0,0.0,,
107年,117,信義區,1,741,525,216,25,525,0,500,25,0,0,0,0,0,59,0,17,25,0,14,0,0,,0,18,15,60,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,
107年,118,中正區,3,2668,1888,780,68,1888,0,1820,68,0,0,0,0,0,260,10,48,120,0,17,0,15,,0,56,20,70,4.0,96.0,1.0,49.0,14.0,0.0,0.0,0.0,0.0,,
107年,119,萬華區,4,440,248,192,0,169,79,169,0,79,0,0,0,0,8,0,0,10,6,0,30,0,,0,7,3,127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
107年,120,文山區,2,861,592,269,38,592,0,554,38,0,0,0,0,0,47,4,10,29,6,10,60,10,,0,12,15,54,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,
107年,3101,板橋區,7,1943,1053,890,50,1053,0,1003,50,0,0,0,0,0,119,12,20,49,85,16,200,54,,0,24,25,216,0.0,18.0,0.0,11.0,1.0,0.0,0.0,0.0,40.0,,
107年,3102,三重區,4,729,378,351,0,378,0,378,0,0,0,0,0,0,42,2,0,20,4,0,130,0,,0,10,3,120,0.0,1.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,,
107年,3103,永和區,2,363,250,113,0,250,0,250,0,0,0,0,0,0,21,0,8,10,3,0,24,0,,0,5,10,30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
107年,3104,中和區,5,1393,998,395,100,998,0,898,100,0,0,0,0,0,78,0,12,35,10,10,84,10,,0,27,28,96,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,
107年,3105,新店區,7,2584,1856,728,260,1515,341,1396,119,200,141,0,0,0,149,0,26,75,14,20,183,24,,0,24,45,154,0.0,4.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,,
107年,3106,新莊區,8,1518,1102,416,252,712,390,642,70,40,182,0,168,0,50,0,5,33,6,8,169,0,,0,11,5,108,0.0,0.0,0.0,9.0,0.0,0.0,1.0,11.0,0.0,,
107年,3107,樹林區,1,193,132,61,0,132,0,132,0,0,0,0,0,0,10,0,0,8,2,0,20,0,,0,1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
107年,3108,鶯歌區,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
107年,3109,三峽區,3,571,386,185,0,349,37,349,0,37,0,0,0,0,36,0,11,33,15,0,0,0,,0,12,25,51,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
107年,3110,淡水區,5,1987,1734,253,902,946,788,832,114,0,788,0,0,0,59,0,18,22,13,28,0,13,,0,12,10,53,0.0,5.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,,
107年,3111,汐止區,1,635,465,170,25,465,0,440,25,0,0,0,0,0,41,0,12,31,6,13,0,0,,0,10,16,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
107年,3112,瑞芳區,1,30,24,6,0,24,0,24,0,0,0,0,0,0,0,0,0,3,2,0,0,0,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
107年,3113,土城區,4,358,155,203,0,155,0,155,0,0,0,0,0,0,8,0,0,2,3,0,168,0,,0,2,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
107年,3114,蘆洲區,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,0,4,0,17,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
107年,3116,泰山區,1,451,338,113,0,338,0,338,0,0,0,0,0,0,30,0,5,23,0,0,0,0,,0,10,10,29,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,
107年,3121,三芝區,1,87,85,2,85,0,85,0,0,0,85,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
107年,3123,八里區,1,503,500,3,500,150,350,0,150,0,350,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
107年,3127,金山區,1,70,48,22,0,48,0,48,0,0,0,0,0,0,0,0,0,5,2,2,0,0,,0,1,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
108年,101,松山區,5,1250,807,443,153,704,103,654,50,0,103,0,0,0,54,0,33,51,0,0,84,0,,0,16,57,138,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,
108年,102,大安區,6,1408,1017,391,0,1017,0,1017,0,0,0,0,0,0,78,0,23,42,0,0,37,8,,0,28,52,117,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
108年,109,大同區,1,3080,2317,763,498,2184,133,1819,365,0,133,0,0,0,133,0,30,80,11,27,185,0,,12,26,50,167,0.0,9.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,,
108年,110,中山區,4,1234,804,430,0,784,20,784,0,20,0,0,0,0,100,0,55,39,0,0,90,0,,0,12,62,48,8.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
108年,111,內湖區,3,2259,1620,639,118,1620,0,1502,118,0,0,0,0,0,127,8,46,47,2,15,152,24,,0,40,46,108,3.0,0.0,1.0,18.0,2.0,0.0,0.0,0.0,0.0,,
108年,115,士林區,1,833,543,290,25,543,0,518,25,0,0,0,0,0,62,0,21,40,0,8,0,8,,0,16,25,105,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
108年,116,北投區,6,4863,3923,940,678,3639,284,3178,461,67,217,0,0,0,278,14,41,97,6,44,32,28,,0,49,39,150,12.0,86.0,33.0,21.0,10.0,0.0,0.0,0.0,0.0,,
108年,117,信義區,1,727,525,202,25,525,0,500,25,0,0,0,0,0,59,0,12,25,0,10,0,0,,0,18,10,60,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,
108年,118,中正區,3,2690,1927,763,68,1927,0,1859,68,0,0,0,0,0,261,10,48,120,0,17,0,15,,0,56,20,52,4.0,94.0,1.0,51.0,14.0,0.0,0.0,0.0,0.0,,
108年,119,萬華區,4,440,248,192,0,169,79,169,0,79,0,0,0,0,8,0,0,10,6,0,30,0,,0,7,3,127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
108年,120,文山區,2,861,592,269,38,592,0,554,38,0,0,0,0,0,47,4,10,29,6,10,60,10,,0,12,15,54,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,
108年,3101,板橋區,7,1959,1064,895,50,1064,0,1014,50,0,0,0,0,0,119,12,24,49,85,16,200,52,,0,24,25,216,0.0,18.0,0.0,11.0,4.0,0.0,0.0,0.0,40.0,,
108年,3102,三重區,4,780,425,355,0,425,0,425,0,0,0,0,0,0,42,2,0,20,4,0,130,0,,0,10,3,124,0.0,1.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,,
108年,3103,永和區,2,363,250,113,0,250,0,250,0,0,0,0,0,0,21,0,8,10,3,0,24,0,,0,5,10,30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
108年,3104,中和區,5,1398,998,400,100,998,0,898,100,0,0,0,0,0,78,0,12,35,10,10,84,6,,0,27,28,104,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,,
108年,3105,新店區,7,2603,1876,727,260,1535,341,1416,119,200,141,0,0,0,149,0,22,70,14,20,182,24,,0,25,38,169,0.0,4.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,,
108年,3106,新莊區,8,1526,1102,424,252,712,390,642,70,40,182,0,168,0,50,0,5,33,6,8,169,0,,0,11,5,116,0.0,0.0,0.0,9.0,0.0,0.0,1.0,11.0,0.0,,
108年,3107,樹林區,1,189,132,57,0,132,0,132,0,0,0,0,0,0,6,0,0,8,2,0,20,0,,0,1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
108年,3108,鶯歌區,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
108年,3109,三峽區,3,571,386,185,0,349,37,349,0,37,0,0,0,0,36,0,11,33,15,0,0,0,,0,12,25,51,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
108年,3110,淡水區,4,1680,1428,252,719,805,623,709,96,0,623,0,0,0,59,0,18,22,13,28,0,13,,0,11,10,53,0.0,5.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,,
108年,3111,汐止區,1,635,461,174,25,461,0,436,25,0,0,0,0,0,41,0,12,31,6,13,0,0,,0,10,16,41,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,
108年,3112,瑞芳區,1,30,24,6,0,24,0,24,0,0,0,0,0,0,0,0,0,3,2,0,0,0,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
108年,3113,土城區,4,357,155,202,0,155,0,155,0,0,0,0,0,0,8,0,0,1,3,0,168,0,,0,2,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
108年,3114,蘆洲區,1,36,19,17,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,17,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
108年,3116,泰山區,1,554,431,123,0,431,0,431,0,0,0,0,0,0,35,0,8,23,0,0,0,0,,0,12,10,29,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,
108年,3121,三芝區,1,87,85,2,85,0,85,0,0,0,85,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
108年,3123,八里區,1,503,500,3,500,150,350,0,150,0,350,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
108年,3127,金山區,1,70,48,22,0,48,0,48,0,0,0,0,0,0,0,0,0,5,2,2,0,0,,0,1,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
109年,101,松山區,5,1276,833,443,153,730,103,680,50,0,103,0,0,0,54,0,33,51,0,0,84,0,,0,16,57,138,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,
109年,102,大安區,6,1619,1154,465,0,1154,0,1154,0,0,0,0,0,0,84,0,23,61,0,0,37,8,,0,41,50,117,4.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,,
109年,109,大同區,1,3071,2313,758,498,2180,133,1815,365,0,133,0,0,0,128,0,30,80,11,27,185,0,,12,26,50,167,0.0,9.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,,
109年,110,中山區,4,1117,804,313,0,784,20,784,0,20,0,0,0,0,92,0,55,39,0,0,0,0,,0,16,62,23,8.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,
109年,111,內湖區,3,2298,1642,656,118,1642,0,1524,118,0,0,0,0,0,144,8,46,47,2,15,152,24,,0,40,46,108,3.0,0.0,1.0,18.0,2.0,0.0,0.0,0.0,0.0,,
109年,115,士林區,1,833,543,290,25,543,0,518,25,0,0,0,0,0,62,0,21,40,0,8,0,8,,0,16,25,105,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
109年,116,北投區,6,4885,3946,939,704,3662,284,3175,487,67,217,0,0,0,296,14,36,89,0,44,32,28,,0,58,31,156,12.0,82.0,33.0,18.0,10.0,0.0,0.0,0.0,0.0,,
109年,117,信義區,1,727,525,202,25,525,0,500,25,0,0,0,0,0,59,0,12,25,0,10,0,0,,0,18,10,60,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,
109年,118,中正區,3,2639,1927,712,68,1927,0,1859,68,0,0,0,0,0,219,10,48,120,0,17,0,14,,0,54,20,52,4.0,94.0,1.0,51.0,8.0,0.0,0.0,0.0,0.0,,
109年,119,萬華區,4,409,245,164,0,166,79,166,0,79,0,0,0,0,8,0,0,9,0,0,30,0,,0,7,3,106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
109年,120,文山區,2,868,592,276,38,592,0,554,38,0,0,0,0,0,47,0,10,29,6,10,60,10,,0,12,15,61,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,
109年,3101,板橋區,7,1947,1064,883,50,1064,0,1014,50,0,0,0,0,0,119,12,24,49,85,16,200,52,,0,24,25,197,0.0,25.0,0.0,11.0,4.0,0.0,0.0,0.0,40.0,,
109年,3102,三重區,4,766,411,355,0,411,0,411,0,0,0,0,0,0,42,2,0,20,4,0,130,0,,0,10,3,124,0.0,1.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,,
109年,3103,永和區,2,359,250,109,0,250,0,250,0,0,0,0,0,0,21,0,8,10,3,0,20,0,,0,5,10,30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
109年,3104,中和區,5,1402,998,404,100,998,0,898,100,0,0,0,0,0,80,0,12,35,10,10,84,8,,0,27,28,104,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,,
109年,3105,新店區,7,2683,1952,731,284,1647,305,1468,179,200,105,0,0,0,149,0,22,70,14,20,182,24,,0,25,38,173,0.0,4.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,,
109年,3106,新莊區,8,1520,1106,414,252,716,390,646,70,40,182,0,168,0,51,0,5,31,6,9,160,0,,0,10,5,116,0.0,0.0,0.0,9.0,0.0,0.0,1.0,11.0,0.0,,
109年,3107,樹林區,1,189,132,57,0,132,0,132,0,0,0,0,0,0,6,0,0,8,2,0,20,0,,0,1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
109年,3108,鶯歌區,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
109年,3109,三峽區,3,571,386,185,0,349,37,349,0,37,0,0,0,0,36,0,11,33,15,0,0,0,,0,12,25,51,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
109年,3110,淡水區,4,1680,1428,252,719,805,623,709,96,0,623,0,0,0,59,0,18,22,13,28,0,13,,0,11,10,53,0.0,5.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,,
109年,3111,汐止區,1,642,459,183,25,459,0,434,25,0,0,0,0,0,46,0,12,31,6,13,0,0,,0,10,16,45,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,
109年,3112,瑞芳區,1,40,20,20,0,20,0,20,0,0,0,0,0,0,0,0,0,3,2,0,0,0,,0,1,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
109年,3113,土城區,5,753,435,318,0,435,0,435,0,0,0,0,0,0,32,0,10,40,3,0,168,0,,0,8,10,35,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,
109年,3114,蘆洲區,1,36,19,17,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,17,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
109年,3116,泰山區,1,583,431,152,0,431,0,431,0,0,0,0,0,0,55,0,8,23,0,0,0,0,,0,12,10,38,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,
109年,3121,三芝區,1,87,85,2,85,0,85,0,0,0,85,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
109年,3123,八里區,1,503,500,3,500,150,350,0,150,0,350,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
109年,3127,金山區,1,82,48,34,0,48,0,48,0,0,0,0,0,0,0,0,0,5,2,2,0,0,,0,1,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
110年,101,松山區,5,1272,830,442,153,727,103,677,50,0,103,0,0,0,50,0,33,51,0,0,84,0,,0,19,57,138,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,
110年,102,大安區,6,1759,1256,503,0,1256,0,1256,0,0,0,0,0,0,109,0,23,61,0,0,37,0,,0,41,50,132,4.0,0.0,0.0,16.0,30.0,0.0,0.0,0.0,0.0,0.0,
