git年份,性別,縣市,癌症類別,發生率,癌症發生數,平均年齡,年齡中位數,粗率 (每10萬人口)
2018,男,台北市,鼻咽,6.3,112 ,54.92,54.0,8.8
2018,男,台北市,食道,8.09,178 ,64.15,63.0,13.98
2018,男,台北市,胃,13.6,321 ,70.8,71.0,25.21
2018,男,台北市,小腸,1.23,23 ,60.48,59.0,1.81
2018,男,台北市,結直腸,43.61,974 ,67.3,67.0,76.49
2018,男,台北市,肝及肝內膽管,29.3,659 ,67.04,66.0,51.75
2018,男,台北市,膽囊及肝外膽管,1.91,47 ,73.91,73.0,3.69
2018,男,台北市,胰,7.89,184 ,69.68,69.0,14.45
2018,男,台北市,後腹膜腔及腹膜,0.66,12 ,57.25,63.5,0.94
2018,男,台北市,消化器官其他分界不明部位,0.02,1 ,92.0,92.0,0.08
2018,男,台北市,鼻腔、中耳及副鼻竇,1.27,23 ,58.35,60.0,1.81
2018,男,台北市,喉,2.81,64 ,69.11,70.0,5.03
2018,男,台北市,肺、支氣管及氣管,40.94,926 ,68.5,69.0,72.72
2018,男,台北市,胸膜,0.35,8 ,67.75,67.5,0.63
2018,男,台北市,胸腺、心臟與中隔,2.89,52 ,56.56,54.0,4.08
2018,男,台北市,骨、關節及關節軟骨,0.59,7 ,41.0,40.0,0.55
2018,男,台北市,結締組織、皮下組織及其他軟組織,2.86,50 ,57.52,63.0,3.93
2018,男,台北市,皮膚,8.09,192 ,71.47,74.0,15.08
2018,男,台北市,男性乳房,0.35,8 ,73.38,78.0,0.63
2018,男,台北市,攝護腺,41.87,"1,008 ",72.67,72.0,79.16
2018,男,台北市,睪丸,2.3,25 ,29.72,32.0,1.96
2018,男,台北市,其他男性生殖器官,0.6,14 ,65.43,64.0,1.1
2018,男,台北市,膀胱,6.45,158 ,73.3,73.0,12.41
2018,男,台北市,腎,7.6,157 ,61.91,62.0,12.33
2018,男,台北市,腎盂及其他泌尿系統,3.32,75 ,69.16,69.0,5.89
