git年份,性別,縣市,癌症類別,發生率,癌症發生數,平均年齡,年齡中位數,粗率 (每10萬人口)
2019,男,新北市,腎,8.53,254 ,58.82,60.0,12.94
2019,男,新北市,腎盂及其他泌尿系統,3.64,114 ,68.35,67.5,5.81
2019,男,新北市,眼及淚腺,0.3,6 ,51.5,57.5,0.31
2019,男,新北市,腦,2.35,58 ,53.98,57.0,2.95
2019,男,新北市,其他神經系統,0.15,4 ,51.5,55.5,0.2
2019,男,新北市,甲狀腺,8.82,240 ,50.55,51.0,12.22
2019,男,新北市,其他內分泌腺,1.48,24 ,35.54,39.0,1.22
2019,男,新北市,其他分界不明的部位,0.4,13 ,59.31,64.0,0.66
2019,男,新北市,不明原發部位,2.14,66 ,69.92,71.0,3.36
2019,男,新北市,何杰金氏淋巴瘤,0.94,21 ,45.76,47.0,1.07
2019,男,新北市,白血病,11.41,272 ,55.53,60.0,13.85
2019,男,新北市,非何杰金氏淋巴瘤,10.22,294 ,61.69,64.0,14.97
2019,男,新北市,漿細胞瘤,2.01,64 ,68.3,68.0,3.26
2019,男,新北市,全癌症,344.91,"10,397 ",63.72,64.0,529.47
2019,女,台北市,口腔、口咽及下咽,3.03,79 ,65.08,65.0,5.7
2019,女,台北市,主唾液腺,0.45,11 ,61.0,63.0,0.79
2019,女,台北市,鼻咽,1.44,33 ,56.97,57.0,2.38
2019,女,台北市,食道,0.79,24 ,71.0,66.5,1.73
2019,女,台北市,胃,7.78,220 ,69.06,69.0,15.88
2019,女,台北市,小腸,1.27,35 ,67.46,68.0,2.53
2019,女,台北市,結直腸,31.64,880 ,68.49,69.0,63.54
2019,女,台北市,肝及肝內膽管,9.05,275 ,72.58,73.0,19.86
2019,女,台北市,膽囊及肝外膽管,1.67,57 ,76.91,81.0,4.12
2019,女,台北市,胰,6.13,177 ,69.77,69.0,12.78
2019,女,台北市,後腹膜腔及腹膜,1.39,37 ,66.03,67.0,2.67
2019,女,台北市,鼻腔、中耳及副鼻竇,0.44,10 ,58.5,60.0,0.72
2019,女,台北市,喉,0.25,7 ,65.86,65.0,0.51
2019,女,台北市,肺、支氣管及氣管,42.18,"1,123 ",65.83,66.0,81.08
2019,女,台北市,胸膜,0.09,2 ,54.5,54.5,0.14
2019,女,台北市,胸腺、心臟與中隔,1.29,28 ,58.11,58.5,2.02
2019,女,台北市,骨、關節及關節軟骨,0.67,10 ,48.1,46.5,0.72
2019,女,台北市,結締組織、皮下組織及其他軟組織,1.22,27 ,61.41,65.0,1.95
2019,女,台北市,皮膚,6.54,208 ,74.86,76.0,15.02
2019,女,台北市,女性乳房,93.41,"2,114 ",58.18,58.0,152.64
2019,女,台北市,子宮,0.05,1 ,53.0,53.0,0.07
2019,女,台北市,子宮頸,7.1,154 ,57.69,56.0,11.12
2019,女,台北市,子宮體,19.1,436 ,58.01,57.0,31.48
2019,女,台北市,卵巢、輸卵管及寬韌帶,10.24,211 ,54.61,55.0,15.23
2019,女,台北市,其他女性生殖器官,0.92,26 ,69.42,71.5,1.88
2019,女,台北市,膀胱,2.84,87 ,73.34,75.0,6.28
2019,女,台北市,腎,2.47,68 ,66.94,65.0,4.91
2019,女,台北市,腎盂及其他泌尿系統,3.61,113 ,73.96,75.0,8.16
2019,女,台北市,眼及淚腺,0.03,1 ,75.0,75.0,0.07
2019,女,台北市,腦,2.75,43 ,48.67,50.0,3.1
2019,女,台北市,其他神經系統,0.48,6 ,38.5,42.0,0.43
2019,女,台北市,甲狀腺,22.71,418 ,50.0,49.0,30.18
2019,女,台北市,其他內分泌腺,0.49,8 ,48.0,48.5,0.58
2019,女,台北市,其他分界不明的部位,0.03,1 ,77.0,77.0,0.07
2019,女,台北市,不明原發部位,1.35,42 ,74.12,77.5,3.03
2019,女,台北市,何杰金氏淋巴瘤,0.51,8 ,44.5,45.5,0.58
2019,女,台北市,白血病,6.49,144 ,62.92,66.0,10.4
2019,女,台北市,非何杰金氏淋巴瘤,7.38,196 ,67.22,68.0,14.15
2019,女,台北市,漿細胞瘤,1.21,35 ,68.43,65.0,2.53
2019,女,台北市,全癌症,300.77,"7,364 ",62.89,63.0,531.7
2019,女,新北市,口腔、口咽及下咽,3.67,126 ,62.61,64.5,6.13
2019,女,新北市,主唾液腺,1.03,29 ,52.69,52.0,1.41
2019,女,新北市,鼻咽,1.97,57 ,52.81,52.0,2.77
2019,女,新北市,食道,0.92,33 ,66.09,66.0,1.61
2019,女,新北市,胃,8.15,289 ,66.77,67.0,14.06
2019,女,新北市,小腸,0.82,30 ,66.53,66.5,1.46
2019,女,新北市,結直腸,34.43,"1,222 ",65.5,66.0,59.46
2019,女,新北市,肝及肝內膽管,13.78,505 ,70.59,71.0,24.57
2019,女,新北市,膽囊及肝外膽管,2.64,100 ,71.6,71.5,4.87
2019,女,新北市,胰,6.1,217 ,67.59,69.0,10.56
2019,女,新北市,後腹膜腔及腹膜,1.03,36 ,63.89,65.5,1.75
2019,女,新北市,消化器官其他分界不明部位,0.08,3 ,71.33,72.0,0.15
2019,女,新北市,鼻腔、中耳及副鼻竇,0.56,17 ,57.41,53.0,0.83
2019,女,新北市,喉,0.32,11 ,64.18,66.0,0.54
2019,女,新北市,肺、支氣管及氣管,37.67,"1,358 ",64.23,64.0,66.08
2019,女,新北市,胸膜,0.12,4 ,62.75,68.5,0.19
2019,女,新北市,胸腺、心臟與中隔,1.16,37 ,56.81,61.0,1.8
2019,女,新北市,骨、關節及關節軟骨,0.6,10 ,33.8,27.0,0.49
2019,女,新北市,結締組織、皮下組織及其他軟組織,1.65,50 ,57.16,60.0,2.43
2019,女,新北市,皮膚,7.09,261 ,72.04,74.0,12.7
2019,女,新北市,女性乳房,88.74,"2,875 ",55.84,55.0,139.9
2019,女,新北市,子宮,0.06,2 ,54.5,54.5,0.1
2019,女,新北市,子宮頸,8.15,245 ,54.37,53.0,11.92
2019,女,新北市,子宮體,17.63,584 ,56.07,56.0,28.42
2019,女,新北市,卵巢、輸卵管及寬韌帶,12.14,366 ,54.28,54.0,17.81
2019,女,新北市,其他女性生殖器官,0.85,28 ,63.14,62.0,1.36
2019,女,新北市,膀胱,2.75,105 ,70.22,69.0,5.11
2019,女,新北市,腎,3.38,111 ,61.36,63.0,5.4
2019,女,新北市,腎盂及其他泌尿系統,3.75,144 ,73.72,74.5,7.01
2019,女,新北市,眼及淚腺,0.55,8 ,30.75,31.5,0.39
2019,女,新北市,腦,2.52,61 ,49.59,52.0,2.97
2019,女,新北市,其他神經系統,0.32,8 ,54.38,55.5,0.39
2019,女,新北市,甲狀腺,21.94,616 ,49.49,50.0,29.98
2019,女,新北市,其他內分泌腺,0.99,21 ,45.48,55.0,1.02
2019,女,新北市,其他分界不明的部位,0.03,1 ,52.0,52.0,0.05
2019,女,新北市,不明原發部位,1.26,46 ,72.22,74.5,2.24
2019,女,新北市,何杰金氏淋巴瘤,0.96,22 ,45.59,42.5,1.07
2019,女,新北市,白血病,6.94,191 ,57.04,62.0,9.29
2019,女,新北市,非何杰金氏淋巴瘤,7.17,243 ,62.04,63.0,11.82
2019,女,新北市,漿細胞瘤,1.59,62 ,67.92,66.0,3.02
2019,女,新北市,全癌症,305.87,"10,143 ",60.4,60.0,493.57
2020,全,台北市,口腔、口咽及下咽,11.44,527 ,61.97,62.0,20.25
2020,全,台北市,主唾液腺,0.94,36 ,56.31,59.0,1.38
2020,全,台北市,鼻咽,3.57,137 ,54.36,55.0,5.26
2020,全,台北市,食道,4.2,202 ,64.42,63.0,7.76
2020,全,台北市,胃,9.36,506 ,70.91,71.5,19.44
2020,全,台北市,小腸,0.96,50 ,69.22,71.0,1.92
2020,全,台北市,結直腸,36.81,"1,909 ",68.67,69.0,73.35
2020,全,台北市,肝及肝內膽管,16.76,878 ,68.73,69.0,33.74
2020,全,台北市,膽囊及肝外膽管,2.14,120 ,72.85,73.0,4.61
2020,全,台北市,胰,7.18,380 ,69.68,70.0,14.6
2020,全,台北市,後腹膜腔及腹膜,0.98,42 ,62.83,67.0,1.61
2020,全,台北市,消化器官其他分界不明部位,0.03,1 ,54.0,54.0,0.04
2020,全,台北市,鼻腔、中耳及副鼻竇,0.59,24 ,59.67,62.0,0.92
2020,全,台北市,喉,1.3,62 ,65.81,65.0,2.38
2020,全,台北市,肺、支氣管及氣管,40.57,"2,067 ",67.4,67.0,79.43
2020,全,台北市,胸膜,0.16,7 ,61.71,62.0,0.27
2020,全,台北市,胸腺、心臟與中隔,2.37,91 ,56.87,60.0,3.5
2020,全,台北市,骨、關節及關節軟骨,0.69,16 ,39.06,37.5,0.61
2020,全,台北市,結締組織、皮下組織及其他軟組織,2.48,90 ,57.58,60.5,3.46
2020,全,台北市,皮膚,7.25,398 ,73.02,75.0,15.29
2020,全,台北市,膀胱,4.76,273 ,72.75,72.0,10.49
2020,全,台北市,腎,4.77,219 ,63.06,64.0,8.42
2020,全,台北市,腎盂及其他泌尿系統,3.09,187 ,74.76,76.0,7.19
2020,全,台北市,眼及淚腺,0.04,2 ,57.5,57.5,0.08
2020,全,台北市,腦,2.49,87 ,55.83,59.0,3.34
2020,全,台北市,其他神經系統,0.21,7 ,49.29,50.0,0.27
2020,全,台北市,甲狀腺,16.21,544 ,49.56,50.0,20.9
2020,全,台北市,其他內分泌腺,0.61,19 ,49.37,49.0,0.73
2020,全,台北市,其他分界不明的部位,0.12,6 ,64.0,60.5,0.23
2020,全,台北市,不明原發部位,1.31,76 ,75.17,78.0,2.92
2020,全,台北市,何杰金氏淋巴瘤,1.1,26 ,41.46,32.0,1.0
2020,全,台北市,白血病,7.67,307 ,61.09,65.0,11.8
2020,全,台北市,非何杰金氏淋巴瘤,9.3,436 ,66.07,67.0,16.75
2020,全,台北市,漿細胞瘤,2.07,108 ,70.3,72.0,4.15
2020,全,台北市,全癌症,293.29,"13,826 ",64.93,66.0,531.28
2020,全,新北市,口腔、口咽及下咽,18.99,"1,260 ",58.92,58.0,31.26
2020,全,新北市,主唾液腺,1.04,64 ,58.23,61.0,1.59
2020,全,新北市,鼻咽,3.94,228 ,52.23,52.0,5.66
2020,全,新北市,食道,6.63,458 ,61.02,60.0,11.36
2020,全,新北市,胃,10.55,751 ,67.86,67.0,18.63
2020,全,新北市,小腸,1.62,106 ,62.29,63.0,2.63
2020,全,新北市,結直腸,39.34,"2,690 ",65.26,66.0,66.73
2020,全,新北市,肝及肝內膽管,23.02,"1,602 ",66.46,67.0,39.74
2020,全,新北市,膽囊及肝外膽管,2.85,203 ,68.78,69.0,5.04
2020,全,新北市,胰,7.89,555 ,67.51,67.0,13.77
2020,全,新北市,後腹膜腔及腹膜,1.05,70 ,59.67,62.5,1.74
2020,全,新北市,消化器官其他分界不明部位,0.01,1 ,70.0,70.0,0.02
2020,全,新北市,鼻腔、中耳及副鼻竇,0.67,42 ,57.17,57.0,1.04
2020,全,新北市,喉,1.78,126 ,62.86,62.0,3.13
2020,全,新北市,肺、支氣管及氣管,40.43,"2,836 ",66.22,66.0,70.36
2020,全,新北市,胸膜,0.2,12 ,58.92,65.0,0.3
2020,全,新北市,胸腺、心臟與中隔,1.56,96 ,58.33,60.0,2.38
2020,全,新北市,骨、關節及關節軟骨,0.8,33 ,45.12,49.0,0.82
2020,全,新北市,結締組織、皮下組織及其他軟組織,1.99,101 ,53.6,55.0,2.51
2020,全,新北市,皮膚,8.15,566 ,69.14,69.0,14.04
2020,全,新北市,膀胱,4.84,351 ,70.36,70.0,8.71
2020,全,新北市,腎,5.16,335 ,60.32,61.0,8.31
2020,全,新北市,腎盂及其他泌尿系統,3.09,219 ,70.93,71.0,5.43
2020,全,新北市,眼及淚腺,0.21,7 ,36.71,52.0,0.17
2020,全,新北市,腦,2.66,132 ,53.15,57.0,3.27
2020,全,新北市,其他神經系統,0.16,9 ,52.0,52.0,0.22
2020,全,新北市,甲狀腺,15.17,841 ,49.78,49.0,20.86
2020,全,新北市,其他內分泌腺,0.7,34 ,48.79,52.0,0.84
2020,全,新北市,其他分界不明的部位,0.08,6 ,64.67,63.0,0.15
2020,全,新北市,不明原發部位,1.42,100 ,69.34,70.0,2.48
2020,全,新北市,何杰金氏淋巴瘤,1.08,43 ,39.21,30.0,1.07
2020,全,新北市,白血病,9.79,513 ,57.29,62.0,12.73
2020,全,新北市,非何杰金氏淋巴瘤,8.91,583 ,63.8,65.0,14.46
2020,全,新北市,漿細胞瘤,1.9,133 ,66.12,65.0,3.3
2020,全,新北市,全癌症,314.95,"20,669 ",62.45,63.0,512.76
2020,男,台北市,口腔、口咽及下咽,21.14,445 ,61.75,62.0,35.93
2020,男,台北市,主唾液腺,1.16,20 ,54.85,58.5,1.61
2020,男,台北市,鼻咽,5.41,97 ,53.71,55.0,7.83
2020,男,台北市,食道,8.2,180 ,64.23,63.0,14.53
2020,男,台北市,胃,11.28,272 ,70.75,71.0,21.96
2020,男,台北市,小腸,1.25,30 ,71.07,73.5,2.42
2020,男,台北市,結直腸,44.06,"1,032 ",68.17,68.0,83.32
2020,男,台北市,肝及肝內膽管,26.54,611 ,67.35,68.0,49.33
2020,男,台北市,膽囊及肝外膽管,2.19,52 ,70.56,70.0,4.2
2020,男,台北市,胰,9.14,216 ,68.98,69.0,17.44
2020,男,台北市,後腹膜腔及腹膜,0.6,11 ,61.64,69.0,0.89
2020,男,台北市,消化器官其他分界不明部位,0.06,1 ,54.0,54.0,0.08
2020,男,台北市,鼻腔、中耳及副鼻竇,0.58,12 ,61.83,62.0,0.97
2020,男,台北市,喉,2.61,56 ,65.29,65.0,4.52
2020,男,台北市,肺、支氣管及氣管,39.49,947 ,69.25,69.0,76.46
2020,男,台北市,胸膜,0.28,6 ,65.83,63.0,0.48
2020,男,台北市,胸腺、心臟與中隔,3.14,56 ,56.43,58.5,4.52
2020,男,台北市,骨、關節及關節軟骨,0.87,11 ,42.36,44.0,0.89
2020,男,台北市,結締組織、皮下組織及其他軟組織,2.3,42 ,58.71,60.0,3.39
2020,男,台北市,皮膚,8.96,220 ,73.48,76.5,17.76
2020,男,台北市,男性乳房,0.31,7 ,67.29,63.0,0.57
2020,男,台北市,攝護腺,40.82,"1,039 ",72.33,71.0,83.88
2020,男,台北市,睪丸,2.33,26 ,35.0,31.5,2.1
2020,男,台北市,其他男性生殖器官,0.62,15 ,70.2,70.0,1.21
2020,男,台北市,膀胱,7.55,190 ,71.71,71.0,15.34
2020,男,台北市,腎,7.06,147 ,62.25,63.0,11.87
2020,男,台北市,腎盂及其他泌尿系統,2.85,76 ,74.46,73.0,6.14
2020,男,台北市,眼及淚腺,0.06,1 ,50.0,50.0,0.08
2020,男,台北市,腦,2.46,41 ,57.12,62.0,3.31
2020,男,台北市,其他神經系統,0.29,4 ,44.5,43.0,0.32
2020,男,台北市,甲狀腺,8.8,146 ,50.9,50.5,11.79
2020,男,台北市,其他內分泌腺,0.9,13 ,48.31,49.0,1.05
2020,男,台北市,其他分界不明的部位,0.2,4 ,58.75,55.5,0.32
2020,男,台北市,不明原發部位,1.67,41 ,74.1,76.0,3.31
2020,男,台北市,何杰金氏淋巴瘤,0.9,10 ,43.4,29.0,0.81
2020,男,台北市,白血病,8.79,167 ,61.3,65.0,13.48
2020,男,台北市,非何杰金氏淋巴瘤,12.11,251 ,64.62,67.0,20.26
2020,男,台北市,漿細胞瘤,2.7,64 ,70.78,71.0,5.17
2020,男,台北市,全癌症,290.41,"6,572 ",67.3,68.0,530.59
2020,男,新北市,口腔、口咽及下咽,35.69,"1,105 ",58.42,58.0,56.14
2020,男,新北市,主唾液腺,1.34,40 ,59.18,62.0,2.03
2020,男,新北市,鼻咽,5.83,161 ,52.39,52.0,8.18
2020,男,新北市,食道,12.87,413 ,60.75,60.0,20.98
2020,男,新北市,胃,13.33,440 ,68.48,67.0,22.35
2020,男,新北市,小腸,2.1,64 ,61.92,63.0,3.25
2020,男,新北市,結直腸,48.18,"1,525 ",64.91,65.0,77.48
2020,男,新北市,肝及肝內膽管,34.01,"1,091 ",64.75,65.0,55.43
2020,男,新北市,膽囊及肝外膽管,3.33,108 ,68.63,68.0,5.49
2020,男,新北市,胰,9.51,307 ,66.92,67.0,15.6
2020,男,新北市,後腹膜腔及腹膜,0.49,14 ,58.93,65.0,0.71
2020,男,新北市,鼻腔、中耳及副鼻竇,0.85,24 ,57.38,56.5,1.22
2020,男,新北市,喉,3.67,120 ,63.07,63.0,6.1
2020,男,新北市,肺、支氣管及氣管,46.75,"1,506 ",67.61,68.0,76.51
2020,男,新北市,胸膜,0.26,9 ,62.33,66.0,0.46
2020,男,新北市,胸腺、心臟與中隔,1.98,57 ,60.39,62.0,2.9
2020,男,新北市,骨、關節及關節軟骨,1.0,23 ,49.52,54.0,1.17
2020,男,新北市,結締組織、皮下組織及其他軟組織,2.29,58 ,54.45,57.0,2.95
2020,男,新北市,皮膚,9.14,290 ,67.91,67.0,14.73
2020,男,新北市,男性乳房,0.52,18 ,64.72,63.0,0.91
2020,男,新北市,攝護腺,39.25,"1,285 ",71.76,71.0,65.28
2020,男,新北市,睪丸,3.21,65 ,34.69,34.0,3.3
2020,男,新北市,其他男性生殖器官,0.71,24 ,65.88,66.0,1.22
2020,男,新北市,膀胱,8.07,265 ,69.82,69.0,13.46
2020,男,新北市,腎,7.11,221 ,60.77,61.0,11.23
2020,男,新北市,腎盂及其他泌尿系統,3.41,106 ,69.24,71.0,5.39
2020,男,新北市,眼及淚腺,0.03,1 ,56.0,56.0,0.05
2020,男,新北市,腦,3.57,81 ,50.53,56.0,4.12
2020,男,新北市,其他神經系統,0.2,5 ,44.4,44.0,0.25
2020,男,新北市,甲狀腺,8.0,211 ,49.19,47.0,10.72
2020,男,新北市,其他內分泌腺,0.82,21 ,51.52,53.0,1.07
2020,男,新北市,其他分界不明的部位,0.18,6 ,64.67,63.0,0.3
2020,男,新北市,不明原發部位,1.54,50 ,69.42,69.0,2.54
2020,男,新北市,何杰金氏淋巴瘤,1.36,29 ,43.62,32.0,1.47
2020,男,新北市,白血病,11.42,286 ,57.61,63.0,14.53
2020,男,新北市,非何杰金氏淋巴瘤,10.65,318 ,63.04,65.0,16.16
2020,男,新北市,漿細胞瘤,2.31,75 ,66.56,65.0,3.81
2020,男,新北市,全癌症,335.67,"10,432 ",64.33,65.0,529.99
2020,女,台北市,口腔、口咽及下咽,3.28,82 ,63.13,65.0,6.01
2020,女,台北市,主唾液腺,0.72,16 ,58.13,61.0,1.17
2020,女,台北市,鼻咽,1.97,40 ,55.95,58.0,2.93
2020,女,台北市,食道,0.86,22 ,65.91,61.0,1.61
2020,女,台北市,胃,7.84,234 ,71.1,72.0,17.16
2020,女,台北市,小腸,0.75,20 ,66.45,67.0,1.47
2020,女,台北市,結直腸,30.81,877 ,69.26,70.0,64.31
2020,女,台北市,肝及肝內膽管,8.66,267 ,71.89,72.0,19.58
2020,女,台北市,膽囊及肝外膽管,2.08,68 ,74.6,73.0,4.99
2020,女,台北市,胰,5.59,164 ,70.61,71.0,12.03
2020,女,台北市,後腹膜腔及腹膜,1.31,31 ,63.26,65.0,2.27
2020,女,台北市,鼻腔、中耳及副鼻竇,0.62,12 ,57.5,60.0,0.88
2020,女,台北市,喉,0.19,6 ,70.67,72.5,0.44
2020,女,台北市,肺、支氣管及氣管,41.87,"1,120 ",65.83,66.0,82.12
2020,女,台北市,胸膜,0.06,1 ,37.0,37.0,0.07
2020,女,台北市,胸腺、心臟與中隔,1.7,35 ,57.57,61.0,2.57
2020,女,台北市,骨、關節及關節軟骨,0.54,5 ,31.8,28.0,0.37
2020,女,台北市,結締組織、皮下組織及其他軟組織,2.72,48 ,56.58,60.5,3.52
2020,女,台北市,皮膚,5.88,178 ,72.44,75.0,13.05
2020,女,台北市,女性乳房,93.55,"2,102 ",57.93,57.0,154.13
2020,女,台北市,子宮,0.03,1 ,70.0,70.0,0.07
2020,女,台北市,子宮頸,6.79,144 ,57.26,56.0,10.56
2020,女,台北市,子宮體,16.56,378 ,58.58,59.0,27.72
2020,女,台北市,卵巢、輸卵管及寬韌帶,11.38,236 ,55.83,55.0,17.3
2020,女,台北市,其他女性生殖器官,0.78,20 ,63.9,66.5,1.47
2020,女,台北市,膀胱,2.48,83 ,75.14,78.0,6.09
2020,女,台北市,腎,2.8,72 ,64.71,65.5,5.28
2020,女,台北市,腎盂及其他泌尿系統,3.27,111 ,74.96,76.0,8.14
2020,女,台北市,眼及淚腺,0.03,1 ,65.0,65.0,0.07
2020,女,台北市,腦,2.56,46 ,54.67,59.0,3.37
2020,女,台北市,其他神經系統,0.13,3 ,55.67,57.0,0.22
2020,女,台北市,甲狀腺,22.96,398 ,49.06,50.0,29.18
2020,女,台北市,其他內分泌腺,0.34,6 ,51.67,51.0,0.44
2020,女,台北市,其他分界不明的部位,0.05,2 ,74.5,74.5,0.15
2020,女,台北市,不明原發部位,1.03,35 ,76.43,80.0,2.57
2020,女,台北市,何杰金氏淋巴瘤,1.28,16 ,40.25,34.5,1.17
2020,女,台北市,白血病,6.7,140 ,60.84,65.0,10.27
2020,女,台北市,非何杰金氏淋巴瘤,6.86,185 ,68.04,69.0,13.57
2020,女,台北市,漿細胞瘤,1.59,44 ,69.59,72.0,3.23
2020,女,台北市,全癌症,298.9,"7,254 ",62.78,63.0,531.9
2020,女,新北市,口腔、口咽及下咽,4.3,155 ,62.47,63.0,7.51
2020,女,新北市,主唾液腺,0.78,24 ,56.67,61.0,1.16
2020,女,新北市,鼻咽,2.23,67 ,51.87,52.0,3.25
2020,女,新北市,食道,1.23,45 ,63.53,61.0,2.18
2020,女,新北市,胃,8.28,311 ,66.97,67.0,15.08
2020,女,新北市,小腸,1.19,42 ,62.86,63.0,2.04
2020,女,新北市,結直腸,31.85,"1,165 ",65.72,67.0,56.48
2020,女,新北市,肝及肝內膽管,13.56,511 ,70.11,71.0,24.77
2020,女,新北市,膽囊及肝外膽管,2.45,95 ,68.95,69.0,4.61
2020,女,新北市,胰,6.52,248 ,68.24,68.0,12.02
2020,女,新北市,後腹膜腔及腹膜,1.55,56 ,59.86,61.5,2.72
2020,女,新北市,消化器官其他分界不明部位,0.03,1 ,70.0,70.0,0.05
2020,女,新北市,鼻腔、中耳及副鼻竇,0.5,18 ,56.89,58.0,0.87
2020,女,新北市,喉,0.15,6 ,58.67,57.5,0.29
2020,女,新北市,肺、支氣管及氣管,35.56,"1,330 ",64.64,65.0,64.48
2020,女,新北市,胸膜,0.16,3 ,48.67,49.0,0.15
2020,女,新北市,胸腺、心臟與中隔,1.2,39 ,55.33,56.0,1.89
2020,女,新北市,骨、關節及關節軟骨,0.62,10 ,35.0,27.0,0.48
2020,女,新北市,結締組織、皮下組織及其他軟組織,1.72,43 ,52.47,53.0,2.08
2020,女,新北市,皮膚,7.33,276 ,70.44,71.0,13.38
2020,女,新北市,女性乳房,88.58,"2,903 ",56.31,56.0,140.74
2020,女,新北市,子宮,0.06,2 ,53.5,53.5,0.1
2020,女,新北市,子宮頸,8.07,256 ,55.52,55.0,12.41
2020,女,新北市,子宮體,18.21,607 ,55.98,56.0,29.43
2020,女,新北市,卵巢、輸卵管及寬韌帶,11.81,363 ,54.39,54.0,17.6
2020,女,新北市,其他女性生殖器官,0.75,24 ,63.96,65.5,1.16
2020,女,新北市,膀胱,2.17,86 ,72.01,72.5,4.17
2020,女,新北市,腎,3.49,114 ,59.46,63.5,5.53
2020,女,新北市,腎盂及其他泌尿系統,2.81,113 ,72.52,71.0,5.48
2020,女,新北市,眼及淚腺,0.39,6 ,33.5,43.0,0.29
2020,女,新北市,腦,1.75,51 ,57.31,63.0,2.47
2020,女,新北市,其他神經系統,0.12,4 ,61.5,60.5,0.19
2020,女,新北市,甲狀腺,21.91,630 ,49.97,50.0,30.54
2020,女,新北市,其他內分泌腺,0.6,13 ,44.38,43.0,0.63
2020,女,新北市,不明原發部位,1.34,50 ,69.26,70.0,2.42
2020,女,新北市,何杰金氏淋巴瘤,0.83,14 ,30.07,28.0,0.68
2020,女,新北市,白血病,8.34,227 ,56.88,60.0,11.01
2020,女,新北市,非何杰金氏淋巴瘤,7.38,265 ,64.71,65.0,12.85
2020,女,新北市,漿細胞瘤,1.55,58 ,65.55,64.0,2.81
2020,女,新北市,全癌症,301.54,"10,237 ",60.53,61.0,496.32
2021,全,台北市,口腔、口咽及下咽,10.83,493 ,62.0,62.0,19.53
2021,全,台北市,主唾液腺,0.9,37 ,59.43,63.0,1.47
2021,全,台北市,鼻咽,3.17,120 ,54.18,53.0,4.75
2021,全,台北市,食道,3.81,189 ,65.77,65.0,7.49
2021,全,台北市,胃,9.06,481 ,70.51,71.0,19.05
2021,全,台北市,小腸,1.1,55 ,67.75,69.0,2.18
2021,全,台北市,結直腸,35.41,"1,850 ",69.15,70.0,73.28
2021,全,台北市,肝及肝內膽管,16.36,862 ,69.38,70.0,34.15
2021,全,台北市,膽囊及肝外膽管,2.43,132 ,70.89,72.0,5.23
2021,全,台北市,胰,7.89,422 ,70.36,71.0,16.72
2021,全,台北市,後腹膜腔及腹膜,0.7,31 ,60.61,61.0,1.23
2021,全,台北市,消化器官其他分界不明部位,0.03,2 ,72.0,72.0,0.08
2021,全,台北市,鼻腔、中耳及副鼻竇,0.7,32 ,62.13,63.0,1.27
2021,全,台北市,喉,1.67,85 ,66.48,66.0,3.37
2021,全,台北市,肺、支氣管及氣管,40.69,"2,033 ",66.83,67.0,80.53
2021,全,台北市,胸膜,0.17,10 ,69.5,66.0,0.4
2021,全,台北市,胸腺、心臟與中隔,1.75,80 ,61.89,62.5,3.17
2021,全,台北市,骨、關節及關節軟骨,0.63,19 ,53.58,63.0,0.75
2021,全,台北市,結締組織、皮下組織及其他軟組織,2.26,89 ,60.2,63.0,3.53
2021,全,台北市,皮膚,6.96,372 ,71.36,72.0,14.74
2021,全,台北市,膀胱,3.85,224 ,73.48,73.0,8.87
2021,全,台北市,腎,5.2,229 ,61.44,62.0,9.07
2021,全,台北市,腎盂及其他泌尿系統,3.08,176 ,72.98,74.0,6.97
2021,全,台北市,眼及淚腺,0.04,2 ,68.0,68.0,0.08
2021,全,台北市,腦,2.76,88 ,51.14,55.5,3.49
2021,全,台北市,其他神經系統,0.3,11 ,56.18,51.0,0.44
2021,全,台北市,甲狀腺,15.94,542 ,51.06,51.0,21.47
2021,全,台北市,其他內分泌腺,0.97,27 ,46.59,46.0,1.07
2021,全,台北市,其他分界不明的部位,0.1,6 ,71.67,67.0,0.24
2021,全,台北市,不明原發部位,1.47,79 ,72.91,76.0,3.13
2021,全,台北市,何杰金氏淋巴瘤,1.31,30 ,40.87,34.0,1.19
2021,全,台北市,白血病,8.39,324 ,61.5,67.0,12.83
2021,全,台北市,非何杰金氏淋巴瘤,9.38,448 ,67.15,69.0,17.75
2021,全,台北市,漿細胞瘤,1.56,84 ,69.92,70.0,3.33
2021,全,台北市,全癌症,289.59,"13,565 ",65.05,66.0,537.36
2021,全,新北市,口腔、口咽及下咽,19.63,"1,317 ",58.91,59.0,32.86
2021,全,新北市,主唾液腺,0.98,59 ,56.32,61.0,1.47
2021,全,新北市,鼻咽,4.28,260 ,54.0,54.0,6.49
2021,全,新北市,食道,6.41,449 ,61.11,61.0,11.2
2021,全,新北市,胃,10.37,749 ,67.71,68.0,18.69
2021,全,新北市,小腸,1.16,81 ,65.65,65.0,2.02
2021,全,新北市,結直腸,37.8,"2,656 ",66.1,66.0,66.27
2021,全,新北市,肝及肝內膽管,21.44,"1,542 ",66.69,67.0,38.47
2021,全,新北市,膽囊及肝外膽管,2.98,217 ,68.87,70.0,5.41
2021,全,新北市,胰,7.4,532 ,66.2,67.0,13.27
2021,全,新北市,後腹膜腔及腹膜,1.19,69 ,60.68,62.0,1.72
2021,全,新北市,消化器官其他分界不明部位,0.05,3 ,67.0,79.0,0.07
2021,全,新北市,鼻腔、中耳及副鼻竇,0.74,45 ,56.8,60.0,1.12
