統計期,性別,總計,未滿1~4歲,未滿1歲,1歲,2歲,3歲,4歲,5~9歲,5歲,6歲,7歲,8歲,9歲,10~14歲,10歲,11歲,12歲,13歲,14歲,15~19歲,15歲,16歲,17歲,18歲,19歲,20~24歲,20歲,21歲,22歲,23歲,24歲,25~29歲,25歲,26歲,27歲,28歲,29歲,30~34歲,30歲,31歲,32歲,33歲,34歲,35~39歲,35歲,36歲,37歲,38歲,39歲,40~44歲,40歲,41歲,42歲,43歲,44歲,45~49歲,45歲,46歲,47歲,48歲,49歲,50~54歲,50歲,51歲,52歲,53歲,54歲,55~59歲,55歲,56歲,57歲,58歲,59歲,60~64歲,60歲,61歲,62歲,63歲,64歲,65~69歲,65歲,66歲,67歲,68歲,69歲,70~74歲,70歲,71歲,72歲,73歲,74歲,75~79歲,75歲,76歲,77歲,78歲,79歲,80~84歲,80歲,81歲,82歲,83歲,84歲,85~89歲,85歲,86歲,87歲,88歲,89歲,90~94歲,90歲,91歲,92歲,93歲,94歲,95~99歲,95歲,96歲,97歲,98歲,99歲,100歲以上
109年 3月底,女,1380460,59456,9521,10877,11937,13370,13751,57924,13260,10985,12763,11379,9537,52652,10379,10461,11278,10529,10005,55582,10099,10209,11038,11024,13212,67221,12746,11746,13813,14205,14711,74238,14443,14605,14689,14653,15848,87772,15884,18117,16839,17292,19640,117642,21654,22333,23975,25158,24522,118239,24918,24233,22029,25342,21717,104271,21025,20387,20398,20917,21544,105293,21774,21405,20672,20494,20948,106499,21565,21584,21399,21124,20827,105308,21366,21819,20121,21326,20676,96046,20024,19567,19388,19412,17655,62902,16774,14600,12977,10656,7895,44439,9134,9392,8870,8617,8426,32808,7839,7140,6454,5914,5461,19463,4798,4303,3835,3567,2960,9505,2601,2292,1873,1552,1187,2722,886,698,486,398,254,478
109年 4月底,總計,2631083,121407,19496,22244,24320,27142,28205,120116,27250,22832,25919,23947,20168,109709,21523,21810,23517,21821,21038,115346,21352,21196,22932,22787,27079,138474,26493,24684,28187,28959,30151,150409,29722,29634,29717,29686,31650,167221,31714,34315,32375,32392,36425,220846,40545,41880,45182,46946,46293,221099,46635,45461,41665,46993,40345,194371,39264,38274,38016,38811,40006,195147,39975,39834,38250,38107,38981,197964,40015,39989,39914,39020,39026,194362,39142,40342,37568,38659,38651,177728,37796,36382,35647,35739,32164,116022,29726,28201,23476,20381,14238,78199,16276,16662,15799,14903,14559,54772,13311,12192,10735,9571,8963,34059,8055,7298,6658,6504,5544,17775,4819,4309,3460,2991,2196,5116,1688,1266,956,729,477,941
109年 4月底,男,1252726,62638,10118,11418,12530,14019,14553,62099,14042,11794,13316,12469,10478,57075,11197,11334,12202,11277,11065,60051,11250,11074,11925,11794,14008,71471,13803,12795,14560,14810,15503,76237,15268,15076,14986,14975,15932,79901,15782,16436,15530,15148,17005,103775,19023,19716,21336,21993,21707,102976,21807,21238,19509,21861,18561,90030,18078,17925,17589,18007,18431,90061,18429,18329,17564,17670,18069,91555,18553,18498,18408,17945,18151,89248,17873,18602,17264,17583,17926,81775,17612,16815,16356,16392,14600,52400,13298,12787,10698,9233,6384,33860,7187,7276,6930,6301,6166,21874,5432,4980,4254,3694,3514,14514,3172,3030,2845,2901,2566,8326,2272,2002,1602,1408,1042,2396,789,564,470,355,218,464
109年 4月底,女,1378357,58769,9378,10826,11790,13123,13652,58017,13208,11038,12603,11478,9690,52634,10326,10476,11315,10544,9973,55295,10102,10122,11007,10993,13071,67003,12690,11889,13627,14149,14648,74172,14454,14558,14731,14711,15718,87320,15932,17879,16845,17244,19420,117071,21522,22164,23846,24953,24586,118123,24828,24223,22156,25132,21784,104341,21186,20349,20427,20804,21575,105086,21546,21505,20686,20437,20912,106409,21462,21491,21506,21075,20875,105114,21269,21740,20304,21076,20725,95953,20184,19567,19291,19347,17564,63622,16428,15414,12778,11148,7854,44339,9089,9386,8869,8602,8393,32898,7879,7212,6481,5877,5449,19545,4883,4268,3813,3603,2978,9449,2547,2307,1858,1583,1154,2720,899,702,486,374,259,477
109年 5月底,總計,2626385,119745,19058,22030,23993,26616,28048,120413,27217,22838,25717,24134,20507,109588,21294,21902,23625,21784,20983,114695,21458,21121,22663,22708,26745,138116,26409,24942,27848,28837,30080,150040,29696,29558,29792,29638,31356,166732,31932,33939,32434,32389,36038,219604,40258,41622,44833,46635,46256,221077,46523,45516,41792,46459,40787,194007,39311,38192,37934,38780,39790,195125,40149,39748,38320,37994,38914,197699,39901,39901,39863,39183,38851,194072,39014,40123,37938,38303,38694,178279,37884,36409,35396,35653,32937,116377,29868,27745,23833,20577,14354,78064,16140,16697,15822,14961,14444,54906,13367,12183,10822,9612,8922,33995,8019,7306,6694,6438,5538,17764,4842,4299,3474,2947,2202,5142,1683,1297,925,742,495,945
109年 5月底,男,1250381,61829,9903,11339,12386,13676,14525,62286,13989,11839,13190,12567,10701,56948,10991,11448,12241,11220,11048,59715,11321,11006,11821,11739,13828,71334,13772,12951,14364,14760,15487,76008,15236,15051,15016,14925,15780,79738,15885,16294,15529,15238,16792,103205,18873,19593,21197,21821,21721,102947,21726,21197,19646,21569,18809,89836,18084,17870,17577,17951,18354,89962,18510,18317,17599,17595,17941,91547,18598,18455,18391,18004,18099,89029,17816,18472,17406,17491,17844,82059,17669,16824,16344,16324,14898,52613,13355,12615,10873,9333,6437,33811,7091,7327,6938,6311,6144,21912,5443,4994,4261,3724,3490,14423,3142,3014,2863,2854,2550,8298,2263,2001,1597,1396,1041,2412,793,574,456,362,227,469
109年 5月底,女,1376004,57916,9155,10691,11607,12940,13523,58127,13228,10999,12527,11567,9806,52640,10303,10454,11384,10564,9935,54980,10137,10115,10842,10969,12917,66782,12637,11991,13484,14077,14593,74032,14460,14507,14776,14713,15576,86994,16047,17645,16905,17151,19246,116399,21385,22029,23636,24814,24535,118130,24797,24319,22146,24890,21978,104171,21227,20322,20357,20829,21436,105163,21639,21431,20721,20399,20973,106152,21303,21446,21472,21179,20752,105043,21198,21651,20532,20812,20850,96220,20215,19585,19052,19329,18039,63764,16513,15130,12960,11244,7917,44253,9049,9370,8884,8650,8300,32994,7924,7189,6561,5888,5432,19572,4877,4292,3831,3584,2988,9466,2579,2298,1877,1551,1161,2730,890,723,469,380,268,476
109年 6月底,總計,2624143,119134,19144,21770,23794,26403,28023,120973,27356,22975,25510,24278,20854,109510,21093,21930,23772,21740,20975,113971,21480,20960,22500,22653,26378,137827,26379,24950,27739,28842,29917,149700,29652,29562,29842,29551,31093,166326,32158,33416,32653,32635,35464,218788,40098,41314,44558,46433,46385,221261,46289,45693,41985,46159,41135,193888,39494,37950,37938,38855,39651,194955,40044,39709,38357,37960,38885,197622,40012,39760,39684,39300,38866,193771,38967,39793,38249,38117,38645,178982,38013,36387,35545,35417,33620,116750,29885,27755,23819,20723,14568,77883,16010,16727,15712,14963,14471,55006,13422,12224,10811,9636,8913,33942,8065,7234,6698,6424,5521,17775,4822,4328,3473,2899,2253,5139,1674,1286,936,744,499,940
109年 6月底,男,1249258,61560,9934,11207,12313,13519,14587,62544,14083,11875,13087,12628,10871,56908,10892,11489,12265,11199,11063,59339,11354,10915,11721,11760,13589,71172,13756,12980,14281,14778,15377,75897,15229,15069,15070,14879,15650,79600,15975,16120,15605,15381,16519,102795,18792,19418,21114,21714,21757,103014,21635,21277,19674,21460,18968,89765,18139,17718,17647,17993,18268,89873,18470,18261,17627,17631,17884,91527,18702,18335,18359,18019,18112,88935,17833,18254,17618,17381,17849,82370,17670,16845,16371,16220,15264,52773,13292,12650,10871,9384,6576,33715,6983,7369,6875,6324,6164,21951,5437,5065,4229,3754,3466,14363,3167,2969,2836,2858,2533,8292,2249,2024,1576,1374,1069,2400,788,569,454,360,229,465
109年 6月底,女,1374885,57574,9210,10563,11481,12884,13436,58429,13273,11100,12423,11650,9983,52602,10201,10441,11507,10541,9912,54632,10126,10045,10779,10893,12789,66655,12623,11970,13458,14064,14540,73803,14423,14493,14772,14672,15443,86726,16183,17296,17048,17254,18945,115993,21306,21896,23444,24719,24628,118247,24654,24416,22311,24699,22167,104123,21355,20232,20291,20862,21383,105082,21574,21448,20730,20329,21001,106095,21310,21425,21325,21281,20754,104836,21134,21539,20631,20736,20796,96612,20343,19542,19174,19197,18356,63977,16593,15105,12948,11339,7992,44168,9027,9358,8837,8639,8307,33055,7985,7159,6582,5882,5447,19579,4898,4265,3862,3566,2988,9483,2573,2304,1897,1525,1184,2739,886,717,482,384,270,475
