鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,急性後期照護病床,整合醫學急診後送病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床
101,5,1276,833,443,153,730,103,680,50,0,103,0,0,0,54,0,0,33,51,0,0,84,0,0,0,0,10,0,0,0,0,16,57,138,0
102,6,1619,1154,465,0,1154,0,1154,0,0,0,0,0,0,84,0,4,23,61,0,0,37,8,0,0,0,10,30,0,0,0,41,50,117,0
109,1,3071,2313,758,498,2180,133,1815,365,0,133,0,0,0,128,0,0,30,80,11,27,185,0,12,9,0,33,0,0,0,0,26,50,167,0
110,4,1117,804,313,0,784,20,784,0,20,0,0,0,0,92,0,8,55,39,0,0,0,0,0,14,0,2,2,0,0,0,16,62,23,0
111,3,2298,1642,656,118,1642,0,1524,118,0,0,0,0,0,144,8,3,46,47,2,15,152,24,0,0,1,18,2,0,0,0,40,46,108,0
115,1,833,543,290,25,543,0,518,25,0,0,0,0,0,62,0,3,21,40,0,8,0,8,0,0,0,2,0,0,0,0,16,25,105,0
116,6,4885,3946,939,704,3662,284,3175,487,67,217,0,0,0,296,14,12,36,89,0,44,32,28,0,82,33,18,10,0,0,0,58,31,156,0
117,1,727,525,202,25,525,0,500,25,0,0,0,0,0,59,0,0,12,25,0,10,0,0,0,0,0,8,0,0,0,0,18,10,60,0
118,3,2639,1927,712,68,1927,0,1859,68,0,0,0,0,0,219,10,4,48,120,0,17,0,14,0,94,1,51,8,0,0,0,54,20,52,0
119,4,409,245,164,0,166,79,166,0,79,0,0,0,0,8,0,0,0,9,0,0,30,0,0,0,0,0,0,0,0,0,7,3,106,1
120,2,868,592,276,38,592,0,554,38,0,0,0,0,0,47,0,4,10,29,6,10,60,10,0,0,0,12,0,0,0,0,12,15,61,0
301,10,1082,753,329,40,708,45,668,40,45,0,0,0,0,52,0,0,8,20,10,6,70,9,0,0,0,0,0,0,0,0,15,28,111,0
302,1,93,54,39,0,54,0,54,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0
303,3,440,380,60,99,317,63,281,36,0,63,0,0,0,21,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,22,1
304,2,450,450,0,450,80,370,0,80,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1,1149,857,292,50,795,62,745,50,62,0,0,0,0,85,0,0,16,21,0,10,40,10,0,0,0,0,0,0,0,0,12,20,78,0
306,3,1509,1032,477,180,832,200,752,80,100,100,0,0,0,90,0,10,20,30,10,8,123,20,0,0,0,2,0,0,0,0,16,20,128,0
309,1,1124,909,215,50,549,360,499,50,360,0,0,0,0,53,0,0,5,22,4,12,0,12,0,0,0,1,2,0,0,0,10,6,88,0
310,1,229,137,92,0,137,0,137,0,0,0,0,0,0,10,0,0,0,5,0,0,38,0,0,0,0,0,0,0,0,0,2,0,37,0
312,1,248,248,0,248,40,208,0,40,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,2,529,344,185,0,344,0,344,0,0,0,0,0,0,20,0,0,20,5,0,0,70,0,0,0,0,1,0,0,0,0,5,20,44,0
318,2,556,399,157,0,399,0,399,0,0,0,0,0,0,50,0,0,6,10,0,0,30,0,0,0,0,0,0,0,0,0,7,9,45,0
319,4,1116,940,176,276,790,150,664,126,0,150,0,0,0,51,0,0,3,35,0,0,0,0,0,0,0,4,0,0,0,0,10,3,70,0
320,4,858,647,211,0,647,0,647,0,0,0,0,0,0,40,0,0,10,19,4,0,0,10,0,0,0,2,0,0,0,0,12,9,105,0
322,3,505,331,174,0,331,0,331,0,0,0,0,0,0,34,0,0,9,10,8,0,63,0,0,0,0,1,0,0,0,0,5,15,29,0
323,3,259,114,145,0,114,0,114,0,0,0,0,0,0,0,0,0,16,0,0,0,20,0,0,0,0,0,0,0,0,0,2,38,69,0
324,3,1002,828,174,440,478,350,388,90,0,350,0,0,0,26,0,4,7,6,4,10,30,10,0,0,0,20,0,0,0,0,6,15,36,0
325,4,1508,1116,392,230,977,139,886,91,0,139,0,0,0,113,0,4,30,36,11,20,20,23,0,0,2,11,2,0,0,0,23,25,72,0
326,7,2739,1931,808,295,1721,210,1636,85,0,210,0,0,0,175,0,8,58,64,0,18,56,59,0,0,0,6,2,0,0,100,35,50,177,0
327,2,2368,1545,823,70,1545,0,1475,70,0,0,0,0,0,208,0,8,40,100,20,22,40,22,0,0,19,23,0,0,0,125,50,41,105,0
328,4,774,510,264,0,510,0,510,0,0,0,0,0,0,35,0,0,17,18,2,5,60,10,0,0,2,1,0,0,0,0,8,33,73,0
329,6,391,279,112,0,209,70,209,0,70,0,0,0,0,0,0,0,6,0,4,0,60,0,0,0,0,0,0,0,0,0,11,16,15,0
501,4,440,284,156,100,184,100,184,0,0,100,0,0,0,9,0,0,0,14,0,0,79,0,0,0,0,0,0,0,0,0,3,0,50,1
503,1,50,20,30,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
504,1,383,298,85,0,298,0,298,0,0,0,0,0,0,22,0,0,5,10,0,0,0,0,0,0,0,2,0,0,0,0,4,12,30,0
505,2,417,250,167,0,248,2,248,0,2,0,0,0,0,21,0,0,0,20,4,0,46,0,0,0,0,2,0,0,0,0,4,0,70,0
506,2,280,264,16,200,47,217,47,0,17,200,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
507,1,24,20,4,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,1,876,642,234,0,642,0,642,0,0,0,0,0,0,67,0,0,8,24,6,22,0,20,0,1,5,4,0,0,0,0,12,7,58,0
527,2,599,533,66,482,215,318,51,164,0,318,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,51,0,0,0,0,0,0,0,0
529,1,35,20,15,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
531,5,1968,1387,581,198,1177,210,1099,78,90,120,0,0,0,119,0,8,32,84,18,28,90,16,0,3,1,3,2,0,0,0,21,50,106,0
532,3,1006,675,331,24,675,0,651,24,0,0,0,0,0,72,0,0,11,35,2,15,52,12,0,6,0,2,0,0,0,0,15,27,82,0
534,7,1369,898,471,120,818,80,768,50,10,70,0,0,0,59,0,0,15,18,10,12,123,12,0,0,0,24,0,0,0,0,11,46,140,1
535,5,1472,1026,446,30,1016,10,986,30,10,0,0,0,0,126,4,10,23,75,10,20,20,12,2,22,6,20,2,0,0,0,22,20,52,0
537,1,859,643,216,144,529,114,499,30,0,114,0,0,0,60,0,0,3,21,36,8,0,0,0,0,2,2,0,0,0,0,8,16,60,0
701,7,458,239,219,0,239,0,239,0,0,0,0,0,0,16,0,0,0,16,0,0,99,0,0,0,0,0,0,0,0,0,6,22,60,0
702,6,615,461,154,128,381,80,303,78,30,50,0,0,0,15,0,0,0,28,3,6,16,0,0,0,0,0,0,0,0,0,7,6,73,0
703,4,519,353,166,140,253,100,213,40,0,100,0,0,0,21,0,0,0,10,0,4,36,0,0,0,0,5,0,0,0,0,4,5,80,1
704,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
