鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,急性後期照護病床,整合醫學急診後送病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床
101,5,1250,807,443,153,704,103,654,50,0,103,0,0,0,54,0,0,33,51,0,0,84,0,0,0,0,10,0,0,0,0,16,57,138,0
102,6,1408,1017,391,0,1017,0,1017,0,0,0,0,0,0,78,0,4,23,42,0,0,37,8,0,0,0,2,0,0,0,0,28,52,117,0
109,1,3080,2317,763,498,2184,133,1819,365,0,133,0,0,0,133,0,0,30,80,11,27,185,0,12,9,0,33,0,0,0,0,26,50,167,0
110,4,1234,804,430,0,784,20,784,0,20,0,0,0,0,100,0,8,55,39,0,0,90,0,0,14,0,2,0,0,0,0,12,62,48,0
111,3,2259,1620,639,118,1620,0,1502,118,0,0,0,0,0,127,8,3,46,47,2,15,152,24,0,0,1,18,2,0,0,0,40,46,108,0
115,1,833,543,290,25,543,0,518,25,0,0,0,0,0,62,0,3,21,40,0,8,0,8,0,0,0,2,0,0,0,0,16,25,105,0
116,6,4863,3923,940,678,3639,284,3178,461,67,217,0,0,0,278,14,12,41,97,6,44,32,28,0,86,33,21,10,0,0,0,49,39,150,0
117,1,727,525,202,25,525,0,500,25,0,0,0,0,0,59,0,0,12,25,0,10,0,0,0,4,0,4,0,0,0,0,18,10,60,0
118,3,2690,1927,763,68,1927,0,1859,68,0,0,0,0,0,261,10,4,48,120,0,17,0,15,0,94,1,51,14,0,0,0,56,20,52,0
119,4,440,248,192,0,169,79,169,0,79,0,0,0,0,8,0,0,0,10,6,0,30,0,0,0,0,0,0,0,0,0,7,3,127,1
120,2,861,592,269,38,592,0,554,38,0,0,0,0,0,47,4,0,10,29,6,10,60,10,0,0,0,12,0,0,0,0,12,15,54,0
301,10,1085,753,332,40,708,45,668,40,45,0,0,0,0,49,0,0,8,25,8,6,70,12,0,0,0,0,0,0,0,0,15,28,111,0
