diagnosis_year,gender,city,cancer_type,age_standardized_incidence_rate,cancer_cases,average_age,median_age,crude_rate
1980年,男,台北市,口腔、口咽及下咽,5.8,53,54.68,54.0,4.61
1980年,男,台北市,主唾液腺,0.92,8,59.75,63.0,0.7
1980年,男,台北市,鼻咽,11.21,117,47.08,49.0,10.18
1980年,男,台北市,食道,10.28,91,59.29,58.0,7.92
1980年,男,台北市,胃,33.21,288,60.41,62.0,25.05
1980年,男,台北市,小腸,0.46,5,54.6,54.0,0.43
1980年,男,台北市,結直腸,29.3,241,59.23,61.0,20.96
1980年,男,台北市,肝及肝內膽管,24.78,231,53.72,54.0,20.09
1980年,男,台北市,膽囊及肝外膽管,1.41,14,56.93,56.5,1.22
1980年,男,台北市,胰,2.59,22,59.73,58.5,1.91
1980年,男,台北市,後腹膜腔及腹膜,0.17,2,54.0,54.0,0.17
1980年,男,台北市,鼻腔、中耳及副鼻竇,1.25,9,66.89,66.0,0.78
1980年,男,台北市,喉,3.04,28,59.54,58.5,2.44
1980年,男,台北市,肺、支氣管及氣管,35.36,330,60.67,61.0,28.7
1980年,男,台北市,胸腺、心臟與中隔,0.56,6,47.17,57.0,0.52
1980年,男,台北市,骨、關節及關節軟骨,1.1,14,22.5,17.5,1.22
1980年,男,台北市,結締組織、皮下組織及其他軟組織,0.61,7,47.29,54.0,0.61
1980年,男,台北市,皮膚,4.13,36,53.11,55.5,3.13
1980年,男,台北市,攝護腺,5.04,36,66.75,65.0,3.13
1980年,男,台北市,睪丸,0.96,10,41.0,44.0,0.87
1980年,男,台北市,其他男性生殖器官,1.59,14,55.79,58.0,1.22
1980年,男,台北市,膀胱,5.59,46,60.8,59.0,4.0
1980年,男,台北市,腎,1.85,17,54.0,53.0,1.48
1980年,男,台北市,腎盂及其他泌尿系統,1.57,14,59.21,63.0,1.22
1980年,男,台北市,眼及淚腺,0.55,6,28.5,22.0,0.52
1980年,男,台北市,腦,2.36,25,45.6,52.0,2.17
1980年,男,台北市,其他神經系統,0.32,4,27.25,27.0,0.35
1980年,男,台北市,甲狀腺,0.88,8,53.38,60.5,0.7
1980年,男,台北市,其他內分泌腺,0.24,3,19.0,1.0,0.26
1980年,男,台北市,其他分界不明的部位,0.64,7,49.71,51.0,0.61
1980年,男,台北市,不明原發部位,3.59,34,55.29,59.5,2.96
1980年,男,台北市,何杰金氏淋巴瘤,0.82,8,37.0,37.5,0.7
1980年,男,台北市,白血病,3.77,42,37.4,34.5,3.65
1980年,男,台北市,非何杰金氏淋巴瘤,0.48,5,41.0,35.0,0.43
1980年,男,台北市,漿細胞瘤,0.79,8,58.63,60.0,0.7
1980年,男,台北市,全癌症,202.57,1839,56.1,59.0,159.96
1980年,女,台北市,口腔、口咽及下咽,1.87,14,52.43,56.0,1.31
1980年,女,台北市,主唾液腺,0.63,5,49.2,55.0,0.47
1980年,女,台北市,鼻咽,5.0,42,44.71,43.5,3.92
1980年,女,台北市,食道,1.42,8,66.88,66.5,0.75
1980年,女,台北市,胃,13.88,95,56.52,59.0,8.87
1980年,女,台北市,小腸,0.92,6,61.5,66.0,0.56
1980年,女,台北市,結直腸,21.73,153,55.07,57.0,14.29
1980年,女,台北市,肝及肝內膽管,4.44,31,55.13,56.0,2.9
