diagnosis_year,gender,city,cancer_type,age_standardized_incidence_rate,cancer_cases,average_age,median_age,crude_rate
1989年,男,台北市,胸膜,0.14,2,56.0,56.0,0.15
1989年,男,台北市,胸腺、心臟與中隔,0.39,5,42.0,43.0,0.37
1989年,男,台北市,骨、關節及關節軟骨,1.2,17,30.76,28.0,1.24
1989年,男,台北市,結締組織、皮下組織及其他軟組織,1.42,15,58.0,56.0,1.1
1989年,男,台北市,皮膚,4.44,54,61.19,64.0,3.95
1989年,男,台北市,男性乳房,0.07,1,24.0,24.0,0.07
1989年,男,台北市,攝護腺,9.28,95,71.05,71.0,6.95
1989年,男,台北市,睪丸,0.85,12,32.83,29.5,0.88
1989年,男,台北市,其他男性生殖器官,0.93,10,64.9,66.5,0.73
1989年,男,台北市,膀胱,5.67,64,68.28,69.0,4.68
1989年,男,台北市,腎,2.49,31,51.84,58.0,2.27
1989年,男,台北市,腎盂及其他泌尿系統,1.42,15,64.87,63.0,1.1
1989年,男,台北市,眼及淚腺,0.52,6,36.5,45.5,0.44
1989年,男,台北市,腦,3.69,47,40.72,45.0,3.44
1989年,男,台北市,其他神經系統,0.14,2,36.0,36.0,0.15
1989年,男,台北市,甲狀腺,0.96,13,52.46,49.0,0.95
1989年,男,台北市,其他內分泌腺,0.2,3,21.0,20.0,0.22
1989年,男,台北市,其他分界不明的部位,0.27,3,55.67,47.0,0.22
1989年,男,台北市,不明原發部位,2.31,27,59.74,65.0,1.97
1989年,男,台北市,何杰金氏淋巴瘤,0.22,3,51.0,65.0,0.22
1989年,男,台北市,白血病,3.34,43,37.05,37.0,3.14
1989年,男,台北市,非何杰金氏淋巴瘤,3.1,37,58.46,64.0,2.71
1989年,男,台北市,漿細胞瘤,1.32,15,63.0,66.0,1.1
1989年,男,台北市,全癌症,207.58,2425,60.31,63.0,177.33
1989年,女,台北市,口腔、口咽及下咽,1.73,18,56.06,57.5,1.35
1989年,女,台北市,主唾液腺,0.4,5,50.4,44.0,0.37
1989年,女,台北市,鼻咽,3.29,43,42.7,39.0,3.22
1989年,女,台北市,食道,1.34,12,67.33,67.5,0.9
1989年,女,台北市,胃,12.31,124,60.36,62.0,9.29
1989年,女,台北市,小腸,0.4,4,63.0,67.0,0.3
1989年,女,台北市,結直腸,22.91,230,61.0,63.0,17.23
1989年,女,台北市,肝及肝內膽管,10.27,99,64.63,66.0,7.41
1989年,女,台北市,膽囊及肝外膽管,2.58,24,65.54,66.0,1.8
1989年,女,台北市,胰,3.83,37,63.46,66.0,2.77
1989年,女,台北市,後腹膜腔及腹膜,0.72,7,52.71,58.0,0.52
1989年,女,台北市,消化器官其他分界不明部位,0.33,3,67.67,73.0,0.22
1989年,女,台北市,鼻腔、中耳及副鼻竇,0.3,5,35.6,33.0,0.37
1989年,女,台北市,喉,0.47,5,60.8,63.0,0.37
1989年,女,台北市,肺、支氣管及氣管,18.09,177,63.61,66.0,13.26
1989年,女,台北市,胸膜,0.29,3,50.33,50.0,0.22
1989年,女,台北市,胸腺、心臟與中隔,0.4,4,64.0,64.5,0.3
1989年,女,台北市,骨、關節及關節軟骨,1.16,14,32.57,24.0,1.05
1989年,女,台北市,結締組織、皮下組織及其他軟組織,1.4,15,47.73,57.0,1.12
1989年,女,台北市,皮膚,4.07,41,60.32,65.0,3.07
1989年,女,台北市,女性乳房,30.44,349,50.83,49.0,26.14
1989年,女,台北市,子宮,0.38,4,56.0,56.5,0.3
1989年,女,台北市,子宮頸,26.63,296,53.63,54.0,22.17
1989年,女,台北市,子宮體,3.78,40,55.53,55.5,3.0
1989年,女,台北市,卵巢、輸卵管及寬韌帶,6.89,83,46.44,46.5,6.22
1989年,女,台北市,其他女性生殖器官,1.63,17,56.47,68.0,1.27
1989年,女,台北市,膀胱,3.87,36,65.75,70.5,2.7
1989年,女,台北市,腎,1.77,19,47.74,53.0,1.42
1989年,女,台北市,腎盂及其他泌尿系統,1.97,19,66.58,69.0,1.42
1989年,女,台北市,眼及淚腺,0.21,2,45.5,45.5,0.15
1989年,女,台北市,腦,2.22,29,28.62,28.0,2.17
1989年,女,台北市,其他神經系統,0.31,4,48.0,40.0,0.3
1989年,女,台北市,甲狀腺,3.9,49,43.1,35.0,3.67
1989年,女,台北市,其他內分泌腺,0.16,2,41.5,41.5,0.15
1989年,女,台北市,其他分界不明的部位,0.92,9,57.89,65.0,0.67
1989年,女,台北市,不明原發部位,2.85,29,58.83,60.0,2.17
1989年,女,台北市,何杰金氏淋巴瘤,0.5,6,47.17,44.5,0.45
1989年,女,台北市,白血病,3.13,38,36.05,34.5,2.85
1989年,女,台北市,非何杰金氏淋巴瘤,1.92,20,53.85,52.0,1.5
1989年,女,台北市,漿細胞瘤,1.1,11,55.91,59.0,0.82
1989年,女,台北市,全癌症,183.28,1957,55.2,57.0,146.57
1990年,男,台北市,口腔、口咽及下咽,8.91,107,56.0,57.0,7.8
1990年,男,台北市,主唾液腺,0.67,9,54.33,61.0,0.66
1990年,男,台北市,鼻咽,8.43,110,50.31,50.0,8.02
1990年,男,台北市,食道,5.41,66,62.79,64.5,4.81
1990年,男,台北市,胃,22.42,280,64.32,67.0,20.4
1990年,男,台北市,小腸,0.76,10,64.7,64.0,0.73
1990年,男,台北市,結直腸,25.08,304,63.38,66.0,22.15
1990年,男,台北市,肝及肝內膽管,32.95,404,58.25,60.0,29.44
1990年,男,台北市,膽囊及肝外膽管,1.66,19,65.74,69.0,1.38
1990年,男,台北市,胰,3.53,41,67.0,67.0,2.99
1990年,男,台北市,後腹膜腔及腹膜,0.52,6,61.33,60.0,0.44
1990年,男,台北市,消化器官其他分界不明部位,0.25,3,57.0,74.0,0.22
1990年,男,台北市,鼻腔、中耳及副鼻竇,0.76,10,63.2,64.5,0.73
1990年,男,台北市,喉,3.61,46,63.98,64.0,3.35
1990年,男,台北市,肺、支氣管及氣管,31.55,380,65.95,67.0,27.69
1990年,男,台北市,胸膜,0.07,1,60.0,60.0,0.07
1990年,男,台北市,胸腺、心臟與中隔,0.62,8,50.13,54.0,0.58
1990年,男,台北市,骨、關節及關節軟骨,0.72,10,24.0,14.5,0.73
1990年,男,台北市,結締組織、皮下組織及其他軟組織,1.23,16,50.88,60.0,1.17
1990年,男,台北市,皮膚,3.12,39,57.49,62.0,2.84
1990年,男,台北市,男性乳房,0.36,5,65.8,68.0,0.36
1990年,男,台北市,攝護腺,9.02,97,71.46,72.0,7.07
1990年,男,台北市,睪丸,0.48,6,39.33,42.5,0.44
1990年,男,台北市,其他男性生殖器官,0.62,7,62.29,64.0,0.51
1990年,男,台北市,膀胱,8.06,92,65.65,68.0,6.7
1990年,男,台北市,腎,4.36,53,55.34,60.0,3.86
1990年,男,台北市,腎盂及其他泌尿系統,2.36,30,62.73,67.0,2.19
1990年,男,台北市,眼及淚腺,0.68,8,24.13,11.0,0.58
1990年,男,台北市,腦,2.61,34,35.62,39.0,2.48
1990年,男,台北市,其他神經系統,0.07,1,41.0,41.0,0.07
1990年,男,台北市,甲狀腺,1.33,16,55.25,57.5,1.17
1990年,男,台北市,其他內分泌腺,0.17,3,1.5,1.5,0.22
1990年,男,台北市,其他分界不明的部位,0.57,7,53.86,55.0,0.51
1990年,男,台北市,不明原發部位,3.98,49,60.18,63.0,3.57
1990年,男,台北市,何杰金氏淋巴瘤,0.34,4,58.25,58.5,0.29
1990年,男,台北市,白血病,4.12,48,46.23,50.0,3.5
1990年,男,台北市,非何杰金氏淋巴瘤,3.56,46,55.22,60.5,3.35
1990年,男,台北市,漿細胞瘤,1.14,14,62.21,65.0,1.02
1990年,男,台北市,全癌症,198.56,2420,60.63,64.0,176.35
1990年,女,台北市,口腔、口咽及下咽,2.2,24,55.17,56.5,1.78
1990年,女,台北市,主唾液腺,0.35,4,52.25,53.0,0.3
1990年,女,台北市,鼻咽,4.14,54,45.15,42.5,4.01
1990年,女,台北市,食道,1.26,12,70.83,71.0,0.89
1990年,女,台北市,胃,9.78,101,62.15,64.0,7.5
1990年,女,台北市,小腸,0.26,3,55.0,65.0,0.22
1990年,女,台北市,結直腸,22.98,238,62.17,64.0,17.66
1990年,女,台北市,肝及肝內膽管,9.68,103,59.99,63.0,7.64
1990年,女,台北市,膽囊及肝外膽管,2.0,20,65.35,69.5,1.48
1990年,女,台北市,胰,2.17,22,61.5,65.5,1.63
1990年,女,台北市,後腹膜腔及腹膜,0.32,3,50.67,65.0,0.22
1990年,女,台北市,消化器官其他分界不明部位,0.19,2,52.0,52.0,0.15
1990年,女,台北市,鼻腔、中耳及副鼻竇,0.35,4,40.25,43.5,0.3
1990年,女,台北市,喉,0.11,1,76.0,76.0,0.07
1990年,女,台北市,肺、支氣管及氣管,13.79,143,62.59,65.0,10.61
1990年,女,台北市,胸膜,0.2,2,57.5,57.5,0.15
1990年,女,台北市,胸腺、心臟與中隔,0.73,8,51.13,51.5,0.59
1990年,女,台北市,骨、關節及關節軟骨,0.31,4,33.75,33.5,0.3
1990年,女,台北市,結締組織、皮下組織及其他軟組織,0.66,8,43.88,45.5,0.59
1990年,女,台北市,皮膚,3.93,44,56.86,61.0,3.27
1990年,女,台北市,女性乳房,26.44,332,48.38,47.0,24.64
1990年,女,台北市,子宮,0.54,6,47.0,53.0,0.45
1990年,女,台北市,子宮頸,22.41,259,53.22,54.0,19.22
1990年,女,台北市,子宮體,3.59,41,54.49,54.0,3.04
1990年,女,台北市,卵巢、輸卵管及寬韌帶,7.3,85,49.34,50.0,6.31
1990年,女,台北市,其他女性生殖器官,0.36,5,39.4,34.0,0.37
1990年,女,台北市,膀胱,3.2,30,68.33,70.0,2.23
1990年,女,台北市,腎,1.61,16,54.5,58.0,1.19
1990年,女,台北市,腎盂及其他泌尿系統,1.18,12,66.5,68.0,0.89
1990年,女,台北市,眼及淚腺,0.49,5,29.8,1.0,0.37
1990年,女,台北市,腦,2.44,29,39.1,46.0,2.15
1990年,女,台北市,其他神經系統,0.09,1,53.0,53.0,0.07
1990年,女,台北市,甲狀腺,4.55,60,43.1,42.5,4.45
1990年,女,台北市,其他內分泌腺,0.28,3,2.0,1.0,0.22
1990年,女,台北市,其他分界不明的部位,0.15,2,49.5,49.5,0.15
1990年,女,台北市,不明原發部位,2.62,27,62.63,64.0,2.0
1990年,女,台北市,何杰金氏淋巴瘤,0.26,3,47.67,52.0,0.22
1990年,女,台北市,白血病,3.3,41,39.0,38.0,3.04
1990年,女,台北市,非何杰金氏淋巴瘤,2.7,33,49.97,55.0,2.45
1990年,女,台北市,漿細胞瘤,0.63,6,63.17,59.5,0.45
1990年,女,台北市,全癌症,161.2,1814,54.42,56.0,134.63
1991年,男,台北市,口腔、口咽及下咽,9.03,112,53.91,51.0,8.18
1991年,男,台北市,主唾液腺,0.77,11,44.82,40.0,0.8
1991年,男,台北市,鼻咽,9.43,124,49.94,49.0,9.05
1991年,男,台北市,食道,4.67,59,63.75,65.0,4.31
1991年,男,台北市,胃,23.57,296,65.09,67.0,21.61
1991年,男,台北市,小腸,0.41,6,59.5,61.5,0.44
1991年,男,台北市,結直腸,29.39,365,63.82,66.0,26.65
1991年,男,台北市,肝及肝內膽管,34.32,440,59.43,62.0,32.13
1991年,男,台北市,膽囊及肝外膽管,1.73,21,66.43,68.0,1.53
1991年,男,台北市,胰,3.46,44,63.11,63.5,3.21
1991年,男,台北市,後腹膜腔及腹膜,0.61,8,43.88,51.0,0.58
1991年,男,台北市,消化器官其他分界不明部位,0.16,2,62.0,62.0,0.15
1991年,男,台北市,鼻腔、中耳及副鼻竇,0.56,7,57.14,55.0,0.51
1991年,男,台北市,喉,3.61,42,65.14,65.0,3.07
1991年,男,台北市,肺、支氣管及氣管,33.2,425,65.81,68.0,31.03
1991年,男,台北市,胸腺、心臟與中隔,1.04,14,55.21,65.5,1.02
1991年,男,台北市,骨、關節及關節軟骨,0.81,11,36.91,22.0,0.8
1991年,男,台北市,結締組織、皮下組織及其他軟組織,1.12,14,46.93,50.5,1.02
1991年,男,台北市,皮膚,4.89,63,61.32,66.0,4.6
1991年,男,台北市,男性乳房,0.38,5,61.2,67.0,0.37
1991年,男,台北市,攝護腺,8.12,100,71.27,71.5,7.3
1991年,男,台北市,睪丸,0.88,11,16.64,18.0,0.8
1991年,男,台北市,其他男性生殖器官,0.59,8,66.63,69.0,0.58
1991年,男,台北市,膀胱,7.88,97,65.32,67.0,7.08
1991年,男,台北市,腎,1.9,23,55.87,63.0,1.68
1991年,男,台北市,腎盂及其他泌尿系統,2.62,31,66.94,68.0,2.26
1991年,男,台北市,眼及淚腺,0.51,6,33.0,24.0,0.44
1991年,男,台北市,腦,2.86,39,38.18,41.0,2.85
1991年,男,台北市,甲狀腺,1.45,21,38.24,35.0,1.53
1991年,男,台北市,其他內分泌腺,0.07,1,23.0,23.0,0.07
1991年,男,台北市,其他分界不明的部位,0.4,4,78.5,77.5,0.29
1991年,男,台北市,不明原發部位,2.39,30,64.53,66.5,2.19
1991年,男,台北市,何杰金氏淋巴瘤,0.36,5,44.2,39.0,0.37
1991年,男,台北市,白血病,5.29,72,43.76,46.0,5.26
1991年,男,台北市,非何杰金氏淋巴瘤,4.82,63,57.65,65.0,4.6
1991年,男,台北市,漿細胞瘤,1.34,15,65.73,64.0,1.1
1991年,男,台北市,全癌症,206.77,2623,60.67,64.0,191.52
1991年,女,台北市,口腔、口咽及下咽,2.5,28,56.07,54.5,2.08
1991年,女,台北市,主唾液腺,0.21,3,49.67,41.0,0.22
1991年,女,台北市,鼻咽,2.79,37,46.24,45.0,2.74
1991年,女,台北市,食道,0.68,7,69.86,75.0,0.52
1991年,女,台北市,胃,13.36,148,60.43,62.0,10.98
1991年,女,台北市,小腸,0.65,7,60.71,63.0,0.52
1991年,女,台北市,結直腸,25.32,274,62.62,64.0,20.32
1991年,女,台北市,肝及肝內膽管,11.84,130,60.83,64.0,9.64
1991年,女,台北市,膽囊及肝外膽管,2.14,23,65.39,66.0,1.71
1991年,女,台北市,胰,2.5,26,60.69,60.5,1.93
1991年,女,台北市,後腹膜腔及腹膜,0.37,5,36.6,40.0,0.37
1991年,女,台北市,消化器官其他分界不明部位,0.3,3,70.0,76.0,0.22
1991年,女,台北市,鼻腔、中耳及副鼻竇,0.66,8,53.75,61.0,0.59
1991年,女,台北市,喉,0.44,5,61.8,67.0,0.37
1991年,女,台北市,肺、支氣管及氣管,16.18,172,64.32,67.0,12.76
1991年,女,台北市,胸膜,0.19,2,59.5,59.5,0.15
1991年,女,台北市,胸腺、心臟與中隔,0.36,5,36.0,39.0,0.37
1991年,女,台北市,骨、關節及關節軟骨,0.78,10,32.1,23.5,0.74
1991年,女,台北市,結締組織、皮下組織及其他軟組織,1.04,14,31.43,31.5,1.04
1991年,女,台北市,皮膚,3.98,46,55.54,61.0,3.41
1991年,女,台北市,女性乳房,34.89,433,50.92,49.0,32.11
1991年,女,台北市,子宮,0.2,3,44.33,44.0,0.22
1991年,女,台北市,子宮頸,27.17,316,55.51,56.0,23.43
1991年,女,台北市,子宮體,4.93,60,52.43,52.5,4.45
1991年,女,台北市,卵巢、輸卵管及寬韌帶,5.66,70,49.96,50.0,5.19
1991年,女,台北市,其他女性生殖器官,0.64,8,54.63,54.5,0.59
1991年,女,台北市,膀胱,2.61,27,66.78,67.0,2.0
1991年,女,台北市,腎,1.28,15,61.86,63.5,1.11
1991年,女,台北市,腎盂及其他泌尿系統,1.2,13,64.0,65.0,0.96
1991年,女,台北市,眼及淚腺,0.34,4,24.25,22.0,0.3
1991年,女,台北市,腦,2.08,26,41.88,42.5,1.93
1991年,女,台北市,其他神經系統,0.34,4,57.0,60.0,0.3
1991年,女,台北市,甲狀腺,5.1,71,40.49,36.0,5.27
1991年,女,台北市,其他內分泌腺,0.55,7,44.0,39.0,0.52
1991年,女,台北市,其他分界不明的部位,0.54,6,44.17,47.0,0.44
1991年,女,台北市,不明原發部位,4.41,48,59.75,61.0,3.56
1991年,女,台北市,何杰金氏淋巴瘤,0.26,4,25.25,26.0,0.3
1991年,女,台北市,白血病,3.55,43,33.93,35.0,3.19
1991年,女,台北市,非何杰金氏淋巴瘤,2.05,23,54.57,57.0,1.71
1991年,女,台北市,漿細胞瘤,0.64,7,60.86,71.0,0.52
1991年,女,台北市,全癌症,186.21,2158,55.37,57.0,160.04
1992年,男,台北市,口腔、口咽及下咽,11.3,148,56.57,57.5,10.91
1992年,男,台北市,主唾液腺,0.81,11,55.55,61.0,0.81
1992年,男,台北市,鼻咽,8.45,108,48.05,49.0,7.96
1992年,男,台北市,食道,5.94,79,65.96,68.0,5.82
1992年,男,台北市,胃,24.24,315,64.79,67.0,23.21
1992年,男,台北市,小腸,0.83,11,58.91,67.0,0.81
1992年,男,台北市,結直腸,29.87,381,63.56,65.0,28.08
1992年,男,台北市,肝及肝內膽管,33.33,427,57.75,60.0,31.47
1992年,男,台北市,膽囊及肝外膽管,1.6,22,63.59,65.5,1.62
1992年,男,台北市,胰,4.63,59,61.71,63.0,4.35
1992年,男,台北市,後腹膜腔及腹膜,0.54,7,38.14,40.0,0.52
1992年,男,台北市,消化器官其他分界不明部位,0.1,1,56.0,56.0,0.07
1992年,男,台北市,鼻腔、中耳及副鼻竇,0.62,8,54.63,56.5,0.59
1992年,男,台北市,喉,3.13,41,64.76,66.0,3.02
1992年,男,台北市,肺、支氣管及氣管,34.33,445,67.03,68.0,32.8
1992年,男,台北市,胸膜,0.1,1,54.0,54.0,0.07
1992年,男,台北市,胸腺、心臟與中隔,0.94,13,49.15,45.0,0.96
1992年,男,台北市,骨、關節及關節軟骨,0.91,13,31.31,17.0,0.96
1992年,男,台北市,結締組織、皮下組織及其他軟組織,1.41,19,47.42,55.0,1.4
1992年,男,台北市,皮膚,6.04,78,59.5,63.0,5.75
1992年,男,台北市,男性乳房,0.26,3,68.67,77.0,0.22
1992年,男,台北市,攝護腺,11.55,149,71.5,72.0,10.98
1992年,男,台北市,睪丸,0.72,10,25.9,29.0,0.74
1992年,男,台北市,其他男性生殖器官,0.4,5,60.0,60.0,0.37
1992年,男,台北市,膀胱,7.86,102,64.72,66.5,7.52
1992年,男,台北市,腎,2.85,38,62.32,65.0,2.8
1992年,男,台北市,腎盂及其他泌尿系統,2.7,35,65.57,67.0,2.58
1992年,男,台北市,眼及淚腺,0.19,2,28.0,28.0,0.15
1992年,男,台北市,腦,1.87,26,30.77,29.5,1.92
1992年,男,台北市,其他神經系統,0.09,1,47.0,47.0,0.07
1992年,男,台北市,甲狀腺,2.61,36,45.94,44.0,2.65
1992年,男,台北市,其他內分泌腺,0.72,9,30.67,16.0,0.66
1992年,男,台北市,其他分界不明的部位,0.45,5,72.2,77.0,0.37
1992年,男,台北市,不明原發部位,4.1,53,63.68,65.0,3.91
1992年,男,台北市,何杰金氏淋巴瘤,0.28,4,36.25,30.5,0.29
1992年,男,台北市,白血病,3.82,50,42.38,41.5,3.68
1992年,男,台北市,非何杰金氏淋巴瘤,6.19,82,59.22,65.0,6.04
1992年,男,台北市,漿細胞瘤,0.7,9,66.22,69.0,0.66
1992年,男,台北市,全癌症,218.92,2839,60.9,65.0,209.22
1992年,女,台北市,口腔、口咽及下咽,2.46,29,56.52,58.0,2.17
1992年,女,台北市,主唾液腺,0.33,5,36.0,33.0,0.37
1992年,女,台北市,鼻咽,3.48,45,47.24,49.0,3.36
1992年,女,台北市,食道,1.1,12,65.0,68.0,0.9
1992年,女,台北市,胃,13.43,160,57.99,62.0,11.95
1992年,女,台北市,小腸,0.35,4,61.75,64.5,0.3
1992年,女,台北市,結直腸,28.19,314,61.5,63.0,23.45
1992年,女,台北市,肝及肝內膽管,11.43,129,60.6,64.0,9.63
1992年,女,台北市,膽囊及肝外膽管,1.92,20,68.5,67.5,1.49
1992年,女,台北市,胰,3.07,34,66.09,70.0,2.54
1992年,女,台北市,後腹膜腔及腹膜,0.56,7,31.71,42.0,0.52
1992年,女,台北市,消化器官其他分界不明部位,0.09,1,66.0,66.0,0.07
1992年,女,台北市,鼻腔、中耳及副鼻竇,0.82,10,52.9,51.5,0.75
1992年,女,台北市,喉,0.39,4,66.5,63.5,0.3
1992年,女,台北市,肺、支氣管及氣管,16.88,186,62.99,66.0,13.89
1992年,女,台北市,胸膜,0.09,1,52.0,52.0,0.07
1992年,女,台北市,胸腺、心臟與中隔,0.28,4,36.5,41.0,0.3
1992年,女,台北市,骨、關節及關節軟骨,0.89,12,40.58,33.5,0.9
1992年,女,台北市,結締組織、皮下組織及其他軟組織,0.74,9,48.11,60.0,0.67
1992年,女,台北市,皮膚,4.69,55,57.45,62.0,4.11
1992年,女,台北市,女性乳房,36.48,468,50.96,49.0,34.95
1992年,女,台北市,子宮,0.43,6,47.67,40.5,0.45
1992年,女,台北市,子宮頸,26.39,323,52.65,52.0,24.12
1992年,女,台北市,子宮體,6.79,80,54.25,55.0,5.97
1992年,女,台北市,卵巢、輸卵管及寬韌帶,6.11,77,48.62,48.0,5.75
1992年,女,台北市,其他女性生殖器官,1.2,14,55.29,56.5,1.05
1992年,女,台北市,膀胱,2.67,29,64.62,71.0,2.17
1992年,女,台北市,腎,1.16,14,51.5,53.5,1.05
1992年,女,台北市,腎盂及其他泌尿系統,1.62,17,70.35,70.0,1.27
1992年,女,台北市,眼及淚腺,0.19,2,32.5,32.5,0.15
1992年,女,台北市,腦,1.43,19,35.53,38.0,1.42
1992年,女,台北市,其他神經系統,0.14,2,49.0,49.0,0.15
1992年,女,台北市,甲狀腺,6.77,92,40.67,37.0,6.87
1992年,女,台北市,其他內分泌腺,0.3,4,34.0,32.0,0.3
1992年,女,台北市,其他分界不明的部位,0.45,5,66.4,67.0,0.37
1992年,女,台北市,不明原發部位,3.45,39,60.56,65.0,2.91
1992年,女,台北市,何杰金氏淋巴瘤,0.26,3,48.0,54.0,0.22
1992年,女,台北市,白血病,3.95,47,39.32,43.0,3.51
1992年,女,台北市,非何杰金氏淋巴瘤,3.6,42,57.19,60.5,3.14
1992年,女,台北市,漿細胞瘤,0.75,8,61.88,61.0,0.6
1992年,女,台北市,全癌症,196.81,2349,54.99,57.0,175.41
1993年,男,台北市,口腔、口咽及下咽,12.07,151,54.44,53.0,11.33
1993年,男,台北市,主唾液腺,0.56,8,45.0,41.5,0.6
1993年,男,台北市,鼻咽,8.76,117,48.97,47.0,8.78
1993年,男,台北市,食道,6.85,86,64.19,65.0,6.46
1993年,男,台北市,胃,23.22,300,66.93,70.0,22.52
1993年,男,台北市,小腸,0.69,9,50.78,48.0,0.68
1993年,男,台北市,結直腸,28.55,377,63.59,66.0,28.3
1993年,男,台北市,肝及肝內膽管,32.35,417,59.69,62.0,31.3
1993年,男,台北市,膽囊及肝外膽管,1.98,25,67.8,67.0,1.88
1993年,男,台北市,胰,4.42,56,64.77,65.5,4.2
1993年,男,台北市,後腹膜腔及腹膜,0.24,3,50.0,74.0,0.23
1993年,男,台北市,消化器官其他分界不明部位,0.22,3,73.0,73.0,0.23
1993年,男,台北市,鼻腔、中耳及副鼻竇,0.65,8,60.63,60.0,0.6
1993年,男,台北市,喉,3.47,44,64.84,66.5,3.3
1993年,男,台北市,肺、支氣管及氣管,32.93,437,66.65,68.0,32.8
1993年,男,台北市,胸膜,0.29,4,63.25,65.5,0.3
1993年,男,台北市,胸腺、心臟與中隔,1.04,14,50.29,49.5,1.05
1993年,男,台北市,骨、關節及關節軟骨,0.38,6,33.67,36.0,0.45
1993年,男,台北市,結締組織、皮下組織及其他軟組織,1.68,24,51.17,47.0,1.8
1993年,男,台北市,皮膚,5.38,72,65.85,69.5,5.4
1993年,男,台北市,男性乳房,0.19,2,52.5,52.5,0.15
1993年,男,台北市,攝護腺,11.83,156,71.91,72.0,11.71
1993年,男,台北市,睪丸,0.73,9,34.78,37.0,0.68
1993年,男,台北市,其他男性生殖器官,1.05,14,65.64,72.0,1.05
1993年,男,台北市,膀胱,8.96,119,67.2,69.0,8.93
1993年,男,台北市,腎,4.17,56,63.13,66.5,4.2
1993年,男,台北市,腎盂及其他泌尿系統,2.62,34,64.97,67.0,2.55
1993年,男,台北市,眼及淚腺,0.18,2,24.5,24.5,0.15
1993年,男,台北市,腦,3.08,42,39.07,37.0,3.15
1993年,男,台北市,其他神經系統,0.54,7,47.29,51.0,0.53
1993年,男,台北市,甲狀腺,2.88,38,57.24,62.0,2.85
1993年,男,台北市,其他內分泌腺,0.31,4,36.5,40.5,0.3
1993年,男,台北市,其他分界不明的部位,0.36,5,60.4,68.0,0.38
1993年,男,台北市,不明原發部位,4.44,61,65.66,68.0,4.58
1993年,男,台北市,何杰金氏淋巴瘤,0.06,1,71.0,71.0,0.08
1993年,男,台北市,白血病,5.44,73,43.16,42.0,5.48
1993年,男,台北市,非何杰金氏淋巴瘤,6.07,78,58.49,63.5,5.85
1993年,男,台北市,漿細胞瘤,1.19,17,61.94,68.0,1.28
1993年,男,台北市,全癌症,222.18,2911,61.89,66.0,218.51
1993年,女,台北市,口腔、口咽及下咽,2.17,27,53.74,56.0,2.04
1993年,女,台北市,主唾液腺,0.74,11,43.82,38.0,0.83
1993年,女,台北市,鼻咽,3.47,47,48.02,46.0,3.56
1993年,女,台北市,食道,0.85,9,73.22,72.0,0.68
1993年,女,台北市,胃,11.36,133,60.51,62.0,10.07
1993年,女,台北市,小腸,0.86,9,67.89,65.0,0.68
1993年,女,台北市,結直腸,26.24,297,60.56,63.0,22.48
1993年,女,台北市,肝及肝內膽管,12.1,135,62.93,65.0,10.22
1993年,女,台北市,膽囊及肝外膽管,2.2,24,64.92,67.0,1.82
1993年,女,台北市,胰,2.41,27,67.0,72.0,2.04
1993年,女,台北市,後腹膜腔及腹膜,0.88,10,47.3,57.5,0.76
1993年,女,台北市,消化器官其他分界不明部位,0.18,2,60.5,60.5,0.15
1993年,女,台北市,鼻腔、中耳及副鼻竇,0.75,9,45.56,51.0,0.68
1993年,女,台北市,喉,0.05,1,37.0,37.0,0.08
1993年,女,台北市,肺、支氣管及氣管,18.72,207,64.08,66.0,15.67
1993年,女,台北市,胸膜,0.06,1,34.0,34.0,0.08
1993年,女,台北市,胸腺、心臟與中隔,0.71,8,48.25,54.5,0.61
1993年,女,台北市,骨、關節及關節軟骨,0.92,12,31.92,30.0,0.91
1993年,女,台北市,結締組織、皮下組織及其他軟組織,1.61,20,49.1,51.0,1.51
1993年,女,台北市,皮膚,4.03,49,57.8,58.0,3.71
1993年,女,台北市,女性乳房,38.31,499,50.37,48.0,37.77
1993年,女,台北市,子宮,0.24,3,57.67,63.0,0.23
1993年,女,台北市,子宮頸,28.04,344,54.16,54.0,26.04
1993年,女,台北市,子宮體,6.62,80,53.14,52.0,6.06
1993年,女,台北市,卵巢、輸卵管及寬韌帶,6.35,79,49.63,48.0,5.98
1993年,女,台北市,其他女性生殖器官,1.43,17,59.18,61.0,1.29
1993年,女,台北市,膀胱,3.02,33,66.15,69.0,2.5
1993年,女,台北市,腎,1.83,22,53.41,56.5,1.67
1993年,女,台北市,腎盂及其他泌尿系統,2.2,24,67.38,69.0,1.82
1993年,女,台北市,眼及淚腺,0.41,4,19.5,3.0,0.3
1993年,女,台北市,腦,2.52,32,30.63,26.0,2.42
1993年,女,台北市,其他神經系統,0.05,1,42.0,42.0,0.08
1993年,女,台北市,甲狀腺,7.29,102,43.01,41.0,7.72
1993年,女,台北市,其他內分泌腺,0.23,3,46.33,47.0,0.23
1993年,女,台北市,其他分界不明的部位,0.2,2,66.0,66.0,0.15
1993年,女,台北市,不明原發部位,3.72,43,61.93,65.0,3.26
1993年,女,台北市,何杰金氏淋巴瘤,0.33,4,39.25,39.5,0.3
1993年,女,台北市,白血病,4.05,48,44.67,49.0,3.63
1993年,女,台北市,非何杰金氏淋巴瘤,3.3,39,54.51,59.0,2.95
1993年,女,台北市,漿細胞瘤,0.69,8,66.13,71.5,0.61
