鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,急性後期照護病床,整合醫學急診後送病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床
101,5,1291,848,443,153,745,103,695,50,0,103,0,0,0,54,0,0,33,51,0,0,84,0,0,0,0,10,0,0,0,0,16,57,138,0
102,6,1414,1032,382,0,1032,0,1032,0,0,0,0,0,0,69,0,4,23,57,0,0,37,0,0,0,0,2,0,0,0,0,21,52,117,0
109,1,3103,2323,780,498,2190,133,1825,365,0,133,0,0,0,155,0,0,30,80,11,22,185,0,12,9,0,33,0,0,0,0,26,50,167,0
110,4,1282,833,449,0,813,20,813,0,20,0,0,0,0,100,0,8,55,39,0,0,90,0,0,20,9,2,0,0,0,0,12,66,48,0
111,3,2241,1610,631,118,1610,0,1492,118,0,0,0,0,0,126,8,3,46,42,2,15,152,24,0,0,1,18,2,0,0,0,40,46,106,0
115,1,833,543,290,25,543,0,518,25,0,0,0,0,0,62,0,3,21,40,0,8,0,8,0,0,0,2,0,0,0,0,16,25,105,0
116,6,5060,4071,989,704,3787,284,3300,487,67,217,0,0,0,313,14,12,41,97,6,44,32,28,0,94,33,21,11,0,0,0,54,39,150,0
117,1,741,525,216,25,525,0,500,25,0,0,0,0,0,59,0,0,17,25,0,14,0,0,0,4,0,4,0,0,0,0,18,15,60,0
118,3,2668,1888,780,68,1888,0,1820,68,0,0,0,0,0,260,10,4,48,120,0,17,0,15,0,96,1,49,14,0,0,0,56,20,70,0
119,4,440,248,192,0,169,79,169,0,79,0,0,0,0,8,0,0,0,10,6,0,30,0,0,0,0,0,0,0,0,0,7,3,127,1
120,2,861,592,269,38,592,0,554,38,0,0,0,0,0,47,4,0,10,29,6,10,60,10,0,0,0,12,0,0,0,0,12,15,54,0
301,11,1090,745,345,12,700,45,688,12,45,0,0,0,0,49,0,0,8,31,2,6,70,15,0,0,0,0,0,0,0,0,10,28,126,0
302,1,93,54,39,0,54,0,54,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0
303,3,393,332,61,99,269,63,233,36,0,63,0,0,0,21,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,3,5,22,1
304,2,450,450,0,450,80,370,0,80,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1,1149,857,292,50,795,62,745,50,62,0,0,0,0,85,0,0,16,21,0,10,40,10,0,0,0,0,0,0,0,0,12,20,78,0
306,3,1510,1032,478,180,832,200,752,80,100,100,0,0,0,90,0,10,20,31,10,8,123,20,0,0,0,2,0,0,0,0,16,20,128,0
309,1,1122,909,213,50,549,360,499,50,360,0,0,0,0,53,0,0,5,22,4,12,0,12,0,0,0,1,0,0,0,0,10,6,88,0
310,1,189,97,92,0,97,0,97,0,0,0,0,0,0,10,0,0,0,5,0,0,38,0,0,0,0,0,0,0,0,0,2,0,37,0
312,1,248,248,0,248,40,208,0,40,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,2,487,344,143,0,344,0,344,0,0,0,0,0,0,18,0,0,8,6,0,0,70,0,0,0,0,1,0,0,0,0,5,7,28,0
318,2,538,399,139,0,399,0,399,0,0,0,0,0,0,35,0,0,3,12,0,0,30,0,0,0,0,0,0,0,0,0,7,7,45,0
319,4,1107,940,167,276,790,150,664,126,0,150,0,0,0,51,0,0,4,30,0,0,0,0,0,0,0,2,0,0,0,0,10,4,66,0
320,4,801,608,193,0,608,0,608,0,0,0,0,0,0,40,0,0,10,19,4,0,0,10,0,0,0,4,0,0,0,0,12,9,85,0
322,3,505,331,174,0,331,0,331,0,0,0,0,0,0,34,0,0,9,10,8,0,63,0,0,0,0,1,0,0,0,0,5,15,29,0
323,3,262,114,148,0,114,0,114,0,0,0,0,0,0,0,0,0,16,3,0,0,20,0,0,0,0,0,0,0,0,0,2,38,69,0
324,3,964,792,172,440,442,350,352,90,0,350,0,0,0,26,0,4,7,6,4,8,30,10,0,0,0,20,0,0,0,0,6,15,36,0
325,4,1495,1120,375,230,981,139,890,91,0,139,0,0,0,113,0,4,30,37,11,20,20,23,0,0,0,11,0,0,0,0,23,25,58,0
326,7,2694,1938,756,295,1728,210,1643,85,0,210,0,0,0,173,0,8,58,74,0,18,50,59,0,0,0,6,2,0,0,50,35,50,173,0
327,2,2314,1545,769,70,1545,0,1475,70,0,0,0,0,0,207,0,8,40,100,20,22,40,22,0,0,19,23,0,0,0,75,47,41,105,0
328,3,783,510,273,0,510,0,510,0,0,0,0,0,0,40,0,0,17,20,2,0,60,10,0,0,2,1,0,0,0,0,8,33,80,0
329,7,401,283,118,0,213,70,213,0,70,0,0,0,0,0,0,0,6,6,4,0,60,0,0,0,0,0,0,0,0,0,11,16,15,0
501,4,452,284,168,100,184,100,184,0,0,100,0,0,0,11,0,0,0,14,0,0,89,0,0,0,0,0,0,0,0,0,3,0,50,1
503,1,50,20,30,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
504,1,378,298,80,0,298,0,298,0,0,0,0,0,0,17,0,0,5,10,0,0,0,0,0,0,0,2,0,0,0,0,4,12,30,0
505,2,344,188,156,0,186,2,186,0,2,0,0,0,0,24,0,0,0,20,4,0,46,0,0,0,0,2,0,0,0,0,2,0,58,0
506,2,278,264,14,200,47,217,47,0,17,200,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
507,1,24,20,4,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,1,876,642,234,0,642,0,642,0,0,0,0,0,0,67,0,0,8,24,6,22,0,20,0,1,5,4,0,0,0,0,12,7,58,0
527,2,607,549,58,498,231,318,51,180,0,318,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,51,0,0,0,0,0,0,0,0
529,1,35,20,15,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
531,5,2105,1530,575,198,1171,359,1093,78,239,120,0,0,0,119,0,8,32,86,18,20,90,16,0,3,1,3,2,0,0,0,21,50,106,0
532,3,1006,675,331,24,675,0,651,24,0,0,0,0,0,72,0,0,11,35,2,15,52,12,0,6,0,2,0,0,0,0,15,27,82,0
