,特材收錄品項表,,,,,,,,,,,,,,,,,,,,,,,,
大類碼,大小類碼,大小類碼名稱,品名碼,功能類別,功能類別名稱,核價類別名稱,特材代碼,中英文品名,中文品名,英文品名,產品型號/規格,單位,支付點數,核定費用,生效日期,事前審查生效日期,事前審查,給付規定代碼,生效迄日,申請者簡稱,許可證字號,自付差額品名,整組組件特材關聯代碼表,給付類別,
'G,'GW, 導引管, 'AB2, 'GWAB2," ""導引線/彈性合金，D=0.016 -0.052 ，L<=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L<=100CM，有塗層", CGDW1HPW14CK, “曲克”路德朗優尼格親水性導線“COOK” ROADRUNNER UNIGLIDE HYDROPHILIC WIRE GUIDE, “曲克”路德朗優尼格親水性導線, “Cook” Roadrunner UniGlide Hydrophilic Wire Guide, 'HPWA-35-80, 條,0, , 114/04/01, 109/09/01,N,無, 999/12/31, 曲克,衛部醫器輸字第033250號,  , , ,
'G,'GW, 導引管, 'AB2, 'GWAB2," ""導引線/彈性合金，D=0.016 -0.052 ，L<=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L<=100CM，有塗層", CGDW1HPW14CK, “曲克”路德朗優尼格親水性導線“COOK” ROADRUNNER UNIGLIDE HYDROPHILIC WIRE GUIDE, “曲克”路德朗優尼格親水性導線, “Cook” Roadrunner UniGlide Hydrophilic Wire Guide, 'HPWA-35-80, 條,647, , 109/09/01, 109/09/01,N,無, 114/03/31, 曲克,衛部醫器輸字第033250號,  , , ,
'G,'GW, 導引管, 'AA2, 'GWAA2," ""導引線/不鏽鋼，D=0.016 -0.052 ，L=101-200CM"""," GUIDEWIRE/不鏽鋼(PTFE，TEFLON)，D=0.016""-0.052""，L=101-200CM，有塗層", CGDW1JTW02MR," ""美瑞特""診斷導線-J接頭導線0.014""-0.038""150-180公分""MERIT"" INQWIRE DIAGNOSTIC GUIDE WIRES"," ""美瑞特""診斷導線-J接頭導線0.014""-0.038""150-180公分"," ""Merit"" InQwire Diagnostic Guide Wires", '6693-A1;6682-H1;J3;K1;L3;M1;N3;E1;6693-41;6684-41;6647-11;6693-61;81;6684-61;6683-51;63;71;6694-21;8820-B1;IQ35F150J1O5;IQH35F150J1O5;IQ35F150J3;IQH35F150J3;IQ35F180J3;IQ38F150J3;IQH38F150J3;IQ35F150J3F;IQH35F150J3F;IQ35F180J3F;IQH35F180J3F;IQ38F150J3F;IQ38F180J3F;IQ35F150J6;IQ38F150J6;IQ35F150J15;IQH35F150J15;IQ38F150J15, 條,304, , 106/01/01, 106/01/01,N,無, 999/12/31, 美瑞特,衛部醫器輸字第028269號,  , , ,
'G,'GW, 導引管, 'AA3, 'GWAA3," ""導引線/不鏽鋼，D=0.016 -0.052 ，L>=201CM"""," GUIDEWIRE/不鏽鋼(PTFE，TEFLON)，D=0.016""-0.052""，L>=201CM，有塗層", CGDW1JTW03MR," ""美瑞特""診斷導線-J接頭導線0.035""-0.038""260公分""MERIT"" INQWIRE DIAGNOSTIC GUIDE WIRES"," ""美瑞特""診斷導線-J接頭導線0.035""-0.038""260公分"," ""Merit"" InQwire Diagnostic Guide Wires", 'IQ35F260J3;IQ38F260J3;【擴增產品型號IQ35F260S自1140101起生效】, 條,427, , 114/01/01, 106/01/01,N,無, 999/12/31, 美瑞特,衛部醫器輸字第028269號,  , , ,
'G,'GW, 導引管, 'AB2, 'GWAB2," ""導引線/彈性合金，D=0.016 -0.052 ，L<=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L=101-200CM，有塗層", CGDW1LC181TM," RADIFOCUS GUIDE WIRE M 0.018""~0.038""120CM，150CM，180CM"," ""泰爾茂""血管攝影用導線"," ""TERUMO"" RADIFOCUS GUIDE WIRE M", 'RF*GA18-123;RF*GA25-183;RF*GA25;32;35;38-123;M;RF*GA18;32;38-153;M;RF*GA18;32;35;38-183;M;RF*GA25;35-153;M, EA,744, , 106/01/01, 098/01/01,N,無, 999/12/31, 泰爾茂,衛署醫器輸字第007367號,  , , ,
'G,'GW, 導引管, 'AA2, 'GWAA2," ""導引線/不鏽鋼，D=0.016 -0.052 ，L=101-200CM"""," GUIDEWIRE/D=0.016""-0.052""，L<=200CM，有塗層，EXTRASUPPORT", CGDW1LC182TM," RADIFOCUS GUIDE WIRE M STIFF WIRE 0.025""~0.038"" 150CM，180CM"," ""泰爾茂""血管攝影用導線"," ""TERUMO"" RADIFOCUS GUIDE WIRE M", 'RF*PA25;35;38-153;M;RF*PA35;38-183;M, EA,776, , 106/01/01, 098/01/01,N,無, 999/12/31, 泰爾茂,衛署醫器輸字第007367號,  , , ,
'G,'GW, 導引管, 'AA2, 'GWAA2," ""導引線/不鏽鋼，D=0.016 -0.052 ，L=101-200CM"""," GUIDEWIRE/D=0.016""-0.052""，L<=200CM，有塗層，EXTRASUPPORT", CGDW1LC183TM," RADIFOCUS GUIDE WIRE M STIFF WIRE 0.018"" 180CM"," ""泰爾茂""導引導線"," ""TERUMO""RADIFOCUS GUIDE WIRE M", 'RF*PA18183M, EA,776, , 106/01/01, 098/01/01,N,無, 999/12/31, 泰爾茂,衛署醫器輸字第008394號,  , , ,
'G,'GW, 導引管, 'AB2, 'GWAB2," ""導引線/彈性合金，D=0.016 -0.052 ，L<=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L=101-200CM，有塗層", CGDW1LC18NTM," RADIFOCUS GUIDE WIRE M 0.018""~0.038"" 120CM，150CM，180CM"," ""泰爾茂""血管攝影用導線"," ""TERUMO"" RADIFOCUS GUIDE WIRE M", 'RF*GS18;38-123;RF*GS25;32;35-123;M;RF*GS18;25;32;38-153;M;RF*GS18;25;32;35;38-183;M;RF*GS35153;M, EA,744, , 106/01/01, 098/01/01,N,無, 999/12/31, 泰爾茂,衛署醫器輸字第007367號,  , , ,
'G,'GW, 導引管, 'AB3, 'GWAB3," ""導引線/彈性合金，D=0.016 -0.052 ，L>=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L=201-300CM，有塗層", CGDW1LC301TM," RADIFOCUS GUIDE WIRE M STIFF WIRE 0.018""~0.038"" 220CM，260CM，300CM"," ""泰爾茂""血管攝影用導線"," ""TERUMO"" RADIFOCUS GUIDE WIRE M", 'RF*GA18;25;35;38-223;M;RF*GA18;25;32;35;38-263;M;RF*GA18;25;32-303;RF*GA-32223, EA,1359, , 102/01/01, 098/01/01,N,無, 999/12/31, 泰爾茂,衛署醫器輸字第007367號,  , , ,
'G,'GW, 導引管, 'AB3, 'GWAB3," ""導引線/彈性合金，D=0.016 -0.052 ，L>=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L=201-300CM，有塗層", CGDW1LC303TM," ""泰爾茂""導引導線""TERUMO""RADIFOCUS GUIDE WIRE M STIFF WIRE 0.025""，0.035"" 260CM，300CM"," ""泰爾茂""導引導線"," ""TERUMO""RADIFOCUS GUIDE WIRE M", 'RF*PA25263M;RF*PA35303M;(RF*GA35303M自1030501生效), EA,1359, , 103/05/01, 098/01/01,N,無, 999/12/31, 泰爾茂,衛署醫器輸字第008394號,  , , ,
'G,'GW, 導引管, 'AB3, 'GWAB3," ""導引線/彈性合金，D=0.016 -0.052 ，L>=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L=201-300CM，有塗層", CGDW1LC30NTM," RADIFOCUS GUIDE WIRE M 0.018""~0.038"" 220CM，260CM，300CM"," ""泰爾茂""血管攝影用導線"," ""TERUMO"" RADIFOCUS GUIDE WIRE M", 'RF*GS18;25;32;35;38-263;M;RF*GS18;25;26-303;RF*PA35263;M, EA,1359, , 102/01/01, 098/01/01,N,無, 999/12/31, 泰爾茂,衛署醫器輸字第007367號,  , , ,
'G,'GW, 導引管, 'AA2, 'GWAA2," ""導引線/不鏽鋼，D=0.016 -0.052 ，L=101-200CM"""," GUIDEWIRE/D=0.016""-0.052""，L<=200CM，有塗層，EXTRASUPPORT", CGDW1PA183TM," ""泰爾茂""導引導線""TERUMO""RADIFOCUS GUIDE WIRE M STIFF/HALF-STIFF 0.020"":0.038"" 80:180CM"," ""泰爾茂""導引導線"," ""TERUMO""RADIFOCUS GUIDE WIRE M STIFF/HALF-STIFF 0.020"":0.038"" 80:180CM", 'RF+PA-18;32;35;38-183M;RF+PA-25;35;38-153M;RF+PS-32;35;38-153M;RF+HA35153M;RF+PA35188M;RF+PS35183M(刪除RF+PS32153M;擴增RF*PA-18;32;35;38-183M;RF*PA-25;35;38-153M;RF*PS-35;38-153M;RF*HA35153M;RF*PA35188M;RF*PS35183M;RF*PA35083M;RF+PA35083M自1050101生效), 條,776, , 106/01/01, 103/07/01,N,無, 999/12/31, 泰爾茂,衛部醫器輸字第025683號,  , , ,
'G,'GW, 導引管, 'AA2, 'GWAA2," ""導引線/不鏽鋼，D=0.016 -0.052 ，L=101-200CM"""," GUIDEWIRE/D=0.016""-0.052""，L<=200CM，有塗層，EXTRASUPPORT", CGDW1PA353TM," ""泰爾茂""血管攝影用導線""TERUMO""RADIFOCUS GUIDE WIRE M 0.035"":0.038"" 80:180CM STIFF TYPE"," ""泰爾茂""血管攝影用導線"," ""TERUMO"" RADIFOCUS GUIDE WIRE M", '(RF*PA-35083;38083;35153;35183;38153;38183;自1020101重新整理);(RF*PA-35083M自1020101生效), EA,776, , 106/01/01, 085/06/25,N,無, 999/12/31, 泰爾茂,衛署醫器輸字第007367號,  , , ,
'G,'GW, 導引管, 'AA1, 'GWAA1," ""導引線/不鏽鋼，D=0.016 -0.052 ，L<=100CM"""," GUIDEWIRE/不鏽鋼(PTFE，TEFLON)，D=0.016""-0.052""，L<=100CM，有塗層", CGDW1PF08077, “廣泰”導引線“KT” GUIDE WIRE, “廣泰”導引線, “KT” Guide Wire, '(PSIS-35-080;090);(PSIF-35-080;090);(PSJS-35-080;090);(PSJF-35-080;090), 條,277, , 108/01/01, 108/01/01,N,無, 999/12/31, 康聚,衛部醫器製字第006144號,  , , ,
'G,'GW, 導引管, 'AA2, 'GWAA2," ""導引線/不鏽鋼，D=0.016 -0.052 ，L=101-200CM"""," GUIDEWIRE/不鏽鋼(PTFE，TEFLON)，D=0.016""-0.052""，L=101-200CM，有塗層", CGDW1PF15077, “廣泰”導引線“KT” GUIDE WIRE, “廣泰”導引線, “KT” Guide Wire, '(PSIS-35;38-150;180);(PSIF-35;38-150;180);(PSJS-35;38-150;180);(PSJF-35;38-150;180), 條,304, , 108/01/01, 108/01/01,N,無, 999/12/31, 康聚,衛部醫器製字第006144號,  , , ,
'G,'GW, 導引管, 'AA3, 'GWAA3," ""導引線/不鏽鋼，D=0.016 -0.052 ，L>=201CM"""," GUIDEWIRE/不鏽鋼(PTFE，TEFLON)，D=0.016""-0.052""，L>=201CM，有塗層", CGDW1PF26077, “廣泰”導引線“KT” GUIDE WIRE, “廣泰”導引線, “KT” Guide Wire, '(PSIS-35;38-260);(PSIF-35;38-260);(PSJS-35;38-260);(PSJF-35;38-260), 條,427, , 108/01/01, 108/01/01,N,無, 999/12/31, 康聚,衛部醫器製字第006144號,  , , ,
'C,'CG, 導引管, 'DW2, 'CGDW2, 壓力感應金屬導引線, 壓力感應金屬導引線Pressure　Wire(測量冠脈血流儲備分數(FFR或iFR)使用), CGDW1PRSGWSB," ""波士頓科技""彗星壓力感應導線""BOSTON SCIENTIFIC"" COMET PRESSURE GUIDEWIRE"," ""波士頓科技""彗星壓力感應導線"," ""Boston Scientific"" Comet Pressure Guidewire", 'H7493932430;(H74939359310自1100501生效), 組,20000, , 110/05/01, 106/03/01,N,A225-2, 999/12/31, 荷商波士頓,衛部醫器輸字第028775號,  , , ,
'C,'CG, 導引管, 'DW2, 'CGDW2, 壓力感應金屬導引線, 壓力感應金屬導引線Pressure　Wire(測量冠脈血流儲備分數(FFR或iFR)使用), CGDW1PRSGWVQ, “維克諾”壓力偵測導線“VOLCANO”OMNIWIRE PRESSURE GUIDE WIRE, “維克諾”壓力偵測導線, “Volcano”OmniWire Pressure Guide Wire, '89185;89185J, 組,20000, , 112/03/01, 112/03/01,N,A225-2, 999/12/31, 飛利浦,衛部醫器輸字第035533號,  , , ,
'G,'GW, 導引管, 'AA2, 'GWAA2," ""導引線/不鏽鋼，D=0.016 -0.052 ，L=101-200CM"""," GUIDEWIRE/不鏽鋼(PTFE，TEFLON)，D=0.016""-0.052""，L=101-200CM，有塗層", CGDW1PTGW2GJ," STAINLESS STEEL GUIDE WIRE0.018""~0.038"" 120CM;150CM;180CM W/PTFE"," ""吉生""導引線"," ""JSM""GUIDE WIRE", '02-P18;21;25;28;32;35;38;-120;150;180-ST;3J;6J, EA,304, , 106/01/01, 099/10/01,N,無, 999/12/31, 吉生,衛署醫器製字第002985號,  , , ,
'G,'GW, 導引管, 'AA3, 'GWAA3," ""導引線/不鏽鋼，D=0.016 -0.052 ，L>=201CM"""," GUIDEWIRE/不鏽鋼(PTFE，TEFLON)，D=0.016""-0.052""，L>=201CM，有塗層", CGDW1PTGW3GJ," STAINLESS STEEL GUIDE WIRE0.018""~0.038"" 260CM;300CM W/PTFE"," ""吉生""導引線"," ""JSM""GUIDE WIRE", '02-P18;21;25;28;32;35;38;-260;300-ST;3J;6J, EA,427, , 106/01/01, 099/10/01,N,無, 999/12/31, 吉生,衛署醫器製字第002985號,  , , ,
'C,'CG, 導引管, 'DW2, 'CGDW2, 壓力感應金屬導引線, 壓力感應金屬導引線Pressure　Wire(測量冠脈血流儲備分數(FFR或iFR)使用), CGDW1PWC28AB," ""雅培""壓力感應金屬導線""ABBOTT""PRESSUREWIRE"," ""雅培""壓力感應金屬導線"," ""Abbott""PressureWire", 'C12009;C12059, 組,20000, , 110/05/01, 110/05/01,N,A225-2, 999/12/31, 雅培,衛署醫器輸字第024489號,  , , ,
'G,'GW, 導引管, 'AA3, 'GWAA3," ""導引線/不鏽鋼，D=0.016 -0.052 ，L>=201CM"""," GUIDEWIRE/不鏽鋼(PTFE，TEFLON)，D=0.016""-0.052""，L>=201CM，有塗層", CGDW1R45J2AB," 蓋瑞特導引線GUIDERIGHT GUIDEWIRE(""J"" TIP-FIXED CORE，260CM)", 蓋瑞特導引線," GuideRight Guidewire(""J"" Tip-Fixed Core，260cm)", '404-878;577;617, EA,427, , 109/07/01, 109/07/01,N,無, 999/12/31, 雅培,衛署醫器輸字第018869號,  , , ,
'G,'GW, 導引管, 'AA2, 'GWAA2," ""導引線/不鏽鋼，D=0.016 -0.052 ，L=101-200CM"""," GUIDEWIRE/不鏽鋼(PTFE，TEFLON)，D=0.016""-0.052""，L=101-200CM，有塗層", CGDW1R45NNAB," 蓋瑞特導引線GUIDERIGHT GUIDEWIRE(""J"" TIP-FIXED CORE，150;180CM)", 蓋瑞特導引線," GuideRight Guidewire(""J"" Tip-Fixed Core，150;180cm)", '404-568;569;570;571;578;610, EA,304, , 109/07/01, 109/07/01,N,無, 999/12/31, 雅培,衛署醫器輸字第018869號,  , , ,
'G,'GW, 導引管, 'AA2, 'GWAA2," ""導引線/不鏽鋼，D=0.016 -0.052 ，L=101-200CM"""," GUIDEWIRE/不鏽鋼(PTFE，TEFLON)，D=0.016""-0.052""，L=101-200CM，有塗層", CGDW1R48NNAB, 蓋瑞特導引線GUIDERIGHT GUIDEWIRE(STRAIGHT-FIXED CORE，150CM), 蓋瑞特導引線, GuideRight Guidewire(Straight-Fixed Core，150cm), '404-840;843, EA,304, , 109/07/01, 109/07/01,N,無, 999/12/31, 雅培,衛署醫器輸字第018869號,  , , ,
'G,'GW, 導引管, 'AA3, 'GWAA3," ""導引線/不鏽鋼，D=0.016 -0.052 ，L>=201CM"""," GUIDEWIRE/不鏽鋼(PTFE，TEFLON)，D=0.016""-0.052""，L>=201CM，有塗層", CGDW1R48SFAB, 蓋瑞特導引線GUIDERIGHT GUIDEWIRE(STRAIGHT-FIXED CORE，260CM), 蓋瑞特導引線, GuideRight Guidewire(Straight-Fixed Core，260cm), '404844, EA,427, , 109/07/01, 109/07/01,N,無, 999/12/31, 雅培,衛署醫器輸字第018869號,  , , ,
'G,'GW, 導引管, 'AB2, 'GWAB2," ""導引線/彈性合金，D=0.016 -0.052 ，L<=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L=101-200CM，有塗層", CGDW1RPC1XCK," ""曲克""羅瑞爾導線""COOK""ROADRUNNER PC WIRE GUIDES 0.035""，145CM，180CM"," ""曲克""羅瑞爾導線"," ""COOK""ROADRUNNER PC WIRE GUIDES", 'RPC35;38:145;180(自1050301型號整併為RLPC;RPC;RFPC;RFSPC-35;38-145;180)(刪除型號(RLPC-38-145;180);(RPC-38-145;180);(RFPC-38-145;180);(RFSPC-38-145;180)自1090101生效), 條,744, , 109/01/01, 089/07/01,N,無, 999/12/31, 曲克,衛署醫器輸字第009364號,  , , ,
'G,'GW, 導引管, 'AB3, 'GWAB3," ""導引線/彈性合金，D=0.016 -0.052 ，L>=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L=201-300CM，有塗層", CGDW1RPC2XCK," ""曲克""羅瑞爾導線""COOK"" ROADRUNNER PC WIRE GUIDES0.035""，260CM"," ""曲克""羅瑞爾導線"," ""COOK"" ROADRUNNER PC WIRE GUIDES", 'RPC-35;38:260(自1050301型號整併為RLPC;RPC;RFPC;RFSPC-35;38-260);(刪除型號RLPC-38-260;RPC-38-260;RFPC-38-260;RFSPC-38-260自1090101生效), 條,1359, , 109/01/01, 089/07/01,N,無, 999/12/31, 曲克,衛署醫器輸字第009364號,  , , ,
'G,'GW, 導引管, 'AB2, 'GWAB2," ""導引線/彈性合金，D=0.016 -0.052 ，L<=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L=101-200CM，有塗層", CGDW1S3515TM," RADIOFOCUS GUIDE WIRE 0.035"" 150CM (STRAIGHT)"," ""泰爾茂""導引導線"," ""TERUMO""RADIFOCUS GUIDE WIRE M", 'RF*GS35153, EA,744, , 106/01/01, 084/03/01,N,無, 999/12/31, 泰爾茂,衛署醫器輸字第008394號,  , , ,
'G,'GW, 導引管, 'AB2, 'GWAB2," ""導引線/彈性合金，D=0.016 -0.052 ，L<=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L=101-200CM，有塗層", CGDW1SENSRSB, “波士頓科技”深索導線“BOSTON SCIENTIFIC” SENSOR GUIDEWIRE, “波士頓科技”深索導線, “Boston Scientific” Sensor Guidewire, 'M0066703-051;061;091;101;081;011;121;021, 條,744, , 108/05/01, 108/05/01,N,無, 999/12/31, 波士頓,衛署醫器輸字第024839號,  , , ,
'G,'GW, 導引管, 'AA1, 'GWAA1," ""導引線/不鏽鋼，D=0.016 -0.052 ，L<=100CM"""," GUIDEWIRE/不鏽鋼，D=0.016""-0.052""，L<=100CM，無塗層", CGDW1SJAST3G," ""以仁""導引線""ELINE"" GUIDE WIRE"," ""以仁""導引線"," ""Eline"" Guide Wire", '請參考圖檔, 條,140, , 110/05/01, 110/05/01,N,無, 999/12/31, 以仁,衛部醫器製字第006968號,  , , ,
'G,'GW, 導引管, 'AB2, 'GWAB2," ""導引線/彈性合金，D=0.016 -0.052 ，L<=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L<=100CM，有塗層", CGDW1SSSH190, “鐵克諾武” 三愛司血管攝影導線“TECHNOWOOD” SSS ANGIOGRAPHIC GUIDE WIRE, “鐵克諾武” 三愛司血管攝影導線, “Technowood” SSS Angiographic Guide Wire, 'H503-3508A;H503-3508BK1.5;H503-3508AM;H503-3508BK1.5M, 條,647, , 111/11/01, 111/11/01,N,無, 999/12/31, 博宣寧,衛部醫器輸字第035347號,  , , ,
'G,'GW, 導引管, 'AB2, 'GWAB2," ""導引線/彈性合金，D=0.016 -0.052 ，L<=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L=101-200CM，有塗層", CGDW1SSSH290, “鐵克諾武” 三愛司血管攝影導線“TECHNOWOOD” SSS ANGIOGRAPHIC GUIDE WIRE, “鐵克諾武” 三愛司血管攝影導線, “Technowood” SSS Angiographic Guide Wire, 'H502-3515S;H503-3515S;H503L-3515S;H502-3518S;H503-3518S;H503L-3518S;H502-3520S;H503-3520S;H503L-3520S;H502-3515A;H503-3515A;H503L-3515A;H502-3518A;H503-3518A;H503L-3518A;H502-3520A;H503-3520A;H503L-3520A;H502-3515P2;H503-3515P2;H503L-3515P2;H502-3518P2;H503-3518P2;H503L-3518P2;H502-3520P2;H503-3520P2;H503L-3520P2;H502-3515P3;H503-3515P3;H503L-3515P3;H502-3518P3;H503-3518P3;H503L-3518P3;H502-3520P3;H503-3520P3;H503L-3520P3;H502-3515BK1.5;H503-3515BK1.5;H503L-3515BK1.5;H502-3518BK1.5;H503-3518BK1.5;H503L-3518BK1.5;H502-3520BK1.5;H503-3520BK1.5;H503L-3520BK1.5;H502-3515AM;H503-3515AM;H503L-3515AM;H502-3518AM;H503-3518AM;H503L-3518AM;H502-3520AM;H503-3520AM;H503L-3520AM;H502-3515BK1.5M;H503-3515BK1.5M;H503L-3515BK1.5M;H502-3518BK1.5M;H503-3518BK1.5M;H503L-3518BK1.5M;H502-3520BK1.5M;H503-3520BK1.5M;H503L-3520BK1.5M, 條,744, , 111/11/01, 111/11/01,N,無, 999/12/31, 博宣寧,衛部醫器輸字第035347號,  , , ,
'G,'GW, 導引管, 'AB3, 'GWAB3," ""導引線/彈性合金，D=0.016 -0.052 ，L>=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L=201-300CM，有塗層", CGDW1SSSH390, “鐵克諾武” 三愛司血管攝影導線“TECHNOWOOD” SSS ANGIOGRAPHIC GUIDE WIRE, “鐵克諾武” 三愛司血管攝影導線, “Technowood” SSS Angiographic Guide Wire, 'H502-3522S;H503-3522S;H503L-3522S;H502-3526S;H503-3526S;H503L-3526S;H502-3522A;H503-3522A;H503L-3522A;H502-3526A;H503-3526A;H503L-3526A;H502-3522P2;H503-3522P2;H503L-3522P2;H502-3526P2;H503-3526P2;H503L-3526P2;H502-3522P3;H503-3522P3;H503L-3522P3;H502-3526P3;H503-3526P3;H503L-3526P3;H502-3522BK1.5;H503-3522BK1.5;H503L-3522BK1.5;H502-3526BK1.5;H503-3526BK1.5;H503L-3526BK1.5;H502-3522AM;H503-3522AM;H503L-3522AM;H502-3526AM;H503-3526AM;H503L-3526AM;H502-3522BK1.5M;H503-3522BK1.5M;H503L-3522BK1.5M;H502-3526BK1.5M;H503-3526BK1.5M;H503L-3526BK1.5M, 條,1359, , 111/11/01, 111/11/01,N,無, 999/12/31, 博宣寧,衛部醫器輸字第035347號,  , , ,
'G,'GW, 導引管, 'AA2, 'GWAA2," ""導引線/不鏽鋼，D=0.016 -0.052 ，L=101-200CM"""," GUIDEWIRE/不鏽鋼(PTFE，TEFLON)，D=0.016""-0.052""，L=101-200CM，有塗層", CGDW1STW02MR," ""美瑞特""診斷導線-直接頭導線0.018""-0.038""150-180公分""MERIT"" INQWIRE DIAGNOSTIC GUIDE WIRES"," ""美瑞特""診斷導線-直接頭導線0.018""-0.038""150-180公分"," ""Merit"" InQwire Diagnostic Guide Wires", '6676-A1;B3;C1;D3;6690-41;6680-11;71;31;43;IQ35F150S;IQ38F150S;IQ35F150NLT;IQ35F150NLLT;IQ35F150NLLLT;IQ35F150B;IQ38F150B;IQ35F150BST;IQ38F150BST;IQH35F150S;IQH35F150NLT;IQH35F150B;IQ35F180B;IQH35F180B;IQH38F150B;IQ35F180BST, 條,304, , 106/01/01, 106/01/01,N,無, 999/12/31, 美瑞特,衛部醫器輸字第028269號,  , , ,
'C,'CG, 導引管, 'DW1, 'CGDW1, 導引線/super stiff(OCCLUDER用), guide wire/super stiff(OCCLUDER用), CGDW1SUPERAB, 安普拉茲導引導管AMPLATZER GUIDEWIRE, 安普拉茲導引導管, AMPLATZER GUIDEWIRE, '9-GW-002, 條,1476, , 113/03/01, 109/03/01,N,A213-11, 999/12/31, 雅培,衛署醫器輸字第009841號,  , , ,
'C,'CG, 導引管, 'DW2, 'CGDW2, 壓力感應金屬導引線, 壓力感應金屬導引線Pressure　Wire(測量冠脈血流儲備分數(FFR或iFR)使用), CGDW1VERRAVQ," ""VOLCANO""VERRATA PRESSURE GUIDE WIRE""火山""薇娜塔壓力偵測導線(含0.014""導引線+壓力轉換器+扭力裝置+連結裝置)"," ""火山""薇娜塔壓力偵測導線(含0.014""導引線+壓力轉換器+扭力裝置+連結裝置)"," ""VOLCANO""VERRATA PRESSURE GUIDE WIRE", '10185;10185J;10300;10300J(10185P;10185JP;10300P;10300JP自1070901生效), 組,20000, , 107/09/01, 105/01/01,N,A225-2, 999/12/31, 六霖,衛部醫器輸字第027596號,  , , ,
'G,'GW, 導引管, 'AB2, 'GWAB2," ""導引線/彈性合金，D=0.016 -0.052 ，L<=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L<=100CM，有塗層", CGDW1VHUQ1AS," ""朝日""優你客血管造影導線 0.035"" 50;80CM""ASAHI"" UNIQUAL ANGIOGRAPHIC GUIDEWIRE"," ""朝日""優你客血管造影導線 0.035"" 50;80CM"," ""ASAHI"" UniQual Angiographic Guidewire", 'UA0035B0500;UA0035B0800, 條,647, , 106/11/01, 106/11/01,N,無, 999/12/31, 朝日英達科,衛部醫器輸字第028119號,  , , ,
'G,'GW, 導引管, 'AB2, 'GWAB2," ""導引線/彈性合金，D=0.016 -0.052 ，L<=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L=101-200CM，有塗層", CGDW1VHUQ2AS," ""朝日""優你客血管造影導線 0.035"" 150;180;200CM ""ASAHI"" UNIQUAL ANGIOGRAPHIC GUIDEWIRE"," ""朝日""優你客血管造影導線 0.035"" 150;180;200CM"," ""ASAHI"" UniQual Angiographic Guidewire", 'US0035B1500;(UA0035B1500;1800;2000);(UJ1535B1500;1800;2000);(UJ3035B1500;2000);(UJ6035B1500;2000), 條,744, , 106/11/01, 106/11/01,N,無, 999/12/31, 朝日英達科,衛部醫器輸字第028119號,  , , ,
'G,'GW, 導引管, 'AB3, 'GWAB3," ""導引線/彈性合金，D=0.016 -0.052 ，L>=200CM"""," GUIDEWIRE/彈性合金(NITINOL)，D=0.016""-0.052""，L=201-300CM，有塗層", CGDW1VHUQ3AS," ""朝日""優你客血管造影導線 0.035"" 220;260;300CM ""ASAHI"" UNIQUAL ANGIOGRAPHIC GUIDEWIRE"," ""朝日""優你客血管造影導線 0.035"" 220;260;300CM"," ""ASAHI"" UniQual Angiographic Guidewire", 'US0035B2600;(UA0035B2200;2600;3000);(UJ1535B2200;2600;3000);(UJ3035B2600;3000);(UJ6035B2600;3000), 條,1359, , 106/11/01, 106/11/01,N,無, 999/12/31, 朝日英達科,衛部醫器輸字第028119號,  , , ,
'G,'GW, 導引管, 'AA3, 'GWAA3," ""導引線/不鏽鋼，D=0.016 -0.052 ，L>=201CM"""," GUIDEWIRE/D=0.016""-0.052""，L>=201CM，有塗層，EXTRASUPPORT", CGDW1WQALGMR, “美瑞特”安普拉斯導引導線“MERIT” INQWIRE AMPLATZ GUIDE WIRES, “美瑞特”安普拉斯導引導線, “Merit” InQwire AMPLATZ Guide Wires, 'IQA-502;509;510;520;526, 條,0, , 114/04/01, 109/09/01,N,無, 999/12/31, 美瑞特,衛部醫器輸字第033317號,  , , ,
