,特材收錄品項表,,,,,,,,,,,,,,,,,,,,,,,,
大類碼,大小類碼,大小類碼名稱,品名碼,功能類別,功能類別名稱,核價類別名稱,特材代碼,中英文品名,中文品名,英文品名,產品型號/規格,單位,支付點數,核定費用,生效日期,事前審查生效日期,事前審查,給付規定代碼,生效迄日,申請者簡稱,許可證字號,自付差額品名,整組組件特材關聯代碼表,給付類別,
'A,'AC, 導管接頭類, 'M01, 'ACM01, 多路連接頭, 多路連接頭/4-PORTS, ACM014P20068, “美得靈” 娜米克血管造影多路接頭-4路“MEDLINE” NAMIC ANGIOGRAPHIC MANIFOLDS, “美得靈” 娜米克血管造影多路接頭-4路, “Medline” NAMIC Angiographic Manifolds, '64038402;64038404;70037402;70038402;70039402;70037404;70038404;70039404;70037414;70038414;70039414, 個,261, , 111/07/01, 111/07/01,N,無, 999/12/31, 六霖,衛部醫器輸字第035144號,  , , ,
'A,'AC, 導管接頭類, 'M01, 'ACM01, 多路連接頭, 多路連接頭/2-PORTS, ACM01502RXMR, MANIFOLD 2-PORTS 500 PSI," ""美瑞特""多路水接頭:多路連接頭(2路)"," ""MERIT"" MANIFOLD:2 PORT", '502HF-R, EA,179, , 110/02/01, 084/03/01,N,無, 999/12/31, 美瑞特,衛署醫器輸字第010140號,  , , ,
'A,'AC, 導管接頭類, 'M01, 'ACM01, 多路連接頭, 多路連接頭/3-PORTS, ACM01503RXMR, MANIFOLD 3-PORTS 500 PSI," ""美瑞特"" 多路水接頭:多路連接頭(3路)"," ""MERIT"" MANIFOLD:3 PORTS", '503HF-R, EA,200, , 108/02/01, 084/03/01,N,無, 999/12/31, 美瑞特,衛署醫器輸字第010140號,  , , ,
'A,'AC, 導管接頭類, 'M01, 'ACM01, 多路連接頭, 多路連接頭/4-PORTS 及高壓連接管(雙層可達1200psi), ACM01504RXMR, MANIFOLD 4 PORTS 200PSI;500PSI WITH HIGH PRESSURE TUBING 雙層 (可達1200PSI)," ""美瑞特""多路水接頭 :4路高壓連接管(雙層可達1200psi)"," ""MERIT"" MANIFOLD:4 PORT WITH HIGH PRESSURE", '204HF-RX;504HF-RX, EA,287, , 104/01/01, 098/01/01,N,無, 999/12/31, 美瑞特,衛署醫器輸字第010140號,  , , ,
'A,'AC, 導管接頭類, 'M01, 'ACM01, 多路連接頭, 多路連接頭/2-PORTS, ACM01CHPM216," ""昊佑"" 多路水接頭""HAO YO"" COMFORT HIGH PRESSURE MANIFOLDS"," ""昊佑"" 多路水接頭"," ""HAO YO"" Comfort High Pressure Manifolds", 'AM0209;AM0210, 個,179, , 110/09/01, 110/09/01,N,無, 999/12/31, 昊佑企業有限公司,衛部醫器陸輸字第001203號,  , , ,
'A,'AC, 導管接頭類, 'M01, 'ACM01, 多路連接頭, 多路連接頭/3-PORTS, ACM01CHPM316," ""昊佑"" 多路水接頭""HAO YO"" COMFORT HIGH PRESSURE MANIFOLDS"," ""昊佑"" 多路水接頭"," ""HAO YO"" Comfort High Pressure Manifolds", 'AM0309;AM0310, 個,200, , 110/09/01, 110/09/01,N,無, 999/12/31, 昊佑企業有限公司,衛部醫器陸輸字第001203號,  , , ,
'A,'AC, 導管接頭類, 'M01, 'ACM01, 多路連接頭, 多路連接頭/2-PORTS, ACM01MAN2PGJ, MANIFOLDS (2 PORT 500PSI)多路引流器," ""吉生""多路引流器:多路連接頭(2路)"," ""JSM""MANIFOLDS2 PORT", '06-002005-01;06-102005-01(06-002006-01;06-102006-01自1041101生效), 個,179, , 110/02/01, 100/01/01,N,無, 999/12/31, 吉生,衛署醫器製字第003065號,  , , ,
'A,'AC, 導管接頭類, 'M01, 'ACM01, 多路連接頭, 多路連接頭/3-PORTS, ACM01MAN3PGJ, MANIFOLDS (3 PORT 500PSI)多路引流器," ""吉生""多路引流器:多路連接頭(3路)"," ""JSM""MANIFOLDS:3 PORTS", '06-003005-01;(06-003006-01自1041101生效), 個,200, , 108/02/01, 100/01/01,N,無, 999/12/31, 吉生,衛署醫器製字第003065號,  , , ,
'A,'AC, 導管接頭類, 'M01, 'ACM01, 多路連接頭, 多路連接頭/2-PORTS, ACM01MFD225S, “昕力”一次性使用連通器:2路“SUNMED” MANIFOLD AND STOPCOCKS:2 PORT, “昕力”一次性使用連通器:2路, “SunMed” Manifold And Stopcocks:2 PORT, 'SM-MF-21;SM-MF-22, 個,179, , 110/02/01, 106/11/01,N,無, 999/12/31, 凱薩琳,衛部醫器陸輸字第000819號,  , , ,
'A,'AC, 導管接頭類, 'M01, 'ACM01, 多路連接頭, 多路連接頭/3-PORTS, ACM01MFD325S, “昕力”一次性使用連通器:3路“SUNMED” MANIFOLD AND STOPCOCKS:3 PORT, “昕力”一次性使用連通器:3路, “SunMed” Manifold And Stopcocks:3 PORT, 'SM-MF-31;SM-MF-32, 個,200, , 108/02/01, 106/11/01,N,無, 999/12/31, 凱薩琳,衛部醫器陸輸字第000819號,  , , ,
'A,'AC, 導管接頭類, 'M01, 'ACM01, 多路連接頭, 多路連接頭/3-PORTS, ACM01MNF03D4, “迪瑪克” 多路連接器:3路“DEMAX” MANIFOLDS, “迪瑪克” 多路連接器:3路, “Demax” Manifolds, 'DMK-T-03, 個,200, , 111/05/01, 111/05/01,N,無, 999/12/31, 蘭波灣,衛部醫器陸輸字第001275號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , 三路活塞連接頭/附LEUK，2-PORTS, ACM01PT003CK, 2-PORTS MANIFOLD 連接頭," ""曲克""接頭:三路活塞連接頭(附LEUK，2-PORTS)"," ""COOK""PLASTIC STOPCOCK ＆ MANIFOLDS", '2PTWS-MLL-R;L, EA,283, , 112/02/01, 084/03/01,N,無, 999/12/31, 曲克,衛署醫器輸字第009727號,  , , ,
