鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,急性後期照護病床,整合醫學急診後送病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床
101,5,1291,848,443,153,745,103,695,50,0,103,0,0,0,54,0,0,33,51,0,0,84,0,0,0,0,10,0,0,0,0,16,57,138,0
102,5,1396,1013,383,0,1013,0,1013,0,0,0,0,0,0,61,0,4,23,57,0,0,37,8,0,0,0,2,0,0,0,0,20,52,119,0
109,1,3014,2220,794,498,2087,133,1722,365,0,133,0,0,0,164,0,0,35,80,11,19,185,6,12,9,0,28,0,0,0,0,26,50,169,0
110,4,1278,824,454,0,804,20,804,0,20,0,0,0,0,100,0,8,55,39,0,0,90,0,0,20,9,2,0,0,0,0,12,71,48,0
111,3,2192,1598,594,118,1598,0,1480,118,0,0,0,0,0,129,8,3,46,42,2,15,112,24,0,0,1,18,2,0,0,0,40,46,106,0
115,1,832,543,289,25,543,0,518,25,0,0,0,0,0,62,0,3,21,40,0,8,0,8,0,0,0,2,0,0,0,0,15,25,105,0
116,6,5154,4169,985,705,3885,284,3397,488,67,217,0,0,0,311,14,12,41,97,6,42,32,28,0,94,33,21,11,0,0,0,54,39,150,0
117,2,803,545,258,25,545,0,520,25,0,0,0,0,0,59,0,0,17,25,0,20,40,0,0,0,0,4,0,0,0,0,18,15,60,0
118,3,2660,1896,764,68,1896,0,1828,68,0,0,0,0,0,242,10,4,48,122,0,17,0,15,0,96,1,49,14,0,0,0,56,20,70,0
119,4,439,248,191,0,169,79,169,0,79,0,0,0,0,8,0,0,0,10,8,0,30,0,0,0,0,0,0,0,0,0,4,3,127,1
120,2,861,592,269,38,592,0,554,38,0,0,0,0,0,47,4,0,10,29,6,10,60,10,0,0,0,12,0,0,0,0,12,15,54,0
301,11,1043,688,355,12,643,45,631,12,45,0,0,0,0,49,0,0,8,31,2,6,90,15,0,0,0,0,0,0,0,0,10,28,116,0
302,1,93,54,39,0,54,0,54,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0
303,3,393,332,61,99,269,63,233,36,0,63,0,0,0,21,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,3,5,22,1
304,2,450,450,0,450,80,370,0,80,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1,1149,857,292,50,795,62,745,50,62,0,0,0,0,85,0,0,16,21,0,10,40,10,0,0,0,0,0,0,0,0,12,20,78,0
306,3,1511,1032,479,180,832,200,752,80,100,100,0,0,0,90,0,10,20,31,10,6,140,20,0,0,0,2,0,0,0,0,10,20,120,0
309,1,1130,909,221,50,549,360,499,50,360,0,0,0,0,55,0,0,5,22,4,18,0,12,0,0,0,1,0,0,0,0,10,6,88,0
310,1,190,97,93,0,97,0,97,0,0,0,0,0,0,10,0,0,0,5,0,0,38,0,0,0,0,0,0,0,0,0,2,0,38,0
312,1,248,248,0,248,40,208,0,40,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,2,375,244,131,0,244,0,244,0,0,0,0,0,0,13,0,0,3,6,0,0,70,0,0,0,0,1,0,0,0,0,5,5,28,0
318,2,415,299,116,0,299,0,299,0,0,0,0,0,0,15,0,0,3,12,0,0,30,0,0,0,0,0,0,0,0,0,4,7,45,0
319,4,1073,911,162,276,761,150,635,126,0,150,0,0,0,51,0,0,4,30,0,0,0,0,0,0,0,2,0,0,0,0,10,4,61,0
320,4,802,608,194,0,608,0,608,0,0,0,0,0,0,40,0,0,10,19,4,0,0,10,0,0,0,4,0,0,0,0,13,9,85,0
322,3,505,331,174,0,331,0,331,0,0,0,0,0,0,34,0,0,9,10,8,0,63,0,0,0,0,1,0,0,0,0,5,15,29,0
323,3,262,114,148,0,114,0,114,0,0,0,0,0,0,0,0,0,16,3,0,0,20,0,0,0,0,0,0,0,0,0,2,38,69,0
324,3,960,788,172,440,438,350,348,90,0,350,0,0,0,26,0,4,7,6,4,8,30,10,0,0,0,20,0,0,0,0,6,15,36,0
325,4,1489,1120,369,230,981,139,890,91,0,139,0,0,0,113,5,0,30,37,11,20,20,16,0,0,0,11,0,0,0,0,23,25,58,0
326,7,2650,1932,718,295,1722,210,1637,85,0,210,0,0,0,173,0,8,58,76,0,18,60,59,0,0,0,6,2,0,0,0,35,50,173,0
327,2,2300,1545,755,70,1545,0,1475,70,0,0,0,0,0,203,0,8,36,100,15,22,40,22,0,0,19,20,0,0,0,75,45,45,105,0
328,3,802,510,292,0,510,0,510,0,0,0,0,0,0,54,0,0,17,20,2,0,60,15,0,0,2,1,0,0,0,0,8,33,80,0
329,7,396,283,113,0,213,70,213,0,70,0,0,0,0,0,0,0,4,6,4,0,57,0,0,0,0,0,0,0,0,0,11,16,15,0
501,4,452,284,168,100,184,100,184,0,0,100,0,0,0,11,0,0,0,14,0,0,89,0,0,0,0,0,0,0,0,0,3,0,50,1
503,1,50,20,30,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
504,1,381,298,83,0,298,0,298,0,0,0,0,0,0,20,0,0,5,10,0,0,0,0,0,0,0,2,0,0,0,0,4,12,30,0
505,2,344,188,156,0,186,2,186,0,2,0,0,0,0,24,0,0,0,20,4,0,46,0,0,0,0,2,0,0,0,0,2,0,58,0
506,2,278,264,14,200,47,217,47,0,17,200,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
507,1,24,20,4,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,1,876,642,234,0,642,0,642,0,0,0,0,0,0,67,0,0,8,24,6,22,0,20,0,1,5,4,0,0,0,0,12,7,58,0
527,2,607,549,58,498,231,318,51,180,0,318,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,51,0,0,0,0,0,0,0,0
529,1,35,20,15,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
531,5,2065,1490,575,158,1131,359,1093,38,239,120,0,0,0,119,0,8,32,86,18,20,90,16,0,3,1,3,2,0,0,0,21,50,106,0
